Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.196929844927885e-11,4.77181278463595e-13,1.9296773795286714e-13,1.818305578138248e-10,1.3350503565523726e-14,0.0,,1.3212218551344023e-13,1.0192600230424421e-11,3.196929844927885e-11,4.77181278463595e-13,1.9296773795286714e-13,1.818305578138248e-10,1.3350503565523726e-14,0.0,,1.3212218551344023e-13,1.0192600230424421e-11
2010,3.2782236496789535e-11,4.933834720212233e-13,1.963038051937992e-13,1.875784224508044e-10,1.3819417314970446e-14,0.0,,1.5116681767322552e-13,1.0685158502641604e-11,3.277665695131991e-11,4.878471118880521e-13,1.9623922962038547e-13,1.8740469072127963e-10,1.3819417314970446e-14,0.0,,1.4878624849366104e-13,1.0685158502641604e-11
2020,3.378139547312694e-11,5.624723629414038e-13,2.004204698834673e-13,1.6177585185382219e-10,1.3549466788964105e-14,0.0,,1.9719135382734272e-13,1.0605302337741027e-11,3.4545266341360644e-11,5.507613094206272e-13,2.053920917730752e-13,1.9984091601053943e-10,1.570017667332561e-14,0.0,,1.920334501895592e-13,1.1843876500835751e-11
2030,3.277833254237425e-11,6.200393161266877e-13,1.8607128713744187e-13,1.2508488752256513e-10,1.3125516678398356e-14,0.0,,2.3924829342582127e-13,9.086871359812724e-12,3.622075950894314e-11,6.533008422010697e-13,2.1886742373446305e-13,2.1365559420717392e-10,1.9364893883912966e-14,0.0,,2.6226058961833333e-13,1.3339013308281745e-11
2040,3.1180895430917875e-11,6.621046228841042e-13,1.696606793467062e-13,1.0192840340895094e-10,1.3737973875277808e-14,0.0,,2.658314321414986e-13,7.619049277672742e-12,3.736210188701575e-11,7.454546164578379e-13,2.361213601736041e-13,2.250273412592012e-10,2.4228792819517123e-14,0.0,,3.348682307495837e-13,1.4897622483733954e-11
2050,2.786113497303023e-11,6.424763026651509e-13,1.4122330398565686e-13,6.80539118665228e-11,1.2772445625902908e-14,0.0,,2.64641136305535e-13,5.187478395697138e-12,3.735875358392949e-11,7.922520914111796e-13,2.532280616062786e-13,2.3326645855325543e-10,2.878496108858262e-14,0.0,,3.761315948060277e-13,1.5982956359450498e-11
2060,2.5804824871544978e-11,5.764960811986462e-13,1.3331059199093412e-13,4.6795296612995616e-11,1.1652136182363542e-14,0.0,,2.4519972762091384e-13,3.9997909540552526e-12,3.666067989431435e-11,8.256021474252884e-13,2.6934775317739306e-13,2.3589852995543347e-10,3.409328802525053e-14,0.0,,3.943827076546853e-13,1.672297308733922e-11
2070,2.482015889412093e-11,5.199404296266766e-13,1.3633003424163813e-13,3.823454644913512e-11,1.1853736635334655e-14,0.0,,2.313130103450933e-13,3.6086894322764236e-12,3.545967841344425e-11,8.735304933922465e-13,2.8390955622835734e-13,2.4039468776850317e-10,4.011553942441584e-14,0.0,,4.173950038471973e-13,1.7176185919270414e-11
2080,2.4011127680047962e-11,4.739939757097957e-13,1.4298107088725625e-13,3.451463066368145e-11,1.2637830240703506e-14,0.0,,2.2060041529850918e-13,3.4671602883884704e-12,3.353718527451221e-11,8.84218144408557e-13,2.9203244810666216e-13,2.4255119072958e-10,4.629057019746217e-14,0.0,,4.2334648302701533e-13,1.709276912337936e-11
2090,2.3000255400953513e-11,4.426257667610389e-13,1.4823409472704819e-13,3.1987370073072875e-11,1.3639849537071439e-14,0.0,,2.0988779775956227e-13,3.3414999562576797e-12,3.119204876381226e-11,9.330789337650789e-13,2.9455879028911557e-13,2.5624672346196525e-10,5.065042231302671e-14,0.0,,4.5072315230000167e-13,1.6619185768243662e-11
2100,2.2023951544177818e-11,4.1438066736283425e-13,1.5379930131542782e-13,2.9974988095826804e-11,1.4729619975106658e-14,0.0,,2.0036547605657894e-13,3.2222335730664404e-12,2.875881992479469e-11,7.655721905510142e-13,2.942280400950897e-13,2.5494425371456705e-10,5.6447705100111376e-14,0.0,,3.832733698218093e-13,1.585959600636359e-11
