Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.4960258855602022e-12,4.7208637143536114e-12,4.8963710809621525e-12,1.1355325108085724e-11,0.0,,2.782290731320275e-11,0.0,,1.4960258855602022e-12,4.7208637143536114e-12,4.8963710809621525e-12,1.1355325108085724e-11,0.0,,2.782290731320275e-11,0.0
2010,,1.3749157584108071e-12,4.842660398383147e-12,4.1821924997505786e-12,1.1706611189166845e-11,0.0,,2.7535753616019962e-11,0.0,,1.3665209788517549e-12,4.791304396274197e-12,4.193735940184252e-12,1.1767733555114455e-11,0.0,,2.7097318806222698e-11,0.0
2020,,1.1857000164705769e-12,5.1043347470591405e-12,3.949066897369719e-12,1.265075276661976e-11,0.0,,2.697770406131741e-11,0.0,,1.000377612550414e-12,4.924604934178988e-12,3.962527766741869e-12,1.2237135130170364e-11,0.0,,2.6337968003204332e-11,0.0
2030,,1.0627134864523338e-12,5.537064773911062e-12,3.95889983860208e-12,1.6242618271447822e-11,0.0,,3.080320223635184e-11,0.0,,7.79093699333098e-13,5.21564963017612e-12,3.662165834405175e-12,1.3447833158585197e-11,0.0,,2.3866125715353645e-11,0.0
2040,,8.341666093688171e-13,6.118324287689835e-12,3.2059123949099415e-12,1.1220867563041818e-11,0.0,,2.2753359074411448e-11,0.0,,5.798430347431422e-13,5.663052234965478e-12,3.9315358100369514e-12,1.3000847652170409e-11,0.0,,1.995602458718693e-11,0.0
2050,,6.045977692920496e-13,6.762458052564968e-12,2.0095252672397594e-12,5.1940429267156764e-12,0.0,,1.0890522051606367e-11,0.0,,3.910577516409447e-13,6.186133902987072e-12,3.7935723354287326e-12,1.130838264736219e-11,0.0,,1.0311633412798816e-11,0.0
2060,,4.686381842646654e-13,7.397464596580928e-12,1.6219149200352877e-12,5.334029274458875e-12,0.0,,9.00715482750001e-12,0.0,,3.812421295278902e-13,6.714061685514207e-12,3.783699087882352e-12,9.701435405063429e-12,0.0,,9.319312114733013e-12,0.0
2070,,3.8498904226654917e-13,8.06107134941796e-12,1.4679329245035402e-12,5.520952324880746e-12,0.0,,7.552640306787771e-12,0.0,,3.748935251916139e-13,7.197027054994143e-12,3.6032581564619526e-12,7.771880743865841e-12,0.0,,8.442019278841269e-12,0.0
2080,,3.198197154613855e-13,8.755653504580936e-12,1.4918065882193718e-12,5.7155306959443795e-12,0.0,,6.34651848452566e-12,0.0,,3.599349118772696e-13,7.58250440645568e-12,3.2383363053960517e-12,5.674249472951924e-12,0.0,,7.33300400412556e-12,0.0
2090,,2.682095271611623e-13,9.458715820311907e-12,1.5904554820632757e-12,5.916920474199932e-12,0.0,,5.2708444488178655e-12,0.0,,3.4758772935360715e-13,7.855318412669518e-12,2.8319745252262334e-12,3.351121649219229e-12,0.0,,6.616583024318707e-12,0.0
2100,,2.2366594440045843e-13,1.00792948631748e-11,1.6552163925458878e-12,6.127437113436856e-12,0.0,,4.331869996871455e-12,0.0,,3.3821993018261683e-13,8.0307725173631e-12,2.262117739659858e-12,1.1668987404294085e-12,0.0,,4.8803342062706285e-12,0.0
