Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.21667631849103e-12,1.9621279209722608e-12,1.9476116649558365e-13,2.2378732038733533e-11,1.923642948515085e-12,0.0,,3.746389836210087e-12,0.0,1.21667631849103e-12,1.9621279209722608e-12,1.9476116649558365e-13,2.2378732038733533e-11,1.923642948515085e-12,0.0,,3.746389836210087e-12,0.0
2010,1.2152182735690633e-12,1.971701390308105e-12,1.9885443912800683e-13,2.109457719252473e-11,1.8695295626736637e-12,0.0,,3.78263312982759e-12,0.0,1.2013676565354329e-12,1.969350308616087e-12,1.9674452054923886e-13,2.1168844455132785e-11,1.8969097857399617e-12,0.0,,3.725278684485431e-12,0.0
2020,1.2144893410775301e-12,2.321571352231397e-12,2.0700371454780046e-13,1.4728479915962862e-11,1.9194471332009503e-12,0.0,,3.9969432409940335e-12,0.0,1.1656473553362549e-12,2.0180210824922192e-12,1.999773928299403e-13,1.6240312174481277e-11,1.7586384356706206e-12,0.0,,3.808750901558268e-12,0.0
2030,1.2057415213929817e-12,2.454177865791621e-12,2.2063017269440824e-13,1.3153516453596205e-11,1.955032210315362e-12,0.0,,4.621476621164729e-12,0.0,1.1284690991845613e-12,2.076539192712863e-12,2.0835415600644097e-13,1.0783437532072684e-11,1.7128650379926272e-12,0.0,,3.845180611878125e-12,0.0
2040,1.1860589046103847e-12,2.0179323726135902e-12,2.3915744677273253e-13,9.90806788316428e-12,1.4892110595291442e-12,0.0,,3.701462691187653e-12,0.0,1.0898328880803513e-12,1.8447496366784917e-12,2.2157716864266176e-13,8.981754652110043e-12,1.3670060941312352e-12,0.0,,3.5114378539751006e-12,0.0
2050,1.1459647385536585e-12,1.3547533345463361e-12,2.5962983788806164e-13,5.924185687302408e-12,8.455789643124659e-13,0.0,,2.230964917576656e-12,0.0,1.0366170374815276e-12,1.3848376794301494e-12,2.373505677971002e-13,6.1270009415386885e-12,7.792654510149464e-13,0.0,,2.5051952228872247e-12,0.0
2060,1.0920198654938513e-12,1.0202352199150934e-12,2.7999851671881734e-13,3.7175305153703e-12,6.052519371698492e-13,0.0,,1.925351288449573e-12,0.0,9.724662998152046e-13,1.2547500405879503e-12,2.532379582458823e-13,5.667465056595284e-12,7.247520609946362e-13,0.0,,2.6991351707269717e-12,0.0
2070,1.0402618798780926e-12,7.936594835322665e-13,3.0100975736820123e-13,2.072177473731192e-12,4.692443084556619e-13,0.0,,1.723146386968483e-12,0.0,9.024837423388164e-13,1.1245522791377983e-12,2.6730697612167405e-13,5.169377621801004e-12,6.469883156146213e-13,0.0,,2.8759562712581674e-12,0.0
2080,9.914198041673667e-13,6.339670819645008e-13,3.23137204010698e-13,1.124481383210456e-12,3.834246984382939e-13,0.0,,1.5783859002804952e-12,0.0,8.259402526219286e-13,9.64037061956442e-13,2.785409216441048e-13,4.580948982293363e-12,5.613623198556805e-13,0.0,,2.9698372340493965e-12,0.0
2090,9.440357733786081e-13,5.266162078713035e-13,3.457567385651224e-13,7.371309577497559e-13,3.2235982296983286e-13,0.0,,1.449650412316504e-12,0.0,7.479388079525249e-13,8.357909178361253e-13,2.862398324848453e-13,4.175981368735343e-12,4.4283773478745835e-13,0.0,,3.0509051075152585e-12,0.0
2100,8.95193877606784e-13,4.396719347324343e-13,3.6605670322772087e-13,5.684034190558579e-13,2.6933632705712345e-13,0.0,,1.3322506253239596e-12,0.0,6.750403405711042e-13,6.677577633645983e-13,2.9068623521221613e-13,3.542446724936796e-12,3.941746982841073e-13,0.0,,2.920213683687787e-12,0.0
