Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,6.441072688718287e-13,4.415038477077913e-13,6.957470940088869e-11,1.7467511544878117e-13,0.0,3.4499253804882034e-12,4.215824879901745e-12,5.926027721840998e-13,,6.441072688718287e-13,4.415038477077913e-13,6.957470940088869e-11,1.7467511544878117e-13,0.0,3.4499253804882034e-12,4.215824879901745e-12,5.926027721840998e-13
2010,,5.716639119579987e-13,4.4923838645110463e-13,6.515141388748111e-11,1.687508970125986e-13,0.0,3.322968408630436e-12,4.0994328407292025e-12,6.238699904241739e-13,,5.669689011453123e-13,4.447292525240645e-13,6.518956093468055e-11,1.6975033390456996e-13,0.0,3.325948196845637e-12,4.033144788786299e-12,6.07941438951586e-13
2020,,4.826018029286784e-13,4.635526610501646e-13,6.740376526330231e-11,1.6905589345129224e-13,0.0,3.027266174096935e-12,4.044895158957139e-12,7.062301400986429e-13,,4.104153087972879e-13,4.484769300030566e-13,5.855701876927593e-11,1.7134683056535566e-13,0.0,2.9451271243481558e-12,3.871304861409271e-12,6.574831171128374e-13
2030,,4.1579359260515385e-13,4.879866545064632e-13,5.639638729003434e-11,1.7757407735849246e-13,0.0,3.108910571804433e-12,4.6281847434269685e-12,7.855681709312423e-13,,3.1904044506205075e-13,4.615486365151557e-13,5.1250578065602106e-11,1.8441027113414924e-13,0.0,2.4619121796113073e-12,3.4279069768202485e-12,7.361984693754665e-13
2040,,3.0568891106515916e-13,5.212227192262284e-13,5.3046828949994675e-11,1.6300699984846675e-13,0.0,1.8439669024552963e-12,3.197561790351302e-12,8.487214172949705e-13,,2.6170801974300985e-13,4.835382949435344e-13,5.007425556500325e-11,2.0850784632101275e-13,0.0,2.4854402706660697e-12,2.640876172525041e-12,8.050561837914517e-13
2050,,2.004579196674219e-13,5.580115426095195e-13,4.6922618500946405e-11,1.3789623368981917e-13,0.0,2.690113124155952e-13,1.2406265462096132e-12,8.899224775066374e-13,,2.0584405330988267e-13,5.098502657340723e-13,4.729911978022636e-11,2.2153985381288353e-13,0.0,2.260700180990815e-12,1.0517391927653215e-12,8.309333772103118e-13
2060,,1.5221906663289988e-13,5.943648688655258e-13,4.2284827179425656e-11,1.480251181848725e-13,0.0,2.7322192770440963e-13,1.033559875538516e-12,9.291893744619514e-13,,1.9967707480269568e-13,5.357632220096822e-13,3.823285358394619e-11,2.322541132943103e-13,0.0,2.0177594513288796e-12,9.557435879991508e-13,8.383716915363986e-13
2070,,1.2193446099747076e-13,6.316079480066233e-13,3.901276348613824e-11,1.6342253500382402e-13,0.0,2.844195705533852e-13,8.743801648869436e-13,9.70154444803797e-13,,1.9390022632715625e-13,5.592978358496385e-13,2.9050539751551696e-11,2.363400759088443e-13,0.0,1.6829122284460908e-12,8.517668832093598e-13,8.393051245899225e-13
2080,,9.975477584252077e-14,6.715571732778821e-13,3.700785545112083e-11,1.8083607724893641e-13,0.0,2.965145237213316e-13,7.431344392722181e-13,1.000731822278773e-12,,1.820597292588368e-13,5.769885739731032e-13,1.959929499444601e-11,2.3386973970960237e-13,0.0,1.2380741128863866e-12,7.027852548067967e-13,8.238328082030617e-13
2090,,8.455046158074437e-14,7.135846928659023e-13,3.52366779730724e-11,1.9926613933551773e-13,0.0,3.042886040383341e-13,6.265208503267312e-13,1.0250167363548607e-12,,1.7033974627005422e-13,5.887051156303872e-13,1.0722169775492348e-11,2.1795749519999764e-13,0.0,6.73515268408185e-13,5.717612589039178e-13,8.058076986151707e-13
2100,,7.216174690929075e-14,7.506079766383487e-13,3.3341944368411836e-11,2.176053547690104e-13,0.0,3.0971886769648186e-13,5.249827675047249e-13,1.0449042135772526e-12,,1.59411865573547e-13,5.940142579152043e-13,1.7376942672469144e-12,2.1507296214098118e-13,0.0,8.660752873017455e-14,3.4895393795852533e-13,7.806023970559457e-13
