Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.07993811810555e-12,1.264057875465924e-11,5.891666695110833e-13,3.1595294756560685e-11,1.2611841058675676e-11,0.0,,1.5086192978613484e-11,0.0,2.07993811810555e-12,1.264057875465924e-11,5.891666695110833e-13,3.1595294756560685e-11,1.2611841058675676e-11,0.0,,1.5086192978613484e-11,0.0
2010,2.077445854231641e-12,1.2712094197799327e-11,6.307531954006753e-13,2.998417753402167e-11,1.2250489084691524e-11,0.0,,1.5097384880719416e-11,0.0,2.0537676794261618e-12,1.26969343159025e-11,6.233052268767025e-13,3.0089742663309286e-11,1.2429903260515227e-11,0.0,,1.4832387455007062e-11,0.0
2020,2.076199522134285e-12,1.4993897149514404e-11,7.20757788388657e-13,2.128968796127468e-11,1.2557701673393113e-11,0.0,,1.5866218595360894e-11,0.0,1.992703011146965e-12,1.3033414091568625e-11,6.932580844857347e-13,2.3475006127017e-11,1.1505634052337671e-11,0.0,,1.456929555631293e-11,0.0
2030,2.061244871368692e-12,1.5895704624363946e-11,8.586933247789473e-13,1.960655569523449e-11,1.2754146029901285e-11,0.0,,1.849409300916158e-11,0.0,1.9291458121133247e-12,1.3449741320670228e-11,8.06589837655845e-13,1.6073727818840446e-11,1.1174306138514658e-11,0.0,,1.3672744560476133e-11,0.0
2040,2.027596973866239e-12,1.3123937833916865e-11,1.0333522232341965e-12,1.550164377203891e-11,9.682499460325835e-12,0.0,,1.3946420941179072e-11,0.0,1.863096215765508e-12,1.199761871047892e-11,9.540113090537124e-13,1.405238318870243e-11,8.887950738637547e-12,0.0,,1.082897446927142e-11,0.0
2050,1.9590549802042455e-12,8.860325934483954e-12,1.2161952801685689e-12,9.93625908048028e-12,5.483586341414028e-12,0.0,,7.253918085861407e-12,0.0,1.7721222459551238e-12,9.057084142501008e-12,1.1135645690808235e-12,1.0276428212659008e-11,5.053542520347613e-12,0.0,,5.008393272759166e-12,0.0
2060,1.8668349451770403e-12,6.72182235086702e-12,1.3888846002772471e-12,6.811904139049683e-12,3.923416612961772e-12,0.0,,6.016512608632605e-12,0.0,1.6624551628481481e-12,8.266923470565337e-12,1.2668355947598189e-12,1.0384910879952695e-11,4.698050709145845e-12,0.0,,4.993194426304262e-12,0.0
2070,1.7783533726808325e-12,5.2778849666769755e-12,1.5549296625923996e-12,4.210023355574103e-12,3.050691643746717e-12,0.0,,5.079913519748876e-12,0.0,1.5428180901636641e-12,7.478341663873341e-12,1.3950556788826336e-12,1.0502575305164461e-11,4.20625660370642e-12,0.0,,5.015007106171729e-12,0.0
2080,1.6948568616935128e-12,4.2642940460797695e-12,1.7145438381015708e-12,2.561919159721909e-12,2.510260162129458e-12,0.0,,4.334507379090733e-12,0.0,1.4119653630056534e-12,6.484466275901413e-12,1.4917715833985012e-12,1.0436828751663867e-11,3.675207574169384e-12,0.0,,4.8602889875131e-12,0.0
2090,1.6138526145801015e-12,3.5902992651531537e-12,1.861205634057228e-12,1.8957577228114658e-12,2.134411771257906e-12,0.0,,3.669577462407967e-12,0.0,1.2786198382126641e-12,5.698151886232785e-12,1.5542754049614215e-12,1.0739812885172633e-11,2.9321214259999586e-12,0.0,,4.856150204179954e-12,0.0
2100,1.5303559701525145e-12,3.044304658788705e-12,1.985392486098397e-12,1.6546505084894608e-12,1.8109037239840615e-12,0.0,,3.0741197514911208e-12,0.0,1.1539981043400945e-12,4.623580364724835e-12,1.588940250741599e-12,1.0312238242813868e-11,2.650264089384317e-12,0.0,,4.0779383075468115e-12,0.0
