Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.5123535730441605e-12,1.174704297510423e-12,3.1759326792378206e-10,8.085278573791796e-13,0.0,1.6633098744487887e-11,1.640155105748092e-11,2.7575444598688828e-12,,2.5123535730441605e-12,1.174704297510423e-12,3.1759326792378206e-10,8.085278573791796e-13,0.0,1.6633098744487887e-11,1.640155105748092e-11,2.7575444598688828e-12
2010,,2.2713350964999645e-12,1.2516326116566252e-12,2.9747940862771083e-10,7.84582802038935e-13,0.0,1.6041426733956688e-11,1.5948731651577602e-11,2.930099805949109e-12,,2.2526809477614487e-12,1.2375778820542613e-12,2.9765355991938886e-10,7.892295257498733e-13,0.0,1.6055810527258418e-11,1.5690840720744986e-11,2.8552886550852023e-12
2020,,1.9899205146914987e-12,1.4167173043674237e-12,3.0794993905330487e-10,7.935579277029703e-13,0.0,1.4655025056734633e-11,1.5736553086261786e-11,3.3805447757346155e-12,,1.6922726574753763e-12,1.364068046550725e-12,2.6753150122588587e-10,8.043116786909517e-13,0.0,1.4257388005243746e-11,1.506120655542659e-11,3.1472047190561625e-12
2030,,1.8049187945516736e-12,1.6703509569094574e-12,2.579590558254425e-10,8.47093562495759e-13,0.0,1.5128806327360585e-11,1.8005825463108548e-11,3.8655184822275696e-12,,1.3849230256191855e-12,1.5701730780966101e-12,2.34421934855242e-10,8.797046958407805e-13,0.0,1.1980334459525356e-11,1.3336178315516745e-11,3.6225859384880336e-12
2040,,1.4073243105060783e-12,1.991409441194956e-12,2.431674690665904e-10,7.976659530544842e-13,0.0,9.060345422635844e-12,1.2440028708004234e-11,4.3193696482782896e-12,,1.2048459185471246e-12,1.8398817458891844e-12,2.2954112115332215e-10,1.0203219145645305e-12,0.0,1.2212228023705383e-11,1.0274256872628156e-11,4.097145432753362e-12
2050,,9.802328553555084e-13,2.327130475500748e-12,2.1593646528991967e-10,6.997918537378676e-13,0.0,1.3438926787640454e-12,4.8266241430966905e-12,4.70117694773009e-12,,1.0065708282905957e-12,2.130343310945672e-12,2.1766909642250398e-10,1.1242640098799801e-12,0.0,1.1293720232512346e-11,4.091762719247673e-12,4.389556293235777e-12
2060,,7.888419484932597e-13,2.6427826273532308e-12,1.9580335643463687e-10,7.848061143263999e-13,0.0,1.398144420751744e-12,4.0210364418488895e-12,5.10319938016825e-12,,1.0347826361804065e-12,2.406648598356316e-12,1.770403652738668e-10,1.2313751781055048e-12,0.0,1.032537623777931e-11,3.718294102104625e-12,4.6044199436118686e-12
2070,,6.67088379727817e-13,2.946262891776121e-12,1.8229129317148818e-10,9.085276601552048e-13,0.0,1.5012515803141798e-12,3.401752170549234e-12,5.540559464214731e-12,,1.0608042222415293e-12,2.6433380057460784e-12,1.3574173409234794e-10,1.3139038468334974e-12,0.0,8.882914169185449e-12,3.3137758029053383e-12,4.79327795403879e-12
2080,,5.738102301003996e-13,3.240201376439536e-12,1.7509769702537772e-10,1.05530147921533e-12,0.0,1.6239336264600725e-12,2.891144321811504e-12,5.940408421577759e-12,,1.0472454233928937e-12,2.816994767793282e-12,9.273142937287887e-11,1.3647888908751272e-12,0.0,6.780612396348409e-12,2.7341667925455497e-12,4.890324256656697e-12
2090,,5.093653864081287e-13,3.5126917400459717e-12,1.6948212064540674e-10,1.219248393486288e-12,0.0,1.7362324185203721e-12,2.4374623580198244e-12,6.318680621466053e-12,,1.0261939535307115e-12,2.9300472304837596e-12,5.15717169823605e-11,1.3336151093702193e-12,0.0,3.842993231332277e-12,2.2244216351364502e-12,4.967373734565684e-12
2100,,4.537219625118276e-13,3.740445453370712e-12,1.6374727215188262e-10,1.3927311494248246e-12,0.0,1.845347459241185e-12,2.042431394950921e-12,6.681868733529393e-12,,1.0023130162389445e-12,2.989420943694681e-12,8.534076757237531e-12,1.3765232276679712e-12,0.0,5.160195187814409e-13,1.3575956598215883e-12,4.991733522256954e-12
