Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.855964354639402e-11,4.1937076446526587e-13,9.118876964160988e-13,1.9868693137256686e-10,2.6360267168242763e-14,0.0,,1.481082413575219e-13,1.1128570373441373e-11,5.855964354639402e-11,4.1937076446526587e-13,9.118876964160988e-13,1.9868693137256686e-10,2.6360267168242763e-14,0.0,,1.481082413575219e-13,1.1128570373441373e-11
2010,6.004873653703503e-11,4.43410401275525e-13,9.201791375651761e-13,2.0505262434702842e-10,2.725596988388668e-14,0.0,,1.6945716630737445e-13,1.1775892954256193e-11,6.003852386009767e-11,4.384348061761939e-13,9.19734790563602e-13,2.0486271365235908e-10,2.725596988388668e-14,0.0,,1.6678856008729946e-13,1.1775892954256193e-11
2020,6.187894503640868e-11,5.278159230631119e-13,9.199545150430112e-13,1.770020690044802e-10,2.6682700167015964e-14,0.0,,2.210504311414864e-13,1.1911125680546106e-11,6.327815877062146e-11,5.168263478002411e-13,9.445277377566305e-13,2.186498165186773e-10,3.0918046330926545e-14,0.0,,2.1526844204688905e-13,1.3302204195394547e-11
2030,6.00415871132232e-11,6.15870014085534e-13,8.183145423748994e-13,1.370773766253878e-10,2.5812379194862648e-14,0.0,,2.681959831377339e-13,1.0483402243994464e-11,6.634724142633571e-11,6.489079999173224e-13,9.788166149637647e-13,2.3413978014761016e-10,3.8082610035877335e-14,0.0,,2.939926209254508e-13,1.5389042637382946e-11
2040,5.71154929337455e-11,6.990174692947907e-13,7.040950210209575e-13,1.1202321079705795e-10,2.6944109031127282e-14,0.0,,2.9799554636754595e-13,9.072487515291184e-12,6.843789243606068e-11,7.870144164850629e-13,1.0185468739501821e-12,2.4731366043491757e-10,4.7519607787748564e-14,0.0,,3.753853952827656e-13,1.7739546329994766e-11
2050,5.103453401192518e-11,7.187851105510462e-13,5.407240702664471e-13,7.516184853728968e-11,2.491291701657731e-14,0.0,,2.966612593694913e-13,6.3855518739880765e-12,6.843176043025285e-11,8.863503326547789e-13,1.0478745494292412e-12,2.576301470060221e-10,5.61456518532357e-14,0.0,,4.2164147990069314e-13,1.9674298653946046e-11
2060,4.726788757444768e-11,6.789355799269984e-13,4.768973313946319e-13,5.206366607185387e-11,2.2540771279084146e-14,0.0,,2.748675255412259e-13,5.085369346127258e-12,6.715306398328036e-11,9.723062568356935e-13,1.0671118271786866e-12,2.624567560187277e-10,6.595262906497246e-14,0.0,,4.4210086228297267e-13,2.1261734718897147e-11
2070,4.546423093519981e-11,6.399498234394471e-13,4.608387115324861e-13,4.29776998303436e-11,2.2721389291031014e-14,0.0,,2.593006219099361e-13,4.7295215559523775e-12,6.495313128081321e-11,1.0751532103554997e-12,1.0767421526115632e-12,2.702166306329498e-10,7.689395431017059e-14,0.0,,4.678974785880462e-13,2.2510978289543294e-11
2080,4.398229286792739e-11,6.05695791080338e-13,4.602319127795147e-13,3.932631585360471e-11,2.399633317129068e-14,0.0,,2.472918241010069e-13,4.6726392964718244e-12,6.14316110880594e-11,1.1299031885564067e-12,1.0651032859265509e-12,2.763652671004843e-10,8.789513557128127e-14,0.0,,4.745690424741816e-13,2.303566350397977e-11
2090,4.213063334733987e-11,5.839228309684971e-13,4.56871984344967e-13,3.7075591994511306e-11,2.5671614172245468e-14,0.0,,2.352830692573651e-13,4.619123453184204e-12,5.7135918287620216e-11,1.2309407878961422e-12,1.0376069628546758e-12,2.9700783146971486e-10,9.532934941951948e-14,0.0,,5.05258116047601e-13,2.2973537760833372e-11
2100,4.0342295723498033e-11,5.617836777127367e-13,4.556203625597366e-13,3.546970491656892e-11,2.750560357393893e-14,0.0,,2.2460860141177785e-13,4.5583179473869105e-12,5.2678862991748074e-11,1.0379007594894431e-12,1.0061016347525475e-12,3.016780770840989e-10,1.054085654331054e-13,0.0,,4.296472878195961e-13,2.2435705855918306e-11
