Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.0462919284732693e-12,2.309357383685557e-11,4.9826163147255564e-12,1.734093158025551e-11,0.0,,4.5235267887847633e-11,0.0,,2.0462919284732693e-12,2.309357383685557e-11,4.9826163147255564e-12,1.734093158025551e-11,0.0,,4.5235267887847633e-11,0.0
2010,,1.903809755182621e-12,2.3415363903069154e-11,4.261403751370902e-12,1.7861490752219038e-11,0.0,,4.47684050133785e-11,0.0,,1.8921857544870257e-12,2.317764556132589e-11,4.2731659284305544e-12,1.7954749486287554e-11,0.0,,4.4055579961555407e-11,0.0
2020,,1.677466902913027e-12,2.400653050962046e-11,4.0354551485778535e-12,1.924895605826412e-11,0.0,,4.386111013431691e-11,0.0,,1.4152825798133168e-12,2.320755215108644e-11,4.049210227525052e-12,1.8619607403890074e-11,0.0,,4.282100920839384e-11,0.0
2030,,1.5408422731747476e-12,2.4980425021267625e-11,4.066449275691322e-12,2.4588325871421487e-11,0.0,,5.008071288251892e-11,0.0,,1.1296182427708296e-12,2.3596288321962625e-11,3.761653527367371e-12,2.0357536090301754e-11,0.0,,3.880221909174352e-11,0.0
2040,,1.236870427200651e-12,2.6192101119561e-11,3.321646363536023e-12,1.687205311822713e-11,0.0,,3.699305464638215e-11,0.0,,8.597691702030472e-13,2.42887430154788e-11,4.073464991528976e-12,1.9548488043306614e-11,0.0,,3.2445064179180345e-11,0.0
2050,,9.127946936316496e-13,2.737142882488425e-11,2.110401121143996e-12,7.754357183884286e-12,0.0,,1.770611727411769e-11,0.0,,5.904015666450925e-13,2.501445902839031e-11,3.984005420027392e-12,1.6882654888806552e-11,0.0,,1.6764945125301588e-11,0.0
2060,,7.173744742374047e-13,2.8371652464607648e-11,1.7350850718349822e-12,7.914284982442691e-12,0.0,,1.464408642508245e-11,0.0,,5.835916974990393e-13,2.560316458328331e-11,4.047708848524568e-12,1.4394358426224508e-11,0.0,,1.5151600648367787e-11,0.0
2070,,5.957035690322749e-13,2.936491641522809e-11,1.6075362575312893e-12,8.161272827135833e-12,0.0,,1.2279294883960535e-11,0.0,,5.800825076563048e-13,2.601454242941587e-11,3.945935081951708e-12,1.1488677914063364e-11,0.0,,1.3725272724348645e-11,0.0
2080,,4.991607832266401e-13,3.0460106401399694e-11,1.6799870748066961e-12,8.443784371393995e-12,0.0,,1.0318348171074062e-11,0.0,,5.617709170223993e-13,2.6180307320049873e-11,3.646828968837239e-12,8.38279841138991e-12,0.0,,1.1922204537676051e-11,0.0
2090,,4.216280747310458e-13,3.1664454340285944e-11,1.8487976887289968e-12,8.76621307363846e-12,0.0,,8.569486365787065e-12,0.0,,5.464113423851239e-13,2.6106907485507905e-11,3.2919800356622247e-12,4.96485412122075e-12,0.0,,1.0757427284699065e-11,0.0
2100,,3.538039529392012e-13,3.264054042530927e-11,1.991586634171185e-12,9.133684520786636e-12,0.0,,7.042875398804287e-12,0.0,,5.350101167043379e-13,2.582579214122684e-11,2.7218215641429886e-12,1.7394034269340157e-12,0.0,,7.934584533956099e-12,0.0
