Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.226708422545619e-12,8.89849618327451e-16,2.8347037909287626e-13,0.0,3.161760713924492e-14,,,,0.0,4.226708422545619e-12,8.89849618327451e-16,2.8347037909287626e-13,0.0,3.161760713924492e-14,,,,0.0
2010,4.305576535136738e-12,9.108469724290612e-16,2.902699150873264e-13,0.0,3.353931823101537e-14,,,,0.0,4.3101353239836735e-12,9.108469724290612e-16,2.914357566764011e-13,0.0,3.353931823101537e-14,,,,0.0
2020,4.424105388879374e-12,9.56995215518454e-16,3.043644198044369e-13,0.0,3.933543216382261e-14,,,,0.0,4.4220540542010565e-12,9.56995215518454e-16,3.052040044841661e-13,0.0,3.9490907426689637e-14,,,,0.0
2030,4.516193748521e-12,1.2872837289641414e-15,3.2286469249765515e-13,0.0,4.6079959163837126e-14,,,,0.0,4.5196130979479246e-12,1.2872837289641414e-15,3.243746215903177e-13,0.0,4.9428329936092865e-14,,,,0.0
2040,4.54286281795061e-12,1.4087310716813047e-15,3.444947285811905e-13,0.0,5.267732199875268e-14,,,,0.0,4.618767356882807e-12,1.4087310716813047e-15,3.487814182634613e-13,0.0,6.134574594953062e-14,,,,0.0
2050,4.436642316000173e-12,1.2436909973885806e-15,3.657463049312736e-13,0.0,5.844736674347202e-14,,,,0.0,4.677120060356968e-12,1.5546136628191484e-15,3.745376471984437e-13,0.0,7.181186437552943e-14,,,,0.0
2060,4.216223517547735e-12,1.0299392803344108e-15,3.857347877644087e-13,0.0,6.449752904960472e-14,,,,0.0,4.6796271708032886e-12,1.716565439251826e-15,3.992525694296793e-13,0.0,8.386615705308093e-14,,,,0.0
2070,4.035694379297711e-12,1.1324656168101654e-15,4.066585389721585e-13,0.0,7.423652980612344e-14,,,,0.0,4.643385091634101e-12,1.887442750627994e-15,4.23380628801265e-13,0.0,9.742215634143216e-14,,,,0.0
2080,3.933348658819907e-12,8.245197241090541e-16,4.2935383490712747e-13,0.0,8.604517382402263e-14,,,,0.0,4.580928687636411e-12,1.6490394482181081e-15,4.457477558716021e-13,0.0,1.1167064864833583e-13,,,,0.0
2090,3.871576605918819e-12,8.935369966294004e-16,4.550753478899466e-13,0.0,9.839196880706059e-14,,,,0.0,4.493855236332024e-12,1.7870739932588007e-15,4.641710992178545e-13,0.0,1.205171368617949e-13,,,,0.0
2100,3.794304395960312e-12,9.613060100695824e-16,4.785609902853637e-13,0.0,1.1198089024682897e-13,,,,0.0,4.386951070729581e-12,1.4419588472712206e-15,4.805248046733878e-13,0.0,1.3558611577820924e-13,,,,0.0
