Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.330682258815826e-12,2.9110253939050797e-12,1.03875164403974e-12,1.83434691584934e-11,2.767427841755326e-12,0.0,,5.07459090228633e-12,0.0,2.330682258815826e-12,2.9110253939050797e-12,1.03875164403974e-12,1.83434691584934e-11,2.767427841755326e-12,0.0,,5.07459090228633e-12,0.0
2010,2.3278891714170317e-12,2.9286009462017227e-12,1.0500092367649794e-12,1.7313050202278575e-11,2.6886960150556207e-12,0.0,,5.094378995019357e-12,0.0,2.3013569034622832e-12,2.9251090713697823e-12,1.039454126487597e-12,1.7374004539831188e-11,2.7280731853107533e-12,0.0,,5.009288477655855e-12,0.0
2020,2.326492971439935e-12,3.4562851376938786e-12,1.066791735788073e-12,1.2124945698309149e-11,2.7572622547728842e-12,0.0,,5.364191375231758e-12,0.0,2.2329303868594178e-12,3.004369027381358e-12,1.0327904682143302e-12,1.336953251925324e-11,2.5262626528012404e-12,0.0,,4.992043929932808e-12,0.0
2030,2.309735478214068e-12,3.66592514858309e-12,1.0956895865326756e-12,1.088902067929092e-11,2.8021242017475057e-12,0.0,,6.234704531115293e-12,0.0,2.161711298441208e-12,3.10182804793932e-12,1.0376998538058847e-12,8.92697199271499e-12,2.455028956185337e-12,0.0,,4.814519268295245e-12,0.0
2040,2.2720312043864413e-12,3.02660923499292e-12,1.1322856996694686e-12,8.278064164658818e-12,2.128454619296906e-12,0.0,,4.805218142893896e-12,0.0,2.087699122624204e-12,2.7668603562402622e-12,1.0513109131099502e-12,7.504141786806865e-12,1.953793164407061e-12,0.0,,4.036294518431148e-12,0.0
2050,2.1952261130317926e-12,2.0411537956919656e-12,1.1675098452512173e-12,5.019690889302064e-12,1.2053790198516185e-12,0.0,,2.64571955675022e-12,0.0,1.985757963291904e-12,2.0864807989366543e-12,1.0661684813300538e-12,5.1915403520666915e-12,1.1108485132781167e-12,0.0,,2.2887055168160367e-12,0.0
2060,2.091888410000096e-12,1.5445111649904905e-12,1.197367368653639e-12,3.2110980541233403e-12,8.613622371266945e-13,0.0,,2.2302911151892684e-12,0.0,1.8628700233578447e-12,1.8995376307327555e-12,1.0757002443937938e-12,4.8953960939996485e-12,1.031428468605947e-12,0.0,,2.37826425220078e-12,0.0
2070,1.9927403380665893e-12,1.2075352757615967e-12,1.225489008517325e-12,1.834466703070418e-12,6.679834703946806e-13,0.0,,1.929792411181836e-12,0.0,1.7288104212732076e-12,1.7109813737813132e-12,1.0784256184997544e-12,4.5763709299563725e-12,9.210075942354865e-13,0.0,,2.4676746714136567e-12,0.0
2080,1.899177753486073e-12,9.696135363481043e-13,1.2579753200597874e-12,1.025840403335717e-12,5.472993059783873e-13,0.0,,1.6983775926734284e-12,0.0,1.5821826133385957e-12,1.4744352969375747e-12,1.0745015128772674e-12,4.179101853016313e-12,8.012868834222973e-13,0.0,,2.4789819320110503e-12,0.0
2090,1.8084082563043522e-12,8.097951274112453e-13,1.2966802554293452e-12,6.964956647202028e-13,4.626796881640317e-13,0.0,,1.4921364797343732e-12,0.0,1.4327620617274889e-12,1.2852233037708914e-12,1.06362665493157e-12,3.945774563638241e-12,6.356003614723864e-13,0.0,,2.5168991418026872e-12,0.0
2100,1.7148460154461346e-12,6.799071969346948e-13,1.3282814820527953e-12,5.587503284271895e-13,3.8980415902336074e-13,0.0,,1.3064310555278967e-12,0.0,1.2931167144981371e-12,1.0326182633427087e-12,1.0454934132053742e-12,3.48228635469722e-12,5.704797659378947e-13,0.0,,2.2850868084558955e-12,0.0
