Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,5.526372703110655e-13,2.4811241812373585e-12,7.912388322798766e-11,2.011733787810433e-13,0.0,4.070310308272007e-12,5.496606266117375e-12,6.835509540573491e-13,,5.526372703110655e-13,2.4811241812373585e-12,7.912388322798766e-11,2.011733787810433e-13,0.0,4.070310308272007e-12,5.496606266117375e-12,6.835509540573491e-13
2010,,5.004893988067672e-13,2.503145437744684e-12,7.410615361812166e-11,1.9490586045696555e-13,0.0,3.923844393540057e-12,5.3448542461545555e-12,7.255919291616989e-13,,4.96378952733127e-13,2.4791845563061016e-12,7.414953962154591e-11,1.9606018734903563e-13,0.0,3.927363422433589e-12,5.258427680216222e-12,7.070661995357371e-13
2020,,4.3960122779664753e-13,2.52928775275162e-12,7.66944870185015e-11,1.9628453059683285e-13,0.0,3.580166091348725e-12,5.273747726789151e-12,8.349823240808201e-13,,3.738466364823041e-13,2.451837494642413e-12,6.662834027194645e-11,1.989444470875452e-13,0.0,3.48302501391701e-12,5.047420342022997e-12,7.773482580025525e-13
2030,,3.995434873901954e-13,2.5778536512164455e-12,6.420989368000596e-11,2.0789536243186153e-13,0.0,3.6864079040816765e-12,6.0342422493222156e-12,9.504074513972613e-13,,3.0657165402783287e-13,2.4448771180948404e-12,5.835114984937079e-11,2.1589885022524868e-13,0.0,2.919225576783866e-12,4.469316557709418e-12,8.906783119781745e-13
2040,,3.1162361992539443e-13,2.6390894973316453e-12,6.046697233047018e-11,1.934079616447555e-13,0.0,2.1973936258470514e-12,4.16899229276855e-12,1.0548428315896826e-12,,2.667888699776537e-13,2.4533423108658835e-12,5.707859090776293e-11,2.4739476892945134e-13,0.0,2.96181551936444e-12,3.4431834748364055e-12,1.0005732053011326e-12
2050,,2.165410308923369e-13,2.6979137877995467e-12,5.359872435804816e-11,1.6685024749858453e-13,0.0,3.2338607625941313e-13,1.6175330768650966e-12,1.1376679612133845e-12,,2.2235932565472864e-13,2.4623443978674103e-12,5.4028795197670255e-11,2.6805649633241477e-13,0.0,2.7176513533546708e-12,1.3712611197894589e-12,1.062256835640893e-12
2060,,1.7334993949407556e-13,2.7459531037028488e-12,4.8461082412187477e-11,1.8342411782772193e-13,0.0,3.326617017627312e-13,1.3475588034500329e-12,1.2209811765011632e-12,,2.27396017392644e-13,2.458666053688455e-12,4.381727041745847e-11,2.8779582346431926e-13,0.0,2.45672591317375e-12,1.2461016910448002e-12,1.1016441457038369e-12
2070,,1.4547908801253836e-13,2.7885272350576843e-12,4.492948703141577e-11,2.0800354902536013e-13,0.0,3.522103274668184e-13,1.140019795111292e-12,1.3082687667976057e-12,,2.313408967315554e-13,2.445441166386918e-12,3.345637767514725e-11,3.00812694327245e-13,0.0,2.08403040266961e-12,1.1105364993615212e-12,1.1318162609400932e-12
2080,,1.2392602424125592e-13,2.8425009164471005e-12,4.291152366362997e-11,2.3677200980716664e-13,0.0,3.748762566278969e-13,9.689011718841618e-13,1.3821981055406365e-12,,2.261740201730281e-13,2.4186509348470352e-12,2.272586797109972e-11,3.062099722390832e-13,0.0,1.5652675234387998e-12,9.162937007012866e-13,1.137867577938323e-12
2090,,1.0877147995512252e-13,2.9151370000414773e-12,4.1231142339346726e-11,2.684939903706596e-13,0.0,3.939671086781192e-13,8.168599955376061e-13,1.4471104053621492e-12,,2.1913667131320253e-13,2.3814606977170334e-12,1.2546225496421089e-11,2.9367899581058036e-13,0.0,8.720105820775849e-13,7.454642338578917e-13,1.1376326437471988e-12
2100,,9.569225571895821e-14,2.971470335011096e-12,3.947415768869814e-11,3.015877881106907e-13,0.0,4.1153093145132124e-13,6.844743210473729e-13,1.5050776242783783e-12,,2.1139288719908574e-13,2.3294469208744946e-12,2.0572889796961348e-12,2.980780397192209e-13,0.0,1.150775166592923e-13,4.549673331575972e-13,1.124377938536254e-12
