Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.157339209452697e-10,1.7251991877118387e-12,7.314608128403996e-13,7.203593637510691e-10,9.144510411658853e-14,0.0,,5.358984652433517e-13,4.0345920798462186e-11,1.157339209452697e-10,1.7251991877118387e-12,7.314608128403996e-13,7.203593637510691e-10,9.144510411658853e-14,0.0,,5.358984652433517e-13,4.0345920798462186e-11
2010,1.1867688013492764e-10,1.8137538518139645e-12,7.581476737697115e-13,7.434609004506841e-10,9.55941094550818e-14,0.0,,6.13145045246743e-13,4.264293822958026e-11,1.1865670008110347e-10,1.793401513380785e-12,7.579991439326335e-13,7.427723141255876e-10,9.55941094550818e-14,0.0,,6.034892305603887e-13,4.264293822958026e-11
2020,1.2229400675317485e-10,2.137523391520968e-12,8.05015588724124e-13,6.418602026257701e-10,9.609591338382176e-14,0.0,,7.998244209081937e-13,4.3053232650641097e-11,1.2505933025889274e-10,2.0930184512473454e-12,8.236736493061535e-13,7.928868292658885e-10,1.113492353251796e-13,0.0,,7.789034682502404e-13,4.808134271108536e-11
2030,1.1866274929628628e-10,2.4656898144858567e-12,7.932504753160971e-13,4.97260851114186e-10,9.714394422761225e-14,0.0,,9.704106887423105e-13,3.782914322132743e-11,1.3112488472399475e-10,2.597960385358405e-12,9.202237320497534e-13,8.493637104956185e-10,1.4332252539427592e-13,0.0,,1.0637503140604782e-12,5.553104322721616e-11
2040,1.1287978759918923e-10,2.770813608584696e-12,7.713478254521354e-13,4.0666639625333685e-10,1.075866904324133e-13,0.0,,1.0782340986025673e-12,3.2719432768774145e-11,1.3525672273886927e-10,3.1196219281499966e-12,1.04176871083615e-12,8.97797504007981e-10,1.897438037521124e-13,0.0,,1.3582530995821855e-12,6.397671181612619e-11
2050,1.0086172537811608e-10,2.831051209277995e-12,6.863805069857719e-13,2.732382488436604e-10,1.0653343979005549e-13,0.0,,1.0734061287468325e-12,2.3064635286758702e-11,1.3524460830528885e-10,3.4910337883761116e-12,1.1651545594214857e-12,9.365709889312416e-10,2.400919178184017e-13,0.0,,1.5256207208458127e-12,7.106362745504272e-11
2060,9.3417541970277e-11,2.66829326401864e-12,6.772608625067496e-13,1.897350104856971e-10,1.0316772461352343e-13,0.0,,9.945503504833114e-13,1.8443829046615266e-11,1.327174766481983e-10,3.8212728777038636e-12,1.2813192699049322e-12,9.564681699311558e-10,3.018611386877338e-13,0.0,,1.5996488418163877e-12,7.711294665876119e-11
2070,8.985289789486594e-11,2.518479419005398e-12,7.115390609046091e-13,1.571934014386365e-10,1.105027527814606e-13,0.0,,9.382245981127578e-13,1.7262691776543323e-11,1.2836965924679638e-10,4.231193973770165e-12,1.3843032075988383e-12,9.883328109870425e-10,3.7396462303206083e-13,0.0,,1.6929884671345554e-12,8.216478548590473e-11
2080,8.692407754545678e-11,2.3939449021724564e-12,7.579772020248831e-13,1.4455430246200834e-10,1.2294538510383213e-13,0.0,,8.947733695116063e-13,1.7198538889336607e-11,1.2140990915324094e-10,4.4658161053029986e-12,1.4457227957329943e-12,1.0158537954773672e-09,4.503313700422041e-13,0.0,,1.717127941337883e-12,8.478714427248045e-11
2090,8.326456641289288e-11,2.3228711246784453e-12,7.922635270552426e-13,1.3712397783815955e-10,1.3731833488113173e-13,0.0,,8.513221409104546e-13,1.717088333381329e-11,1.1292017171165976e-10,4.896737169900177e-12,1.4704426365219426e-12,1.098482554167473e-09,5.099199341052574e-13,0.0,,1.828170122793745e-12,8.540061150744953e-11
2100,7.973019241821807e-11,2.2527640413765966e-12,8.246432815885275e-13,1.3213127889119619e-10,1.5240002078127414e-13,0.0,,8.126988196524802e-13,1.7132543632029566e-11,1.0411149019972498e-10,4.162003574614325e-12,1.472634326794654e-12,1.123807321475708e-09,5.84036197782179e-13,0.0,,1.5545882899299908e-12,8.432510745726651e-11
