Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,2.235986421042527e-12,1.4002790418679404e-12,2.7451332098362484e-10,6.900578707046122e-13,0.0,1.4304230472778518e-11,1.4199350404184673e-11,2.3781374767337778e-12,,2.235986421042527e-12,1.4002790418679404e-12,2.7451332098362484e-10,6.900578707046122e-13,0.0,1.4304230472778518e-11,1.4199350404184673e-11,2.3781374767337778e-12
2010,,2.016240777939208e-12,1.4624307770777948e-12,2.571215072687148e-10,6.69516244246739e-13,0.0,1.3793818939919563e-11,1.3807329653988607e-11,2.5238830044923683e-12,,1.9996817015068315e-12,1.4469055333245433e-12,2.572720335068356e-10,6.734814782937548e-13,0.0,1.3806187424534445e-11,1.358406480393741e-11,2.459443559721186e-12
2020,,1.75746116858643e-12,1.5900787943591878e-12,2.661575944625224e-10,6.770448816199207e-13,0.0,1.2598884898314585e-11,1.3623640754062065e-11,2.9047420124872582e-12,,1.4945839861020013e-12,1.5345622670479684e-12,2.312244329938973e-10,6.862198497125015e-13,0.0,1.2257037227023267e-11,1.3038969303668613e-11,2.7042442359478023e-12
2030,,1.5832955567239357e-12,1.7871980172055766e-12,2.22925805943092e-10,7.223238523828963e-13,0.0,1.2999849445164884e-11,1.5588221404374127e-11,3.3099399097445187e-12,,1.2148702964541546e-12,1.6846869244980589e-12,2.025852718812071e-10,7.501316259841986e-13,0.0,1.0294436974538917e-11,1.154555830319916e-11,3.1019238729164564e-12
2040,,1.2254808029215938e-12,2.0384589911944035e-12,2.100899954505187e-10,6.790547853748614e-13,0.0,7.77656717799614e-12,1.0769731452988333e-11,3.683497951101344e-12,,1.0491652591749268e-12,1.8866041111724906e-12,1.9831718249578617e-10,8.686022371832607e-13,0.0,1.0481853623305797e-11,8.894754802571828e-12,3.493988882003369e-12
2050,,8.476156463397297e-13,2.3032589349283506e-12,1.864726591356721e-10,5.939450007895163e-13,0.0,1.1510877336392084e-12,4.178563401197393e-12,3.992146453253139e-12,,8.703902838709493e-13,2.1068887375482368e-12,1.8796889570374925e-10,9.542138100692064e-13,0.0,9.67343822661899e-12,3.5423706010548717e-12,3.72752429523327e-12
2060,,6.77883925169274e-13,2.5543013650154826e-12,1.689551561719634e-10,6.635310419229942e-13,0.0,1.1940016042944324e-12,3.4811403009454093e-12,4.315789467543371e-12,,8.892308811214423e-13,2.3170549563107016e-12,1.5276489582836737e-10,1.0410923874744712e-12,0.0,8.817770337722842e-12,3.219047150959564e-12,3.893970231346273e-12
2070,,5.701308419364221e-13,2.7986672038907872e-12,1.5711882645781123e-10,7.648984673875209e-13,0.0,1.2773184662125891e-12,2.945006100846998e-12,4.66734258849185e-12,,9.066223122594991e-13,2.4988277213188404e-12,1.1699726272880823e-10,1.1061884641516594e-12,0.0,7.55790025158837e-12,2.868842050805174e-12,4.037835881469925e-12
2080,,4.880380384104496e-13,3.0393100448801364e-12,1.5068486198550352e-10,8.846282065236324e-13,0.0,1.3758072509079176e-12,2.502956300679108e-12,4.9854069821335734e-12,,8.907050522569553e-13,2.6310942913876967e-12,7.980243092968701e-11,1.144062572405685e-12,0.0,5.74457898667364e-12,2.36705600065668e-12,4.104137950410122e-12
2090,,4.313254583328926e-13,3.2680672482502265e-12,1.4555160680322082e-10,1.0175642860853794e-12,0.0,1.464003843079578e-12,2.11018940059442e-12,5.283502364345889e-12,,8.689706236857446e-13,2.715295956047438e-12,4.428989707515906e-11,1.1130128350498734e-12,0.0,3.240439948402983e-12,1.9257531005281036e-12,4.153577882038251e-12
2100,,3.8264646081328136e-13,3.4599210383621466e-12,1.402521902419877e-10,1.1571778320347618e-12,0.0,1.5481456207090496e-12,1.7681984505208707e-12,5.567119338096077e-12,,8.453008063283633e-13,2.7555515426993306e-12,7.309574367208338e-12,1.1437111268063359e-12,0.0,4.329121833285315e-13,1.1753143503479602e-12,4.158951961597991e-12
