Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,8.531774828957821e-12,8.127529605341686e-14,1.2720487484354065e-13,3.630152674773871e-11,2.282046844033895e-15,0.0,,2.715861439566076e-14,2.033613298098742e-12,8.531774828957821e-12,8.127529605341686e-14,1.2720487484354065e-13,3.630152674773871e-11,2.282046844033895e-15,0.0,,2.715861439566076e-14,2.033613298098742e-12
2010,8.74872612697263e-12,8.555391012972543e-14,1.2856675583036952e-13,3.745475630637039e-11,2.394768143401944e-15,0.0,,3.107336724566899e-14,2.147071231713908e-12,8.74723837730851e-12,8.459389748572032e-14,1.285445894782188e-13,3.742006653687968e-11,2.394768143401944e-15,0.0,,3.0584022395114416e-14,2.147071231713908e-12
2020,9.01537781626006e-12,1.0096926631933394e-13,1.2970426601557554e-13,3.230522180808773e-11,2.421155440989825e-15,0.0,,4.0534025093946657e-14,2.1617259215833482e-12,9.219233055585308e-12,9.886699582587275e-14,1.3268945121402492e-13,3.9906486455044497e-11,2.8054659111489224e-15,0.0,,3.947377957175296e-14,2.414189367105048e-12
2030,8.747685515185705e-12,1.1648155266417448e-13,1.1894696389809881e-13,2.4973764221119986e-11,2.4585978792193047e-15,0.0,,4.917910885290318e-14,1.88989543567224e-12,9.666380078781912e-12,1.2273012189549748e-13,1.3797487180238166e-13,4.265730712977404e-11,3.627322666743257e-15,0.0,,5.390943777704201e-14,2.774259591440967e-12
2040,8.321372068399022e-12,1.3052377796688334e-13,1.063293157437281e-13,2.03433771227092e-11,2.725346099715264e-15,0.0,,5.46434520756597e-14,1.6218320863764956e-12,9.970974465616649e-12,1.4695494376429178e-13,1.439751254906469e-13,4.491208117332353e-11,4.806519805228447e-15,0.0,,6.883443884807617e-14,3.171188203971992e-12
2050,7.435413586636922e-12,1.3235206536123265e-13,8.669667609040565e-14,1.3579412702362518e-11,2.6893277622798505e-15,0.0,,5.439878064278712e-14,1.1299937593821e-12,9.970081206084704e-12,1.632063413984666e-13,1.4851973579276375e-13,4.654576851078036e-11,6.060874731474594e-15,0.0,,7.731641096486363e-14,3.4815836966521035e-12
2060,6.88663669695501e-12,1.230925322260759e-13,7.901462188584723e-14,9.338418672973967e-12,2.5846104551970546e-15,0.0,,5.0402469986884886e-14,8.890267749026378e-13,9.783783241996482e-12,1.7628128171527568e-13,1.518325415814175e-13,4.707565941437428e-11,7.562378629013077e-15,0.0,,8.106805018789331e-14,3.7169870537695455e-12
2070,6.6238547827502076e-12,1.1406182380499058e-13,7.773515018817461e-14,7.63612564992998e-12,2.740150049241588e-15,0.0,,4.754796464387984e-14,8.150833809064821e-13,9.463266681843829e-12,1.9163055962803947e-13,1.5430416923859893e-13,4.80111287619224e-11,9.273244198969163e-15,0.0,,8.579839102088895e-14,3.8795310721874174e-12
2080,6.407945620856e-12,1.0594504075203827e-13,7.86225585018007e-14,6.9047203754201854e-12,3.012833842454834e-15,0.0,,4.534590983917003e-14,7.920406639220449e-13,8.950202389546711e-12,1.976365613245272e-13,1.535309351048723e-13,4.852285367303285e-11,1.1035578359470354e-14,0.0,,8.702174024601387e-14,3.904684610224509e-12
2090,6.138170571874122e-12,1.0007974616843272e-13,7.893807175424371e-14,6.416510343649173e-12,3.324071070997877e-15,0.0,,4.314386694331704e-14,7.684637950132889e-13,8.324347059616038e-12,2.1097346473430343e-13,1.504007159088982e-13,5.140183625803573e-11,1.2343655131211383e-14,0.0,,9.264920701979623e-14,3.822009324842456e-12
2100,5.8776202821654984e-12,9.423195760434448e-14,7.970816988900926e-14,6.036281060553303e-12,3.645421896190623e-15,0.0,,4.118648357147978e-14,7.429461317702381e-13,7.674981931458189e-12,1.7409446627766948e-13,1.4648660812196746e-13,5.133997270028096e-11,1.3970195574671198e-14,0.0,,7.878444750133684e-14,3.656725824759931e-12
