Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,5.7239628750012576e-12,1.5455232190322968e-16,3.7894478586062e-14,0.0,5.503322895919782e-15,,,,0.0,5.7239628750012576e-12,1.5455232190322968e-16,3.7894478586062e-14,0.0,5.503322895919782e-15,,,,0.0
2010,5.830767854303871e-12,1.5799492740837874e-16,3.867617197774594e-14,0.0,5.832800771584862e-15,,,,0.0,5.8369419137877226e-12,1.5799492740837874e-16,3.883111414414028e-14,0.0,5.832800771584862e-15,,,,0.0
2020,5.9912847629932555e-12,1.6556489768550994e-16,4.05505585568241e-14,0.0,6.82152269215549e-15,,,,0.0,5.98850641081996e-12,1.6556489768550994e-16,4.049352307192058e-14,0.0,6.848485832590589e-15,,,,0.0
2030,6.1159940574989415e-12,2.2186563093368647e-16,4.300797497820693e-14,0.0,7.939949430518727e-15,,,,0.0,6.120624475084026e-12,2.2186563093368647e-16,4.298033055192157e-14,0.0,8.516900793824338e-15,,,,0.0
2040,6.1521100951956625e-12,2.416082516088038e-16,4.6049231044157824e-14,0.0,8.9772406312025e-15,,,,0.0,6.254902012050452e-12,2.416082516088038e-16,4.648156224271305e-14,0.0,1.04545085165164e-14,,,,0.0
2050,6.008262283323599e-12,2.1192576713782466e-16,4.916454035140013e-14,0.0,9.805849956711831e-15,,,,0.0,6.333926010176232e-12,2.6490721667544285e-16,5.043565600120792e-14,0.0,1.2048039593695926e-14,,,,0.0
2060,5.709763198732987e-12,1.739794664170309e-16,5.233371738763328e-14,0.0,1.0618342629332225e-14,,,,0.0,6.337321717486791e-12,2.8996574634907016e-16,5.458435238890832e-14,0.0,1.3807034312265393e-14,,,,0.0
2070,5.46528395893094e-12,1.8917405125698883e-16,5.607186387589217e-14,0.0,1.1972476904803278e-14,,,,0.0,6.2882402056851005e-12,3.1529011644096264e-16,5.895164378267649e-14,0.0,1.5711730916745893e-14,,,,0.0
2080,5.3266839197812266e-12,1.3584479487256214e-16,6.027020034841428e-14,0.0,1.3582995966228668e-14,,,,0.0,6.2036610275464024e-12,2.7168958974512437e-16,6.320204180757259e-14,0.0,1.7628204388211182e-14,,,,0.0
2090,5.243030012181586e-12,1.4484782859901772e-16,6.493771799209456e-14,0.0,1.5203183034577953e-14,,,,0.0,6.085742639550608e-12,2.8969565719803543e-16,6.683612473536754e-14,0.0,1.8621885355240302e-14,,,,0.0
2100,5.1383855218037835e-12,1.5301697874095166e-16,6.940996214096877e-14,0.0,1.6948728684184924e-14,,,,0.0,5.94096854091704e-12,2.295254603582655e-16,7.030750886136298e-14,0.0,2.052146909052845e-14,,,,0.0
