Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.600319673371196e-12,5.198653292745405e-13,1.1135227306713143e-13,2.490139292325115e-12,4.661766142193171e-13,0.0,,1.8511152437998382e-12,0.0,1.600319673371196e-12,5.198653292745405e-13,1.1135227306713143e-13,2.490139292325115e-12,4.661766142193171e-13,0.0,,1.8511152437998382e-12,0.0
2010,1.5984019345836942e-12,5.226395848010918e-13,1.1254126920996548e-13,2.352278300950831e-12,4.528450777343455e-13,0.0,,1.8738904402247944e-12,0.0,1.5801837336719418e-12,5.220163228708488e-13,1.112658068274204e-13,2.360559751736576e-12,4.59477231243663e-13,0.0,,1.8467808010027832e-12,0.0
2020,1.5974431287038463e-12,6.158845998665548e-13,1.1496419758201354e-13,1.650380950640727e-12,4.641010751397856e-13,0.0,,1.98318364019175e-12,0.0,1.5332002131144984e-12,5.353564019757756e-13,1.1079119918717374e-13,1.819787265195476e-12,4.252192927795186e-13,0.0,,1.9096676947628548e-12,0.0
2030,1.5859370770622533e-12,6.516932302727026e-13,1.1911899130440298e-13,1.486179854493308e-12,4.708579699546159e-13,0.0,,2.287689488645688e-12,0.0,1.4842988267417467e-12,5.514134788236895e-13,1.1218605976814087e-13,1.2183910122863764e-12,4.125334703895039e-13,0.0,,1.9653485551429574e-12,0.0
2040,1.5600480480282998e-12,5.362443898537667e-13,1.2493147407765522e-13,1.1338216152887421e-12,3.5648156178801394e-13,0.0,,1.863548852480998e-12,0.0,1.4334798286092994e-12,4.902229778991275e-13,1.1555964836197573e-13,1.0278197057757959e-12,3.272286459089103e-13,0.0,,1.854615622022558e-12,0.0
2050,1.5073111840805446e-12,3.599803204062069e-13,1.3100324442071034e-13,6.905272819348571e-13,2.0080066518775736e-13,0.0,,1.1648141134574033e-12,0.0,1.363483823685252e-12,3.679742437530231e-13,1.1983971531881568e-13,7.141676012327208e-13,1.850530915892141e-13,0.0,,1.4213029431241091e-12,0.0
2060,1.4363565003044551e-12,2.706736436816733e-13,1.3694135769411752e-13,4.4385500233271115e-13,1.4241026994827184e-13,0.0,,1.0140519875618986e-12,0.0,1.2791050954244557e-12,3.328916090152377e-13,1.2425762332366435e-13,6.766676591033037e-13,1.7052757312002185e-13,0.0,,1.5458859719906098e-12,0.0
2070,1.3682782341679094e-12,2.0985427037087806e-13,1.4369633121338185e-13,2.5479974093004197e-13,1.093688450254409e-13,0.0,,9.185602316913392e-13,0.0,1.1870555390414582e-12,2.973467518482927e-13,1.280769366103518e-13,6.356387574948121e-13,1.5079645516008145e-13,0.0,,1.6581841417368022e-12,0.0
2080,1.3040351915507554e-12,1.6670124154705172e-13,1.514095231088912e-13,1.4312584933654068e-13,8.854490685030023e-14,0.0,,8.529015912038851e-13,0.0,1.0863763486564115e-12,2.5349294237559907e-13,1.3092646405120842e-13,5.830707135012592e-13,1.2963633789630577e-13,0.0,,1.7238139469122896e-12,0.0
2090,1.2417100147489092e-12,1.3738431953218915e-13,1.5958053909577667e-13,9.754079377406004e-14,7.381330958355228e-14,0.0,,7.945849673627465e-13,0.0,9.837795465116691e-13,2.180422128129158e-13,1.3248280873057994e-13,5.525863900705861e-13,1.0140012081964417e-13,0.0,,1.775810238750941e-12,0.0
2100,1.1774669721317552e-12,1.1353634152843245e-13,1.6706450931532084e-13,7.847567466185085e-14,6.121778014590506e-14,0.0,,7.410088307006091e-13,0.0,8.878946395814739e-13,1.7243487974895415e-13,1.3298923683623493e-13,4.890820459023968e-13,8.959244959189184e-14,0.0,,1.7203342742219513e-12,0.0
