Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.0062031299695587e-13,2.3360723157573086e-13,1.3884553816874367e-11,3.495603962022845e-14,0.0,7.134190898857408e-13,1.6665950338568829e-12,1.1974226911312164e-13,,1.0062031299695587e-13,2.3360723157573086e-13,1.3884553816874367e-11,3.495603962022845e-14,0.0,7.134190898857408e-13,1.6665950338568829e-12,1.1974226911312164e-13
2010,,9.100737262697242e-14,2.358731535795368e-13,1.3002860928838462e-11,3.3817767268186246e-14,0.0,6.873524759789697e-13,1.6205830219598894e-12,1.2694453929433807e-13,,9.025994101634376e-14,2.333443951665973e-13,1.3010474467420149e-11,3.401805439171121e-14,0.0,6.879688784076875e-13,1.594378201800167e-12,1.2370340100599388e-13
2020,,7.972365140286811e-14,2.400952561606417e-13,1.3452963126914346e-11,3.3897989297307566e-14,0.0,6.259779117634829e-13,1.5990231005551377e-12,1.4570402156602242e-13,,6.77987652671097e-14,2.3169843237007784e-13,1.168726137988315e-11,3.435735360083167e-14,0.0,6.089931508481966e-13,1.5303997581029551e-12,1.3564691259381014e-13
2030,,7.217970818040622e-14,2.47529463237177e-13,1.1254980674880815e-11,3.553907343215206e-14,0.0,6.41783346527669e-13,1.8296084200180037e-12,1.652178902207151e-13,,5.538384952152992e-14,2.3343415619002705e-13,1.0228035047438252e-11,3.690724626499792e-14,0.0,5.082211031369481e-13,1.3551162480470244e-12,1.5483462147806766e-13
2040,,5.600951704084938e-14,2.5793218311262145e-13,1.0584633601835612e-11,3.252866924458856e-14,0.0,3.796392389369e-13,1.264056492328544e-12,1.8246501119086266e-13,,4.7951166778666814e-14,2.388624354247304e-13,9.991503175292118e-12,4.160854139622304e-14,0.0,5.11706841405024e-13,1.0439881860095902e-12,1.7307752929809111e-13
2050,,3.865011539903584e-14,2.6877794421851625e-13,9.361544847226961e-12,2.7476491556181428e-14,0.0,5.523283330826541e-14,4.904430535730593e-13,1.955176422492393e-13,,3.968860740944841e-14,2.4576352267787054e-13,9.436661978150752e-12,4.4142893002246397e-14,0.0,4.641621755144818e-13,4.157722983596261e-13,1.825575985829764e-13
2060,,3.0648000743540765e-14,2.79255038874386e-13,8.436721954157069e-12,2.951840200887844e-14,0.0,5.5979883835475997e-14,4.085857002339775e-13,2.0803310447290383e-13,,4.0203260565543226e-14,2.526469689444495e-13,7.62826770984951e-12,4.631491367007007e-14,0.0,4.1341463052292127e-13,3.778234399637303e-13,1.877002240388896e-13
2070,,2.5410449789959338e-14,2.91163260549842e-13,7.787248598308488e-12,3.271858375382812e-14,0.0,5.82459725632773e-14,3.45658919742815e-13,2.2046844390792044e-13,,4.04077078497154e-14,2.589657766132643e-13,5.798711625287588e-12,4.731729008738324e-14,0.0,3.4464171282914883e-13,3.3671949667883174e-13,1.9073280648746053e-13
2080,,2.1328159172665988e-14,3.0511253325549485e-13,7.393946121528143e-12,3.643722750424378e-14,0.0,6.080131551424565e-14,2.937750475124921e-13,2.297868703096438e-13,,3.892544816858676e-14,2.6313392413376166e-13,3.915820629867162e-12,4.712314396435562e-14,0.0,2.538713264527847e-13,2.778242294243149e-13,1.8916752222624028e-13
2090,,1.840312759479607e-14,3.20334116466256e-13,7.051115856969807e-12,4.04779105606368e-14,0.0,6.258820772230778e-14,2.476754975786741e-13,2.3675825157494087e-13,,3.707589949520468e-14,2.651622723833565e-13,2.1455839901610127e-12,4.427477962184789e-14,0.0,1.3853333367307808e-13,2.2602799050167092e-13,1.8612536505679042e-13
2100,,1.588732800288022e-14,3.339672169627221e-13,6.6876379847095656e-12,4.461420982839331e-14,0.0,6.400860089228517e-14,2.0753560007062188e-13,2.418209130269637e-13,,3.5096552221782575e-14,2.6506231737849356e-13,3.4854206985607783e-13,4.409501145861428e-14,0.0,1.7898898658032856e-14,1.379480689353112e-13,1.8065386461108842e-13
