Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.6052576522462334e-12,1.1745474885162147e-15,1.6600726535941616e-13,6.55424658331621e-25,4.20058285697757e-14,,,,0.0,3.6052576522462334e-12,1.1745474885162147e-15,1.6600726535941616e-13,6.55424658331621e-25,4.20058285697757e-14,,,,0.0
2010,3.672529161122476e-12,1.1992563517769506e-15,1.7266229845453327e-13,1.9021310482652168e-20,4.4496541200576516e-14,,,,0.0,3.676417877394546e-12,1.1992563517769506e-15,1.7335532048318598e-13,1.916991467274628e-20,4.4496541200576516e-14,,,,0.0
2020,3.7736315141077515e-12,1.2537617491179152e-15,1.877244019954372e-13,8.997979236264869e-20,5.20241068440431e-14,,,,0.0,3.7718815784412935e-12,1.2537617491179152e-15,1.8800762896295725e-13,9.056031407946619e-20,5.2229734126071685e-14,,,,0.0
2030,3.852179793099981e-12,1.6749331142960205e-15,2.1044167343549247e-13,2.5073123314967833e-19,6.060760200334344e-14,,,,0.0,3.855096263583902e-12,1.6749331142960205e-15,2.1101193041815305e-13,2.8349725705701727e-19,6.50116103779378e-14,,,,0.0
2040,3.874927622361268e-12,1.818224765793703e-15,2.407915280094448e-13,5.01995520574869e-19,6.86905919097493e-14,,,,0.0,3.9396720394538134e-12,1.818224765793703e-15,2.4345557954757584e-13,6.774240803290321e-19,7.99941042893228e-14,,,,0.0
2050,3.784325150255277e-12,1.5908553208239475e-15,2.755817576008615e-13,7.218492149703059e-19,7.531471273292551e-14,,,,0.0,3.989444992307073e-12,1.988569085873554e-15,2.8247256296841063e-13,1.2730794482288607e-18,9.2536071620468e-14,,,,0.0
2060,3.5963139517651674e-12,1.3043542451808474e-15,3.127200688572803e-13,8.774893556328355e-19,8.193907958659467e-14,,,,0.0,3.991583772912686e-12,2.173923611655318e-15,3.251820887882297e-13,1.90017474225555e-18,1.0654541485188852e-13,,,,0.0
2070,3.4423278864134017e-12,1.4184584444437575e-15,3.532801054900298e-13,1.083708027513421e-18,9.283222561389078e-14,,,,0.0,3.96066993304864e-12,2.364097363968676e-15,3.7020420116192686e-13,2.500865031285433e-18,1.2182567654992995e-13,,,,0.0
2080,3.3550301959694136e-12,1.02024245401281e-15,3.965317991162253e-13,1.3983544248973475e-18,1.057997839978201e-13,,,,0.0,3.907396841981927e-12,2.04048490802562e-15,4.146144899096738e-13,3.0038725437104837e-18,1.3730845887377496e-13,,,,0.0
2090,3.3023407726322338e-12,1.0911272532367333e-15,4.426789463842271e-13,1.846177918970758e-18,1.1889767182289888e-13,,,,0.0,3.833126124200921e-12,2.1822545064734666e-15,4.5457648062408035e-13,3.3969673505448247e-18,1.4563393893607393e-13,,,,0.0
2100,3.236429820722228e-12,1.1575100071896195e-15,4.865491690098088e-13,2.291858633481988e-18,1.330093387193519e-13,,,,0.0,3.741939984365399e-12,1.736264945628049e-15,4.918635944586645e-13,3.890500972526472e-18,1.610473073008297e-13,,,,0.0
