Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,7.557230935316111e-13,4.842768442151513e-13,2.1991499530506853e-13,1.2059852275063943e-12,4.711520315306669e-13,0.0,,1.827814667297968e-12,0.0,7.557230935316111e-13,4.842768442151513e-13,2.1991499530506853e-13,1.2059852275063943e-12,4.711520315306669e-13,0.0,,1.827814667297968e-12,0.0
2010,7.548175047962976e-13,4.866625200471195e-13,2.210443738822587e-13,1.1452892506423322e-12,4.577754841861292e-13,0.0,,1.8579896880292305e-12,0.0,7.462143697569162e-13,4.860821761933382e-13,2.1891960046107737e-13,1.1493214629168441e-12,4.644798014221818e-13,0.0,,1.833163250826904e-12,0.0
2020,7.543647524825431e-13,5.730851399493081e-13,2.2136703244879041e-13,8.147788840923994e-13,4.696219843979041e-13,0.0,,1.971278359402469e-12,0.0,7.240271513644167e-13,4.981530760285752e-13,2.1467777050981403e-13,8.984134143700958e-13,4.3027765693860375e-13,0.0,,1.9294377543477637e-12,0.0
2030,7.489311359628571e-13,6.059379429189422e-13,2.225888875574636e-13,7.525865452714353e-13,4.775569670351929e-13,0.0,,2.265507646801311e-12,0.0,7.009343021827013e-13,5.126987639150675e-13,2.1130004311909933e-13,6.169810453783525e-13,4.184026021270666e-13,0.0,,2.0439244572939383e-12,0.0
2040,7.367054777666116e-13,4.983727656149632e-13,2.240972559035144e-13,5.966682535257617e-13,3.629789230129006e-13,0.0,,1.894785002299456e-12,0.0,6.769359483734771e-13,4.556015497529863e-13,2.0844193374703118e-13,5.408853079229827e-13,3.331927747175736e-13,0.0,,2.020135910404027e-12,0.0
2050,7.118014931681714e-13,3.347370150424125e-13,2.2526290597156593e-13,3.826679293304811e-13,2.0561374572655467e-13,0.0,,1.2488237716661904e-12,0.0,6.43881496941605e-13,3.4217035770435133e-13,2.0552238362348653e-13,3.957686451288629e-13,1.8948870250667933e-13,0.0,,1.6931567259348413e-12,0.0
2060,6.782943314764475e-13,2.5225221743069123e-13,2.258204986641229e-13,2.6149762069520845e-13,1.4685855646046412e-13,0.0,,1.1003438900777003e-12,0.0,6.040351299948814e-13,3.1023578066771613e-13,2.017178932307304e-13,3.986593883292306e-13,1.7585410190324565e-13,0.0,,1.861584960257308e-12,0.0
2070,6.461455108337913e-13,1.9641270932912004e-13,2.259832682935476e-13,1.6039074529796155e-13,1.1368940300966536e-13,0.0,,1.013032755324592e-12,0.0,5.605663239990981e-13,2.7830116157717855e-13,1.9730244374321075e-13,4.0012038295417385e-13,1.5675359789652125e-13,0.0,,2.0118398529603202e-12,0.0
2080,6.158079938234699e-13,1.5707786502482155e-13,2.2716971401635968e-13,9.645680718797032e-14,9.284630093373076e-14,0.0,,9.574681956372252e-13,0.0,5.130223266405019e-13,2.3885922701029644e-13,1.924803750729221e-13,3.9294888891582723e-13,1.3593387779034768e-13,0.0,,2.1070323936789987e-12,0.0
2090,5.863758973328521e-13,1.3066461843490352e-13,2.301840956899243e-13,7.030933074804751e-14,7.810526741363001e-14,0.0,,9.082436822829071e-13,0.0,4.645727405465919e-13,2.0737738126046446e-13,1.8726217966852533e-13,3.983151350837919e-13,1.0729612694959308e-13,0.0,,2.177230786232389e-12,0.0
2100,5.560382962147255e-13,1.09273837873914e-13,2.3209616047252397e-13,6.031787022715292e-14,6.53728123822469e-14,0.0,,8.623410066829509e-13,0.0,4.1929275708018177e-13,1.6596115264883534e-13,1.8121960161444192e-13,3.759176051251504e-13,9.567334298536553e-14,0.0,,2.136823378173107e-12,0.0
