Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.3435991586995368e-13,5.466883679756741e-13,1.516955988432583e-11,3.825524440576213e-14,0.0,7.688276782890181e-13,1.6299730925253746e-12,1.2983698712125274e-13,,1.3435991586995368e-13,5.466883679756741e-13,1.516955988432583e-11,3.825524440576213e-14,0.0,7.688276782890181e-13,1.6299730925253746e-12,1.2983698712125274e-13
2010,,1.1980212697303192e-13,5.490786276830091e-13,1.4205902447649734e-11,3.6991072557750735e-14,0.0,7.406856273098928e-13,1.5849722208095114e-12,1.3702656433765207e-13,,1.1881819181745785e-13,5.440047822987648e-13,1.4214220373122715e-11,3.7210154990922095e-14,0.0,7.413498266451553e-13,1.5593432269328692e-12,1.3352799505825325e-13
2020,,1.0209894798294464e-13,5.484800324355653e-13,1.4698626154602777e-11,3.7119817951726167e-14,0.0,6.749938150506272e-13,1.5638860576909035e-12,1.559092922105499e-13,,8.682722049764011e-14,5.324345341721704e-13,1.2769431303595547e-11,3.762284570585698e-14,0.0,6.566791302650447e-13,1.4967707208337757e-12,1.451477616549802e-13
2030,,8.915505118679119e-14,5.495469399406692e-13,1.2300338525506052e-11,3.9074987984334966e-14,0.0,6.934454273425802e-13,1.789404651389353e-12,1.7472236830751834e-13,,6.840910939572471e-14,5.22234023702207e-13,1.1178010705600283e-11,4.0579284986955085e-14,0.0,5.491317838157031e-13,1.3253389126906729e-12,1.6374178948757306e-13
2040,,6.658764974594908e-14,5.507657040875125e-13,1.15737991581172e-11,3.6013229961293834e-14,0.0,4.1171506439809053e-13,1.2362801018596338e-12,1.9050411500823568e-13,,5.700737651297685e-14,5.127757646104497e-13,1.0925240510253141e-11,4.6065760633649524e-14,0.0,5.549410678459569e-13,1.0210475562687269e-12,1.8070305353067408e-13
2050,,4.4393881458143324e-14,5.514105165737464e-13,1.0244630732961812e-11,3.067023697301392e-14,0.0,6.020543911895843e-14,4.796660543507611e-13,2.0179352717428297e-13,,4.558670886065181e-14,5.02855080807375e-13,1.03268323185675e-11,4.9273858352102727e-14,0.0,5.059506685665665e-13,4.066360884377477e-13,1.8841748447657467e-13
2060,,3.4258883083087264e-14,5.507823153789792e-13,9.24253266513612e-12,3.3214214207271716e-14,0.0,6.138781086997077e-14,3.996074515060165e-13,2.129305570248101e-13,,4.4939930354478373e-14,4.907123529067569e-13,8.35686133088433e-12,5.2113711073770674e-14,0.0,4.5335246499616895e-13,3.695211645089189e-13,1.921190058891872e-13
2070,,2.785997968519369e-14,5.488299209039321e-13,8.542006159645456e-12,3.705172217018735e-14,0.0,6.426470782295758e-14,3.3806341564518957e-13,2.246573718302183e-13,,4.43029504075753e-14,4.778236728845176e-13,6.3607361801907494e-12,5.3583831395545146e-14,0.0,3.802546240846046e-13,3.2932038829931514e-13,1.94356778146246e-13
2080,,2.3108795495849968e-14,5.49497905090415e-13,8.122871399076771e-12,4.1466695922935535e-14,0.0,6.748598943982818e-14,2.873196209571356e-13,2.340939941891662e-13,,4.2175241098329374e-14,4.641419403699153e-13,4.301858196264379e-12,5.362760425125563e-14,0.0,2.817826569721835e-13,2.7171932633200544e-13,1.9271326958467874e-13
2090,,1.9832173571726786e-14,5.552610559896831e-13,7.759774641029212e-12,4.623260423487384e-14,0.0,6.985788736200688e-14,2.4223306441503466e-13,2.4208842001756506e-13,,3.995492909589311e-14,4.5021263653160214e-13,2.3612218241259534e-12,5.05692762496329e-14,0.0,1.5462413546521694e-13,2.2106125852409155e-13,1.903156294174641e-13
2100,,1.711818292334765e-14,5.583519337118006e-13,7.374237247773002e-12,5.108332738294289e-14,0.0,7.179886945927733e-14,2.0297519977916715e-13,2.4903768020842567e-13,,3.781562079467826e-14,4.345246384929169e-13,3.843258203266856e-13,5.0488842904463436e-14,0.0,2.0077311025833528e-14,1.3491678313269345e-13,1.8604520281253612e-13
