Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.9294260469761978e-12,2.3794786631820286e-15,2.183315067677153e-13,0.0,8.487339830199178e-14,,,,0.0,2.9294260469761978e-12,2.3794786631820286e-15,2.183315067677153e-13,0.0,8.487339830199178e-14,,,,0.0
2010,2.9840871837042278e-12,2.4322647884172635e-15,2.3000715605439195e-13,0.0,8.998396336093054e-14,,,,0.0,2.98724636297162e-12,2.4322647884172635e-15,2.30929440376718e-13,0.0,8.998396336093054e-14,,,,0.0
2020,3.066236748632585e-12,2.549321595605432e-15,2.573545605292849e-13,0.0,1.0537979684055056e-13,,,,0.0,3.0648147710175624e-12,2.549321595605432e-15,2.573098759111761e-13,0.0,1.057963240823158e-13,,,,0.0
2030,3.130060694760724e-12,3.4194204600605346e-15,2.9979825665644406e-13,0.0,1.2305279563164438e-13,,,,0.0,3.132430327028908e-12,3.4194204600605346e-15,2.999502927782313e-13,0.0,1.3199435034555446e-13,,,,0.0
2040,3.1485444212148954e-12,3.731384146590775e-15,3.5774576505530146e-13,0.0,1.3991746749304156e-13,,,,0.0,3.2011516453473684e-12,3.731384146590775e-15,3.6124857445696273e-13,0.0,1.6294186362278815e-13,,,,0.0
2050,3.0749257307061133e-12,3.2852814184203807e-15,4.250407069956402e-13,0.0,1.5417246472526625e-13,,,,0.0,3.2415944928310117e-12,4.1066015915184174e-15,4.359850774055778e-13,0.0,1.894253138522349e-13,,,,0.0
2060,2.9221585468824125e-12,2.712812506952668e-15,4.977125792357936e-13,0.0,1.6885465310205262e-13,,,,0.0,3.2433326857539413e-12,4.5213544202638606e-15,5.191203369947495e-13,0.0,2.1956176646143703e-13,,,,0.0
2070,2.797038394548273e-12,2.9727458636460386e-15,5.775477442523539e-13,0.0,1.9287182218393922e-13,,,,0.0,3.2182136420041575e-12,4.954576439410064e-15,6.074705470791665e-13,0.0,2.5310972316077467e-13,,,,0.0
2080,2.7261055516155813e-12,2.155477896167668e-15,6.623345225450653e-13,0.0,2.218900906268496e-13,,,,0.0,3.1749270871081083e-12,4.310955792335335e-15,6.950709848955024e-13,0.0,2.879720891310214e-13,,,,0.0
2090,2.6832928240461133e-12,2.324481055926221e-15,7.518868959983343e-13,0.0,2.5187508019255563e-13,,,,0.0,3.1145785355552687e-12,4.648962111852443e-15,7.745376760594422e-13,0.0,3.0851363130857123e-13,,,,0.0
2100,2.6297376974428385e-12,2.4868509796701197e-15,8.381357364092448e-13,0.0,2.846299275141176e-13,,,,0.0,3.0404857699022665e-12,3.730276711514593e-15,8.497994594720245e-13,0.0,3.446290561953669e-13,,,,0.0
