Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,7.112262438442867e-12,4.9130777368533577e-11,1.0853582102329964e-11,4.598903653279147e-11,0.0,,6.553627481967591e-11,0.0,,7.112262438442867e-12,4.9130777368533577e-11,1.0853582102329964e-11,4.598903653279147e-11,0.0,,6.553627481967591e-11,0.0
2010,,6.471915355724796e-12,4.9775421879465796e-11,9.306905174383187e-12,4.742438188186173e-11,0.0,,6.485989234872026e-11,0.0,,6.432399346212603e-12,4.928679686599935e-11,9.332593860770507e-12,4.767199622070714e-11,0.0,,6.382716000751777e-11,0.0
2020,,5.483764957277387e-12,5.054276189494803e-11,8.88391885308951e-12,5.1321734740771383e-11,0.0,,6.354541712452575e-11,0.0,,4.626664131178262e-12,4.8932142609099215e-11,8.914199825624137e-12,4.9643763847226104e-11,0.0,,6.203853015722711e-11,0.0
2030,,4.8174422604032965e-12,5.139579382575429e-11,9.093115870662692e-12,6.612813615595165e-11,0.0,,7.255629863156964e-11,0.0,,3.5317510099702813e-12,4.865075730443202e-11,8.411553560465518e-12,5.4749792001627744e-11,0.0,,5.621616303776797e-11,0.0
2040,,3.720200554539772e-12,5.1862520050522036e-11,7.603546940700128e-12,4.5969513909735074e-11,0.0,,5.359506201034787e-11,0.0,,2.5859732825513484e-12,4.81678708463396e-11,9.324526720740926e-12,5.326171826812822e-11,0.0,,4.700599793965194e-11,0.0
2050,,2.675285498183138e-12,5.160389864340392e-11,4.980630987004377e-12,2.148280687540828e-11,0.0,,2.565239795474069e-11,0.0,,1.7303919841016749e-12,4.71184880434639e-11,9.402411749614547e-12,4.677200618150348e-11,0.0,,2.4288836454376926e-11,0.0
2060,,2.078685347948541e-12,5.0592845929991386e-11,4.24328393490202e-12,2.235507305965416e-11,0.0,,2.121616590924733e-11,0.0,,1.6910327755686078e-12,4.538595761842275e-11,9.89898495064366e-12,4.0659002860070655e-11,0.0,,2.195144499073531e-11,0.0
2070,,1.7271575583874009e-12,4.916636217924496e-11,4.0871317874125325e-12,2.3552135710678182e-11,0.0,,1.7790083980265953e-11,0.0,,1.6818664066060414e-12,4.316031226498179e-11,1.003246908348166e-11,3.315449790610368e-11,0.0,,1.9885002735329433e-11,0.0
2080,,1.4617345933953519e-12,4.7834832775913724e-11,4.448006897870774e-12,2.4929438023281806e-11,0.0,,1.4949091027110127e-11,0.0,,1.6450810771337975e-12,4.070274564724089e-11,9.655501506558694e-12,2.474938291825695e-11,0.0,,1.7272738794815723e-11,0.0
2090,,1.2550551326922127e-12,4.68260495313853e-11,5.097111044926584e-12,2.6492058186416608e-11,0.0,,1.2415364551728018e-11,0.0,,1.6264960157939767e-12,3.819489025202872e-11,9.075944901831183e-12,1.5004107624448595e-11,0.0,,1.5585221425106743e-11,0.0
2100,,1.0747326549632916e-12,4.558363499072938e-11,5.707690092565881e-12,2.823880234986914e-11,0.0,,1.0203627985828675e-11,0.0,,1.6251734806389932e-12,3.565745101783049e-11,7.800470226458868e-12,5.3777498327483326e-12,0.0,,1.1495524589952902e-11,0.0
