Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,4.278583259692764e-12,2.263172415188551e-15,5.977692186841478e-13,0.0,8.062588070122779e-14,,,,0.0,4.278583259692764e-12,2.263172415188551e-15,5.977692186841478e-13,0.0,8.062588070122779e-14,,,,0.0
2010,4.3584183880999e-12,2.3112046835118124e-15,6.119049621257275e-13,0.0,8.578219979587282e-14,,,,0.0,4.3630330228925154e-12,2.3112046835118124e-15,6.143649802456734e-13,0.0,8.578219979587282e-14,,,,0.0
2020,4.478402497328076e-12,2.4197452894431525e-15,6.360582154769185e-13,0.0,1.0161413107049885e-13,,,,0.0,4.476325515163176e-12,2.4197452894431525e-15,6.388349445400494e-13,0.0,1.0201577587737828e-13,,,,0.0
2030,4.571620859650238e-12,3.245884463987103e-15,6.609460003113656e-13,0.0,1.2136864385076757e-13,,,,0.0,4.575082015975709e-12,3.245884463987103e-15,6.655390524404733e-13,0.0,1.3018782030049947e-13,,,,0.0
2040,4.598617302249679e-12,3.553828506164222e-15,6.811428225202559e-13,0.0,1.4251771660358748e-13,,,,0.0,4.675453386642243e-12,3.553828506164222e-15,6.906542437524076e-13,0.0,1.6597000649722568e-13,,,,0.0
2050,4.491092923238777e-12,3.157417790876595e-15,6.915396285914449e-13,0.0,1.6308831539935986e-13,,,,0.0,4.734521937558574e-12,3.946771886582051e-15,7.074187916552579e-13,0.0,2.0037984619344373e-13,,,,0.0
2060,4.267969095022922e-12,2.6501769726024823e-15,6.925928535590026e-13,0.0,1.8573090621392869e-13,,,,0.0,4.737060311110331e-12,4.41696150366624e-15,7.129870737821331e-13,0.0,2.415059494378599e-13,,,,0.0
2070,4.085224222397496e-12,2.972148408406671e-15,6.880468867813853e-13,0.0,2.2037282712946848e-13,,,,0.0,4.700372847076784e-12,4.9535810326914776e-15,7.104569007413538e-13,0.0,2.891998509355822e-13,,,,0.0
2080,3.981622391098919e-12,2.21884579500482e-15,6.83799968307926e-13,0.0,2.627740873019855e-13,,,,0.0,4.637150692292676e-12,4.43769159000964e-15,7.029336979014344e-13,0.0,3.4103192402080896e-13,,,,0.0
2090,3.919092323395097e-12,2.474563677727835e-15,6.842441926910339e-13,0.0,3.0832182045565615e-13,,,,0.0,4.549008356149984e-12,4.94912735545567e-15,6.908681779618606e-13,0.0,3.7765342350451604e-13,,,,0.0
2100,3.84087206484196e-12,2.7453083209505446e-15,6.809684940753583e-13,0.0,3.589403305606173e-13,,,,0.0,4.440792250520814e-12,4.117962481425819e-15,6.762252193990063e-13,0.0,4.3460378694117407e-13,,,,0.0
