Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.028438783083956e-12,1.2831509503578899e-12,8.286911097272694e-11,2.539404263070068e-13,0.0,4.894478216115388e-12,5.385538861715402e-12,7.942962166374624e-13,,1.028438783083956e-12,1.2831509503578899e-12,8.286911097272694e-11,2.539404263070068e-13,0.0,4.894478216115388e-12,5.385538861715402e-12,7.942962166374624e-13
2010,,9.737587050509455e-13,1.3276986492209745e-12,7.754275900063513e-11,2.499243773646565e-13,0.0,4.73907587346952e-12,5.238901654833882e-12,8.457874978462809e-13,,9.569653628086154e-13,1.3144907459813967e-12,7.759445938634944e-11,2.498093230022228e-13,0.0,4.742731357793168e-12,5.151125022024801e-12,8.242438263448703e-13
2020,,8.853047799355424e-13,1.4276897982153354e-12,8.016654007292345e-11,2.5762565879404653e-13,0.0,4.375610984652667e-12,5.226566551924811e-12,9.778069870308564e-13,,7.59373420000953e-13,1.3770107426686201e-12,6.976772313025222e-11,2.546494828067077e-13,0.0,4.2923322553947026e-12,4.987336369714205e-12,9.096529835690065e-13
2030,,8.14467487447284e-13,1.5702572500533786e-12,6.702915699962875e-11,2.749231257438212e-13,0.0,4.4914807608889165e-12,6.037944543745798e-12,1.1201387040138402e-12,,6.177720216013557e-13,1.478965598637787e-12,6.11929966158346e-11,2.786672450602076e-13,0.0,3.734267399806484e-12,4.546763866309712e-12,1.049652857124931e-12
2040,,7.099541956575613e-13,1.743792797846887e-12,6.275472634035544e-11,2.625217048251088e-13,0.0,2.6896381143303087e-12,4.2932541905955575e-12,1.2497932493720578e-12,,4.935546622298682e-13,1.6134874967630862e-12,5.999940484386839e-11,3.1900959914217805e-13,0.0,3.5086318235173434e-12,3.5486088542121563e-12,1.1885341622297783e-12
2050,,5.912386758855982e-13,1.925769416305661e-12,5.52067580839333e-11,2.3512599056190853e-13,0.0,4.384499520205898e-13,1.8383650457776424e-12,1.351989841401823e-12,,3.7596272754173705e-13,1.7560476346318795e-12,5.6906149462302114e-11,3.4429431903057847e-13,0.0,2.822200056234264e-12,1.4278662711657023e-12,1.2676143918316955e-12
2060,,5.036343433136588e-13,2.0951063706742867e-12,4.970851958280737e-11,2.5270839756371704e-13,0.0,4.437560960582568e-13,1.5648706054695427e-12,1.4465453984796742e-12,,3.592609974527054e-13,1.884850758954321e-12,4.620501278881992e-11,3.6191756236069993e-13,0.0,2.51989101507066e-12,1.3312997476194294e-12,1.3112144628327142e-12
2070,,4.2963947902377675e-13,2.261969515597333e-12,4.583714188991176e-11,2.790437738233311e-13,0.0,4.561830455427171e-13,1.3372751667278956e-12,1.5359413253269516e-12,,3.414792379044143e-13,1.9948119732625584e-12,3.534410001908032e-11,3.698106948296492e-13,0.0,2.1074619151897222e-12,1.2006240596312984e-12,1.3334875621135639e-12
2080,,3.639904865878648e-13,2.429481540869229e-12,4.3478722124125456e-11,3.093253881264918e-13,0.0,4.680277374366865e-13,1.1289004641000707e-12,1.6007604401172816e-12,,3.147742717755807e-13,2.0724443182594717e-12,2.416848103029827e-11,3.7819686384112205e-13,0.0,1.5630035741652093e-12,9.955600533151665e-13,1.3203031948519576e-12
2090,,3.070945102941765e-13,2.5910039879383444e-12,4.1422499064436593e-11,3.406328569436015e-13,0.0,4.730231784344807e-13,9.334235711693891e-13,1.6461897535815086e-12,,2.867146975918914e-13,2.1188497653120727e-12,1.3618223665862635e-11,3.717383945712239e-13,0.0,8.736359983789204e-13,8.008013359035388e-13,1.2931523344631703e-12
2100,,2.554119641010269e-13,2.7342790194169127e-12,3.9242975235753405e-11,3.718104559221043e-13,0.0,4.744960524344216e-13,7.550395181449437e-13,1.6758297077362305e-12,,2.5951041240848613e-13,2.13928968383858e-12,2.8806238550661045e-12,3.744523460071805e-13,0.0,1.543142373455613e-13,5.017513244226951e-13,1.2481560454860822e-12
