Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.1531314791923819e-10,2.518655006777948e-11,7.630698295457705e-11,5.418741011453676e-10,0.0,,1.2945279292964077e-10,0.0,,1.1531314791923819e-10,2.518655006777948e-11,7.630698295457705e-11,5.418741011453676e-10,0.0,,1.2945279292964077e-10,0.0
2010,,1.0210297052282158e-10,2.5631241573620398e-11,6.557201448487148e-11,5.577942552292825e-10,0.0,,1.2811675054180686e-10,0.0,,1.014795691922643e-10,2.5366619915700995e-11,6.575300304234588e-11,5.607065922674792e-10,0.0,,1.2607680455190006e-10,0.0
2020,,8.201132550844647e-11,2.551040212406264e-11,6.282133147017532e-11,6.002013108741266e-10,0.0,,1.255202830563462e-10,0.0,,6.919312900421915e-11,2.4647953122958202e-11,6.30354657360499e-11,5.805776304157463e-10,0.0,,1.2254375292286568e-10,0.0
2030,,6.704660160394837e-11,2.503309781687335e-11,6.454285439438932e-11,7.639886057120293e-10,0.0,,1.4331934528044598e-10,0.0,,4.915303164487739e-11,2.3640062130070305e-11,5.970512972908182e-11,6.325329593437348e-10,0.0,,1.110429082018527e-10,0.0
2040,,4.782090279320528e-11,2.424124789790483e-11,5.419016346763785e-11,5.209393805216679e-10,0.0,,1.0586549414881573e-10,0.0,,3.32411015380174e-11,2.2485129036464713e-11,6.645551886563794e-11,6.035766553225133e-10,0.0,,9.285022195548721e-11,0.0
2050,,3.182625829545316e-11,2.309675783962461e-11,3.571450080119831e-11,2.373061080973571e-10,0.0,,5.0670784235151704e-11,0.0,,2.058543197014373e-11,2.1100401981222198e-11,6.74216682483575e-11,5.16658804627923e-10,0.0,,4.797736097295058e-11,0.0
2060,,2.306997232137675e-11,2.1700996555296126e-11,3.069264287169915e-11,2.3975030849499043e-10,0.0,,4.19079632107966e-11,0.0,,1.8767667975261304e-11,1.95148577852855e-11,7.160162462938045e-11,4.3605359323350963e-10,0.0,,4.336035419605365e-11,0.0
2070,,1.8064066908962672e-11,2.0302196035437695e-11,2.988248537505456e-11,2.4474511306493696e-10,0.0,,3.514048219077637e-11,0.0,,1.759037498993976e-11,1.7865417478724055e-11,7.335096974259159e-11,3.445293383919079e-10,0.0,,3.927853597929242e-11,0.0
2080,,1.455326414934177e-11,1.905761382037241e-11,3.2910299485600085e-11,2.508750762686418e-10,0.0,,2.952870725714263e-11,0.0,,1.6378691458651677e-11,1.6241366584957007e-11,7.143997615699505e-11,2.490631256790721e-10,0.0,,3.411857185664501e-11,0.0
2090,,1.2003344151967356e-11,1.8026174997132217e-11,3.814272231394966e-11,2.582772218318041e-10,0.0,,2.452387459772609e-11,0.0,,1.5555803867250973e-11,1.4713844032065992e-11,6.791714968201746e-11,1.462785226280516e-10,0.0,,3.078524657418313e-11,0.0
2100,,9.9507541095889e-12,1.6996574980776552e-11,4.319672675112685e-11,2.6732611679847197e-10,0.0,,2.01550678924356e-11,0.0,,1.5047185719652134e-11,1.3294261524965378e-11,5.903523225825324e-11,5.0909138016308475e-11,0.0,,2.2706933555660672e-11,0.0
