Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,8.886809343966463e-12,1.87618882019e-14,3.1191843812700124e-13,0.0,6.772551703476682e-13,,,,0.0,8.886809343966463e-12,1.87618882019e-14,3.1191843812700124e-13,0.0,6.772551703476682e-13,,,,0.0
2010,9.052630867145695e-12,1.9072129943051298e-14,3.2035929898449606e-13,0.0,7.211414625174493e-13,,,,0.0,9.062216255184552e-12,1.9072129943051298e-14,3.2164533623341163e-13,0.0,7.211414625174493e-13,,,,0.0
2020,9.301843323372693e-12,1.9813962753509328e-14,3.269794591337361e-13,0.0,8.534898482404075e-13,,,,0.0,9.297530800811416e-12,1.9813962753509328e-14,3.276723076900412e-13,0.0,8.568634517203134e-13,,,,0.0
2030,9.49546205553098e-12,2.634573603114281e-14,3.286898747970057e-13,0.0,1.013442628428063e-12,,,,0.0,9.502651443504816e-12,2.634573603114281e-14,3.300980582626734e-13,0.0,1.0870837216514495e-12,,,,0.0
2040,9.551535257168453e-12,2.861354274179273e-14,3.258419142143644e-13,0.0,1.1780305897435282e-12,,,,0.0,9.711127041400757e-12,2.861354274179273e-14,3.2993863717523107e-13,0.0,1.3718835095710704e-12,,,,0.0
2050,9.328202793534855e-12,2.527706505477817e-14,3.1731592180228583e-13,0.0,1.3336273058106586e-12,,,,0.0,9.833815706183912e-12,3.159632928559364e-14,3.248339965067348e-13,0.0,1.6385724374567977e-12,,,,0.0
2060,8.864763784144359e-12,2.1153602957832417e-14,3.049434836588372e-13,0.0,1.5056858537754182e-12,,,,0.0,9.8390878777721e-12,3.5256004929720697e-14,3.1475481943044057e-13,0.0,1.957843782929292e-12,,,,0.0
2070,8.485194491480997e-12,2.370215026852029e-14,2.918611316168884e-13,0.0,1.7760869164273885e-12,,,,0.0,9.762886332698173e-12,3.950358378086717e-14,3.0221235670230273e-13,0.0,2.3307956259488453e-12,,,,0.0
2080,8.270009677069368e-12,1.770542127623939e-14,2.798991507318992e-13,0.0,2.1104644074010358e-12,,,,0.0,9.631571235013679e-12,3.541084255247878e-14,2.8836562044470825e-13,0.0,2.7389908049957334e-12,,,,0.0
2090,8.140131624312375e-12,1.977613765021674e-14,2.7054565185369313e-13,0.0,2.469832324769605e-12,,,,0.0,9.448495458252994e-12,3.955227530043348e-14,2.735201821979505e-13,0.0,3.025217923391388e-12,,,,0.0
2100,7.977664362446291e-12,2.1986722880708302e-14,2.606016531042643e-13,0.0,2.8729147533157475e-12,,,,0.0,9.223725255802509e-12,3.298008296580973e-14,2.589282087350764e-13,0.0,3.4785160862860213e-12,,,,0.0
