Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,2.021444470146072e-12,7.152713976665835e-11,1.0970984537506111e-12,1.4181211760444512e-10,7.631195675372737e-11,0.0,,7.194257967135798e-11,0.0,2.021444470146072e-12,7.152713976665835e-11,1.0970984537506111e-12,1.4181211760444512e-10,7.631195675372737e-11,0.0,,7.194257967135798e-11,0.0
2010,2.019022102284218e-12,7.171018778784343e-11,1.1123674897861592e-12,1.351679879135759e-10,7.414533431671089e-11,0.0,,7.201378382504231e-11,0.0,1.9960099545413e-12,7.162468396160194e-11,1.1009627237656972e-12,1.356438739108512e-10,7.52312323548665e-11,0.0,,7.07545799727427e-11,0.0
2020,2.0178110918256385e-12,8.407145535294091e-11,1.1061229189535117e-12,9.696600189457172e-11,7.604752383372216e-11,0.0,,7.569264104390072e-11,0.0,1.93666246234292e-12,7.307893734598281e-11,1.0702877820123471e-12,1.0691925123040846e-10,6.967636467791749e-11,0.0,,6.95792701232989e-11,0.0
2030,2.003276884654514e-12,8.837273690609494e-11,1.0880180437156103e-12,9.07289410267964e-11,7.726278505870709e-11,0.0,,8.820941754805745e-11,0.0,1.874892602282685e-12,7.4774320069082e-11,1.0301979755378276e-12,7.438085702915486e-11,6.769235727510648e-11,0.0,,6.544190744861567e-11,0.0
2040,1.970575091991833e-12,7.223959208602081e-11,1.059742398001884e-12,7.319267969485566e-11,5.862185181726431e-11,0.0,,6.663418705699087e-11,0.0,1.810700721305292e-12,6.603986246744852e-11,9.842080275768162e-13,6.6349842287039e-11,5.381132761606011e-11,0.0,,5.20791465508097e-11,0.0
2050,1.903960669680238e-12,4.8293430365831106e-11,1.0197538993783615e-12,4.80450568218771e-11,3.3141783761792e-11,0.0,,3.482123478448784e-11,0.0,1.7222851617093583e-12,4.9365861398698026e-11,9.309131590584663e-13,4.9689885539550006e-11,3.054267672109034e-11,0.0,,2.4556223721106106e-11,0.0
2060,1.8143340996257248e-12,3.6338593245588414e-11,9.718696333815832e-13,3.3789149256335795e-11,2.364494988693621e-11,0.0,,2.8921223749200923e-11,0.0,1.6157021900942148e-12,4.469150050034898e-11,8.700772741176978e-13,5.1512372145623426e-11,2.8313376643218647e-11,0.0,,2.4589133507113556e-11,0.0
2070,1.728341081363993e-12,2.8368180027271703e-11,9.224785865735718e-13,2.143003968724245e-11,1.8321419381628344e-11,0.0,,2.4470991899505635e-11,0.0,1.4994297470316554e-12,4.0195449746427406e-11,8.06518480472862e-13,5.3460663673732253e-11,2.52613513440636e-11,0.0,,2.478450777942953e-11,0.0
2080,1.6471924518812742e-12,2.285558131642773e-11,8.791968021670814e-13,1.3366865947439519e-11,1.5015627630177164e-11,0.0,,2.093782647261122e-11,0.0,1.3722566485907528e-12,3.475515986117728e-11,7.447946773209147e-13,5.445437434303813e-11,2.1983993792051847e-11,0.0,,2.4117211006036146e-11,0.0
2090,1.5684665372051046e-12,1.924605336212082e-11,8.458794428789495e-13,1.0109906661837088e-11,1.2708592511678773e-11,0.0,,1.7786325190449766e-11,0.0,1.2426615292326914e-12,3.054534958302213e-11,6.869563945466342e-13,5.7274462950118725e-11,1.7458268164460833e-11,0.0,,2.414123345673147e-11,0.0
2100,1.4873179077223853e-12,1.6366041855064845e-11,8.120981317971675e-13,8.99911672957998e-12,1.0733625793735158e-11,0.0,,1.496296558878285e-11,0.0,1.121544350446424e-12,2.485615324676616e-11,6.32136443884379e-13,5.608497555265046e-11,1.5708701006644787e-11,0.0,,2.0463465644215974e-11,0.0
