Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,8.460298362261507e-11,2.6612567513668817e-12,7.844457243739186e-13,8.617407170982789e-10,1.9780218830204806e-13,0.0,,6.409828367315679e-13,4.826520026558134e-11,8.460298362261507e-11,2.6612567513668817e-12,7.844457243739186e-13,8.617407170982789e-10,1.9780218830204806e-13,0.0,,6.409828367315679e-13,4.826520026558134e-11
2010,8.675431254604956e-11,2.7582206155078774e-12,7.952758423066454e-13,8.898867849501552e-10,2.0389272765363904e-13,0.0,,7.333766616021793e-13,5.085432458282286e-11,8.673955040817732e-11,2.7272702774300084e-12,7.948394098073099e-13,8.890626166303577e-10,2.0389272765363904e-13,0.0,,7.218274708796347e-13,5.085432458282286e-11
2020,8.939847329847046e-11,3.1651939211381437e-12,7.98942688826555e-13,7.693233023811162e-10,1.981757221208666e-13,0.0,,9.566620723569411e-13,5.107432867439574e-11,9.141995972499744e-11,3.0992923744662936e-12,8.208822749896917e-13,9.503414760117801e-10,2.296321956818775e-13,0.0,,9.316386862159755e-13,5.703920477702303e-11
2030,8.674398364356529e-11,3.5305216604625842e-12,7.105797631336045e-13,5.973522366408862e-10,1.8922626875378952e-13,0.0,,1.16069869233201e-12,4.461528081844202e-11,9.585395312732434e-11,3.7199142233978635e-12,8.550836044976433e-13,1.0203282203809943e-09,2.791772739709457e-13,0.0,,1.2723413079823145e-12,6.549271469974225e-11
2040,8.25165606342133e-11,3.835960763591217e-12,6.078859877153554e-13,4.900735755905645e-10,1.9408811543095623e-13,0.0,,1.2896649744300298e-12,3.841473882288412e-11,9.887439526127748e-11,4.3188565750515914e-12,8.909399798377787e-13,1.0819355832703376e-09,3.423009002682224e-13,0.0,,1.624593060653147e-12,7.511280486482973e-11
2050,7.373120504943362e-11,3.811356881441182e-12,4.591508567031549e-13,3.306900806827453e-10,1.7618297266499627e-13,0.0,,1.2838904987048591e-12,2.7051797583608508e-11,9.886553644721204e-11,4.69987076077073e-12,9.132818423931893e-13,1.133497096949715e-09,3.9705942078310987e-13,0.0,,1.8247797908725653e-12,8.334833972426246e-11
2060,6.828942009574661e-11,3.5236308602715957e-12,3.978430073408188e-13,2.3087833560684258e-10,1.5698063060182368e-13,0.0,,1.1895716691383715e-12,2.1712700602988817e-11,9.701816361778834e-11,5.046204833302548e-12,9.221373066477963e-13,1.163874636513983e-09,4.593136814376932e-13,0.0,,1.9133241447138822e-12,9.077997357662987e-11
2070,6.568361946300416e-11,3.289574551454495e-12,3.7690594180166935e-13,1.9257006717202e-10,1.5654769745846567e-13,0.0,,1.1222012304087255e-12,2.048788724880132e-11,9.383984776973348e-11,5.526678731518257e-12,9.18440012739981e-13,1.2107589413815354e-09,5.297903519142539e-13,0.0,,2.0249666407280853e-12,9.751567369689916e-11
2080,6.354260795698816e-11,3.115031221473577e-12,3.6969176522753994e-13,1.7850337300238797e-10,1.6428943933247024e-13,0.0,,1.0702295132489693e-12,2.065618557426872e-11,8.875219333405986e-11,5.810976221282701e-12,8.976274584737708e-13,1.2544304905171385e-09,6.017687545585522e-13,0.0,,2.0538398568066503e-12,1.018330171145353e-10
2090,6.086745284040396e-11,3.027202530793176e-12,3.6137621870031783e-13,1.7085263472193312e-10,1.7518039222295801e-13,0.0,,1.0182580353614166e-12,2.092581663504233e-11,8.254606959653678e-11,6.3815054773053545e-12,8.656666140621197e-13,1.3686784119852682e-09,6.505174153179945e-13,0.0,,2.186656028660321e-12,1.0407604280309331e-10
2100,5.828378392940412e-11,2.9511321547412525e-12,3.557190461729539e-13,1.662990511580778e-10,1.8768578944358398e-13,0.0,,9.720610331990344e-13,2.121938640124003e-11,7.610682199397396e-11,5.452244977338841e-12,8.330728348539405e-13,1.4144122501577311e-09,7.192603792254435e-13,0.0,,1.859427363040199e-12,1.0444024955214396e-10
