Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,1.8223213007425467e-12,4.995669070158438e-12,3.5030757179005633e-13,2.376966077260569e-11,4.925210190523068e-12,0.0,,7.699503768084916e-12,0.0,1.8223213007425467e-12,4.995669070158438e-12,3.5030757179005633e-13,2.376966077260569e-11,4.925210190523068e-12,0.0,,7.699503768084916e-12,0.0
2010,1.8201374527531787e-12,5.02171460756667e-12,3.665661677836703e-13,2.246108314090485e-11,4.783823779586182e-12,0.0,,7.732220959872542e-12,0.0,1.7993921249770002e-12,5.015726280721456e-12,3.621393069883293e-13,2.2540162460202225e-11,4.853885238678666e-12,0.0,,7.603797630870968e-12,0.0
2020,1.8190456515707767e-12,5.916738583836774e-12,4.0294285852884834e-13,1.57819774947669e-11,4.903952858345379e-12,0.0,,8.143480481885139e-12,0.0,1.7458907967322458e-12,5.143112582818171e-12,3.872562914393216e-13,1.74019481224188e-11,4.493106476847698e-12,0.0,,7.589608391117306e-12,0.0
2030,1.8059433005082592e-12,6.2607495392520175e-12,4.605389324567377e-13,1.4262079226560305e-11,4.981245504571705e-12,0.0,,9.462023102105679e-12,0.0,1.690205743310405e-12,5.2973716858512e-12,4.3225329903421916e-13,1.1692253851446473e-11,4.364225794909874e-12,0.0,,7.34110756451476e-12,0.0
2040,1.7764629492114535e-12,5.154035998382581e-12,5.362109478165866e-13,1.094892416652286e-11,3.780757909300641e-12,0.0,,7.309958931186257e-12,0.0,1.6323368418991966e-12,4.711707425399888e-12,4.948297487101027e-13,9.925301485313224e-12,3.470508050065645e-12,0.0,,6.1903098183325595e-12,0.0
2050,1.7164104454354405e-12,3.465059114760715e-12,6.163297502644479e-13,6.731685513834722e-12,2.138542047478785e-12,0.0,,4.0488340310736614e-12,0.0,1.5526308115294064e-12,3.5420064128515054e-12,5.644103670175028e-13,6.962146198785362e-12,1.9708294730704733e-12,0.0,,3.5740999638737506e-12,0.0
2060,1.6356124910709667e-12,2.6137042382919516e-12,6.94103513603492e-13,4.3809916363290915e-12,1.525477998591307e-12,0.0,,3.4186532660787614e-12,0.0,1.4565467809253294e-12,3.214499463071351e-12,6.336064907746436e-13,6.678927322705232e-12,1.826666153636927e-12,0.0,,3.725896680663003e-12,0.0
2070,1.5580901858782631e-12,2.0370902604878386e-12,7.724848292990428e-13,2.5519638025192074e-12,1.179868764144814e-12,0.0,,2.9651622848318897e-12,0.0,1.3517278496129064e-12,2.8863944174803647e-12,6.936771093621758e-13,6.366281641483026e-12,1.6267887970831082e-12,0.0,,3.875351121619772e-12,0.0
2080,1.4849353310397324e-12,1.6307867052822919e-12,8.508953129114465e-13,1.4571507717256731e-12,9.63151510366043e-13,0.0,,2.617291830658693e-12,0.0,1.237082093597455e-12,2.4798430270907808e-12,7.409167920292726e-13,5.936188610480129e-12,1.4101254578959084e-12,0.0,,3.903155085274307e-12,0.0
2090,1.4139640785660062e-12,1.3580921048517452e-12,9.219138481135444e-13,1.0107318128958383e-12,8.10434008496356e-13,0.0,,2.3072979122183124e-12,0.0,1.1202526124049173e-12,2.1554235780671616e-12,7.704305482666418e-13,5.725979179497253e-12,1.1133234206712474e-12,0.0,,3.967293062406202e-12,0.0
2100,1.3408092237274755e-12,1.1373172561049884e-12,9.785378628334794e-13,8.28228955428278e-13,6.789920764281599e-13,0.0,,2.0279859404367862e-12,0.0,1.0110662307383222e-12,1.7273162988435969e-12,7.836297982192513e-13,5.161751557154597e-12,9.937073288118131e-13,0.0,,3.6206072555002118e-12,0.0
