Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,,1.3592714711908468e-12,6.772547124881314e-13,1.626532458376701e-10,4.1341638200310746e-13,0.0,8.182805465665786e-12,9.053916908232494e-12,1.3898588523929586e-12,,1.3592714711908468e-12,6.772547124881314e-13,1.626532458376701e-10,4.1341638200310746e-13,0.0,8.182805465665786e-12,9.053916908232494e-12,1.3898588523929586e-12
2010,,1.2137541463539265e-12,7.073315016299689e-13,1.523037035721913e-10,3.988909743319517e-13,0.0,7.877978996781173e-12,8.803952650483767e-12,1.466578579326157e-12,,1.2037854734657828e-12,6.991655902217441e-13,1.52392867253546e-10,4.012534220816692e-13,0.0,7.885043159212195e-12,8.661592583779267e-12,1.4291338515750436e-12
2020,,1.0372327382438155e-12,7.740661602354449e-13,1.5754460076727526e-10,3.9833380571392426e-13,0.0,7.168055726168882e-12,8.68682706888057e-12,1.6679025417435878e-12,,8.820857638217909e-13,7.445215167092819e-13,1.3686686395833456e-10,4.037318046251085e-13,0.0,6.9735638109704685e-12,8.314024002193962e-12,1.5527768353320927e-12
2030,,9.089963295346617e-13,8.799986919102333e-13,1.3178286780408293e-10,4.163927990510392e-13,0.0,7.346422388808306e-12,9.939501532547655e-12,1.8676068557927936e-12,,6.974772283820281e-13,8.26347102839082e-13,1.1975851971851828e-10,4.324229027949501e-13,0.0,5.8175499815690354e-12,7.361782766478211e-12,1.7502355268143434e-12
2040,,6.815247727030861e-13,1.0191085929913729e-12,1.2392493324538752e-10,3.80692896086055e-13,0.0,4.348355991896373e-12,6.867092931659789e-12,2.033840401895181e-12,,5.83470587479425e-13,9.410282287916011e-13,1.169805727212068e-10,4.86957327951557e-13,0.0,5.861048126674548e-12,5.671553197585197e-12,1.9292029871347933e-12
2050,,4.560096462186381e-13,1.1661269295326037e-12,1.0961240175109487e-10,3.2185850592395154e-13,0.0,6.337877617021155e-13,2.664372901264253e-12,2.151049495849789e-12,,4.682622284024902e-13,1.0677566254963998e-12,1.104919184662064e-10,5.17087970278826e-13,0.0,5.326185412084103e-12,2.258717794904946e-12,2.008465665168421e-12
2060,,3.530135254910876e-13,1.3081163487715833e-12,9.880782917523307e-11,3.4664927025224903e-13,0.0,6.442766060084897e-13,2.2196760162454013e-12,2.265872838424268e-12,,4.630740849772935e-13,1.1925089725921036e-12,8.933950138184507e-11,5.438990580436938e-13,0.0,4.75802042799704e-12,2.0525576076549145e-12,2.04440987246435e-12
2070,,2.878609653987729e-13,1.451356242660644e-12,9.123821462354152e-11,3.854233795442975e-13,0.0,6.728483306407279e-13,1.8778211532439084e-12,2.386574468039749e-12,,4.577566202196931e-13,1.3037895492825824e-12,6.793979341747837e-11,5.573954523113564e-13,0.0,3.981247976326789e-12,1.8292567559025726e-12,2.0646856888884102e-12
2080,,2.393498225329963e-13,1.5957621163501235e-12,8.668299902845206e-11,4.3072388698981503e-13,0.0,7.054155686326609e-13,1.595957633502248e-12,2.4829747402686504e-12,,4.3683085049894233e-13,1.3888621079164254e-12,4.590716793923617e-11,5.570419371591014e-13,0.0,2.9454091574778286e-12,1.5093034983074397e-12,2.0440601030866803e-12
2090,,2.058791006407831e-13,1.7275950827225683e-12,8.2738174227319e-11,4.803515009550373e-13,0.0,7.297321547421447e-13,1.3455178465996137e-12,2.5645348676520203e-12,,4.1477474724247294e-13,1.4424764234601462e-12,2.5176397839655425e-11,5.254089935985663e-13,0.0,1.6151961773968865e-12,1.227915998968816e-12,2.016086167234571e-12
2100,,1.7812344826747823e-13,1.831290527283965e-12,7.857044022279925e-11,5.3159339025117e-13,0.0,7.502747194415914e-13,1.127454447403484e-12,2.6360575472696143e-12,,3.934909183150526e-13,1.4648670673713808e-12,4.094884215388434e-12,5.25406905789781e-13,0.0,2.098013564745722e-13,7.494144194097885e-13,1.9692838805079833e-12
