Year,rcp45_agri,rcp45_buil,rcp45_burn,rcp45_ener,rcp45_indu,rcp45_ship,rcp45_solv,rcp45_tran,rcp45_wast,rcp85_agri,rcp85_buil,rcp85_burn,rcp85_ener,rcp85_indu,rcp85_ship,rcp85_solv,rcp85_tran,rcp85_wast
2005,3.2943597288585706e-11,4.416988956987507e-13,3.2702137294412144e-13,1.7555831165547818e-10,2.3962472786586098e-14,0.0,,1.3019483539852934e-13,9.827747313680957e-12,3.2943597288585706e-11,4.416988956987507e-13,3.2702137294412144e-13,1.7555831165547818e-10,2.3962472786586098e-14,0.0,,1.3019483539852934e-13,9.827747313680957e-12
2010,3.380014611487707e-11,4.614411600732148e-13,3.3344185238493866e-13,1.8121095162050256e-10,2.4886202218838198e-14,0.0,,1.48947520983711e-13,1.0370997219115617e-11,3.379386074042597e-11,4.561805334117294e-13,3.332827761281917e-13,1.8104306998200327e-10,2.4867002125311974e-14,0.0,,1.465896937885748e-13,1.0370997219115617e-11
2020,3.4881782655466074e-11,5.36762319179909e-13,3.4154464998946444e-13,1.5673804651623703e-10,2.466975847021124e-14,0.0,,1.9429230824765432e-13,1.0446964679235813e-11,3.5657000570018907e-11,5.251206558396856e-13,3.4968010963910204e-13,1.9328594441428842e-10,2.8447925019243545e-14,0.0,,1.8912874452529667e-13,1.1654499205608883e-11
2030,3.3880034548459543e-11,6.093371287429641e-13,3.1501377372811105e-13,1.2128124887492562e-10,2.434204371324705e-14,0.0,,2.359073032500165e-13,9.130603529323656e-12,3.7437858022761936e-11,6.406453862030412e-13,3.724300517524497e-13,2.0711740292567013e-10,3.557760617374451e-14,0.0,,2.5837984082037963e-13,1.3390205869628813e-11
2040,3.2258742073434824e-11,6.734687678103307e-13,2.8336075023630046e-13,9.91252000274856e-11,2.6047073697432643e-14,0.0,,2.624112158152593e-13,7.846051263890507e-12,3.867125426731815e-11,7.560654770515032e-13,3.9941714611175024e-13,2.1892836516974224e-10,4.538638680336782e-14,0.0,,3.3028856432018754e-13,1.5328150823483172e-11
2050,2.8846470349792503e-11,6.77899472916204e-13,2.3067849502331553e-13,6.65419411169128e-11,2.4893997655774547e-14,0.0,,2.617669362831052e-13,5.4922814205804e-12,3.871701831299741e-11,8.328009090783981e-13,4.2348452104663437e-13,2.28186727848403e-10,5.5102744350661576e-14,0.0,,3.715672453112621e-13,1.690770209621718e-11
2060,2.6737561173469795e-11,6.308053243433229e-13,2.1306954607678564e-13,4.61078974284089e-11,2.3349237716534497e-14,0.0,,2.43055945740404e-13,4.361274638922036e-12,3.8033780792275757e-11,8.988863496629931e-13,4.4374740441306185e-13,2.324771142617289e-10,6.659110936901898e-14,0.0,,3.900835369573725e-13,1.8214960149517508e-11
2070,2.573563581279155e-11,5.887550104950759e-13,2.1350378255470388e-13,3.807336744562577e-11,2.4278293433798998e-14,0.0,,2.2974663987272546e-13,4.053671010968493e-12,3.6817808379909434e-11,9.831173071964138e-13,4.598027733152116e-13,2.393851014030229e-10,7.97091186364723e-14,0.0,,4.1286591827536797e-13,1.926963375802035e-11
2080,2.4915866104682105e-11,5.541054194532161e-13,2.1974618063065355e-13,3.4845362119424646e-11,2.6327003102456986e-14,0.0,,2.1935127549458267e-13,4.011727342199314e-12,3.4846967589462716e-11,1.0266377314182002e-12,4.653063279165084e-13,2.4498012373774684e-10,9.330579319929888e-14,0.0,,4.1874550024202297e-13,1.974854058062192e-11
2090,2.388531121992386e-11,5.328281026272128e-13,2.2391423641567608e-13,3.2866106873067714e-11,2.878311289033047e-14,0.0,,2.0888593921083035e-13,3.979941633128532e-12,3.243000171868937e-11,1.114871604035848e-12,4.621546952380592e-13,2.6334448428373905e-10,1.0330184338362426e-13,0.0,,4.450260948282624e-13,1.9761875353971168e-11
2100,2.2886739417218552e-11,5.125606351141031e-13,2.283999990332651e-13,3.145934023838457e-11,3.1399610112322324e-14,0.0,,1.994846343070084e-13,3.9472686369999035e-12,2.991416497227167e-11,9.3997412004536e-13,4.55048663027771e-13,2.6764554666533844e-10,1.1624980548078615e-13,0.0,,3.7841086695833926e-13,1.9392439991542e-11
