ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
IRN,IRN,Medium,1950,114.80266024676496,110.84394691543783,225.64660716220274
IRN,IRN,Medium,1951,117.62677827264521,113.25803472765574,230.8848130003009
IRN,IRN,Medium,1952,120.57724802888956,115.80174312368337,236.37899115257287
IRN,IRN,Medium,1953,123.6469386698766,118.47297634667471,242.11991501655135
IRN,IRN,Medium,1954,126.83034059584716,121.26974408666865,248.10008468251579
IRN,IRN,Medium,1955,130.12344682515797,124.18987150165513,254.31331832681315
IRN,IRN,Medium,1956,133.52356846223293,127.23099921757448,260.7545676798074
IRN,IRN,Medium,1957,137.02924243153774,130.39120282876917,267.42044526030696
IRN,IRN,Medium,1958,140.64064008426115,133.66803069515495,274.3086707794161
IRN,IRN,Medium,1959,144.35894769786339,137.05987475173032,281.4188224495937
IRN,IRN,Medium,1960,148.18615558230513,140.56575961480587,288.75191519711103
IRN,IRN,Medium,1961,152.12443857959676,144.18619933794764,296.31063791754434
IRN,IRN,Medium,1962,156.17595835088773,147.9237510081252,304.0997093590129
IRN,IRN,Medium,1963,160.3425338549504,151.78348925669576,312.1260231116462
IRN,IRN,Medium,1964,164.62643219981936,155.77201769485401,320.3984498946735
IRN,IRN,Medium,1965,169.03118585615405,159.89541269936805,328.9265985555221
IRN,IRN,Medium,1966,173.57914956364732,164.17223292205838,337.7513824857057
IRN,IRN,Medium,1967,178.28163250075232,168.6093060487511,346.89093854950346
IRN,IRN,Medium,1968,183.12184225097806,173.1907755040626,356.3126177550406
IRN,IRN,Medium,1969,188.0737466145049,177.89190081251874,365.9656474270237
IRN,IRN,Medium,1970,193.13187553415588,182.70549840505566,375.8373739392116
IRN,IRN,Medium,1971,198.30017008727054,187.6562955762865,385.95646566355714
IRN,IRN,Medium,1972,203.62921841709306,192.78905452904004,396.41827294613313
IRN,IRN,Medium,1973,209.2194982244959,198.14450412278052,407.3640023472765
IRN,IRN,Medium,1974,215.20106506169122,203.77211212759548,418.9731771892868
IRN,IRN,Medium,1975,221.67771820643992,209.72884622329227,431.40656442973216
IRN,IRN,Medium,1976,228.66323165814026,215.97959259705092,444.6428242551912
IRN,IRN,Medium,1977,236.16100607884445,222.57302816731874,458.7340342461632
IRN,IRN,Medium,1978,244.24768817333742,229.74675112849846,473.9944393018359
IRN,IRN,Medium,1979,253.00892717424023,237.8086927475173,490.8176199217574
IRN,IRN,Medium,1980,262.4900784231117,246.95340252783626,509.44348095094807
IRN,IRN,Medium,1981,272.6524692747517,257.2169564851039,529.8694257598557
IRN,IRN,Medium,1982,283.42128516400845,268.4512149262714,551.8725000902798
IRN,IRN,Medium,1983,294.7445671381282,280.42651453505863,575.1710816731869
IRN,IRN,Medium,1984,306.5538801685224,292.81665537165213,599.3705355401745
IRN,IRN,Medium,1985,318.7439091784532,305.33289750225697,624.0768066807102
IRN,IRN,Medium,1986,331.34631459524525,317.94634848028903,649.2926630755342
IRN,IRN,Medium,1987,344.2096483298224,330.56845928377976,674.7781076136022
IRN,IRN,Medium,1988,356.82441739392107,342.7802367138128,699.6046541077338
IRN,IRN,Medium,1989,368.5336481492627,354.0675613000301,722.6012094492929
IRN,IRN,Medium,1990,378.87860710201625,364.07657965693636,742.9551867589527
IRN,IRN,Medium,1991,387.6469242250977,372.61226777008727,760.2591919951849
IRN,IRN,Medium,1992,394.9867787541379,379.7891673186881,774.7759460728258
IRN,IRN,Medium,1993,401.2533553415589,385.9572169726152,787.2105723141741
IRN,IRN,Medium,1994,406.99166939512486,391.6446924465844,798.6363618417092
IRN,IRN,Medium,1995,412.6162062594041,397.25090791453505,809.8671141739392
IRN,IRN,Medium,1996,418.20971537767076,402.89093229009933,821.1006476677701
IRN,IRN,Medium,1997,423.696024556124,408.4948674691544,832.1908920252783
IRN,IRN,Medium,1998,429.1429361420401,414.0609208546494,843.2038569966893
IRN,IRN,Medium,1999,434.59423695455905,419.53706758952757,854.1313045440867
IRN,IRN,Medium,2000,440.07667095997596,424.89618146253383,864.9728524225097
IRN,IRN,Medium,2001,445.6975962684323,430.15887733975325,875.8564736081852
IRN,IRN,Medium,2002,451.4754397231416,435.39614733674404,886.8715870598855
IRN,IRN,Medium,2003,457.23521221787536,440.6838604875112,897.9190727053866
IRN,IRN,Medium,2004,462.72399939813437,446.1132019861571,908.8372013842913
IRN,IRN,Medium,2005,467.78359139331934,451.7441579295817,919.527749322901
IRN,IRN,Medium,2006,472.3292220884744,457.6431862172736,929.9724083057479
IRN,IRN,Medium,2007,476.487335479988,463.78881522720434,940.2761507071922
IRN,IRN,Medium,2008,480.5659946433945,470.04569070117344,950.6116853445681
IRN,IRN,Medium,2009,484.99185085765873,476.2202121576889,961.2120630153471
IRN,IRN,Medium,2010,490.06690400240745,482.1865814625338,972.2534854649413
IRN,IRN,Medium,2011,495.89194811916946,487.8610474270237,983.7529955461932
IRN,IRN,Medium,2012,502.36053457718924,493.32011176647603,995.6806463436654
IRN,IRN,Medium,2013,509.30919434246164,498.7889035811012,1008.0980979235628
IRN,IRN,Medium,2014,516.4815201324104,504.5839876015648,1021.0655077339753
IRN,IRN,Medium,2015,523.6774792055371,510.9173779717123,1034.5948571772494
IRN,IRN,Medium,2016,530.8530211254888,517.8688584411678,1048.7218795666568
IRN,IRN,Medium,2017,538.0293670779415,525.3219102016249,1063.3512772795666
IRN,IRN,Medium,2018,545.1458323803791,533.0512591634067,1078.1970915437857
IRN,IRN,Medium,2019,552.1448034908217,540.7316675895274,1092.8764710803491
IRN,IRN,Medium,2020,558.9792906409871,548.1201199518507,1107.0994105928378
IRN,IRN,Medium,2021,565.6097380680109,555.1425002708397,1120.7522383388505
IRN,IRN,Medium,2022,572.0130133614202,561.842094492928,1133.8551078543485
IRN,IRN,Medium,2023,578.1823020162503,568.2338760758353,1146.4161780920858
IRN,IRN,Medium,2024,584.1223623232019,574.3701203129699,1158.4924826361716
IRN,IRN,Medium,2025,589.8384534456816,580.2895130303942,1170.1279664760757
IRN,IRN,Medium,2026,595.3220210051159,585.9802178152271,1181.3022388203428
IRN,IRN,Medium,2027,600.5667645501055,591.4166506169124,1191.9834151670177
IRN,IRN,Medium,2028,605.585429972916,596.6131258501355,1202.1985558230515
IRN,IRN,Medium,2029,610.397472223894,601.5903111044236,1211.9877833283178
IRN,IRN,Medium,2030,615.0204218477279,606.3668704784835,1221.3872923262113
IRN,IRN,Medium,2031,619.4603815829071,610.9495789346973,1230.4099605176045
IRN,IRN,Medium,2032,623.7238100511587,615.3453696057777,1239.0691796569363
IRN,IRN,Medium,2033,627.8314407463135,619.5756482094492,1247.4070889557627
IRN,IRN,Medium,2034,631.8076318988864,623.664865242251,1255.4724971411374
IRN,IRN,Medium,2035,635.6725634065601,627.6334510382186,1263.3060144447788
IRN,IRN,Medium,2036,639.4358177550406,631.4915416792054,1270.9273594342462
IRN,IRN,Medium,2037,643.1025222991274,635.2440272645201,1278.3465495636472
IRN,IRN,Medium,2038,646.6821145350588,638.8988031297021,1285.5809176647606
IRN,IRN,Medium,2039,650.1826084261211,642.4623938007825,1292.645002226904
IRN,IRN,Medium,2040,653.6096849232621,645.9389512488714,1299.5486361721337
IRN,IRN,Medium,2041,656.966362443575,649.3313093590128,1306.2976718025877
IRN,IRN,Medium,2042,660.2527727956664,652.6397449292807,1312.8925177249473
IRN,IRN,Medium,2043,663.4669783930185,655.8620962985252,1319.3290746915438
IRN,IRN,Medium,2044,666.6049458922661,658.9940665061692,1325.5990123984352
IRN,IRN,Medium,2045,669.6611129702077,662.0301195907314,1331.6912325609392
IRN,IRN,Medium,2046,672.6314462834789,664.9660508576588,1337.5974971411374
IRN,IRN,Medium,2047,675.5085118266625,667.7947030996088,1343.3032149262715
IRN,IRN,Medium,2048,678.2782851640083,670.5029086367738,1348.7811938007821
IRN,IRN,Medium,2049,680.9233016551308,673.0742968402045,1353.9975984953353
IRN,IRN,Medium,2050,683.4276256394824,675.4938415287393,1358.9214671682214
IRN,IRN,Medium,2051,685.7836913030394,677.7542932290099,1363.5379845320492
IRN,IRN,Medium,2052,687.9827729160396,679.8468207643695,1367.8295936804093
IRN,IRN,Medium,2053,690.0050201023171,681.7525623232021,1371.757582425519
IRN,IRN,Medium,2054,691.8282494733674,683.4492554318388,1375.2775049052061
IRN,IRN,Medium,2055,693.434811856756,684.9198967800181,1378.3547086367741
IRN,IRN,Medium,2056,694.8181168221487,686.1579222991273,1380.9760391212758
IRN,IRN,Medium,2057,695.976516761962,687.1616316581402,1383.1381484201022
IRN,IRN,Medium,2058,696.9055960878721,687.9262006620522,1384.8317967499245
IRN,IRN,Medium,2059,697.602876798074,688.4484922660247,1386.0513690640985
IRN,IRN,Medium,2060,698.0687411375264,688.7285460126393,1386.7972871501654
IRN,IRN,Medium,2061,698.3053112247969,688.7678117965693,1387.073123021366
IRN,IRN,Medium,2062,698.3192697562442,688.5727614204034,1386.8920311766474
IRN,IRN,Medium,2063,698.1234417092987,688.1561012338246,1386.2795429431235
IRN,IRN,Medium,2064,697.7345272344268,687.5339909720132,1385.26851820644
IRN,IRN,Medium,2065,697.1693846524225,686.7228935299431,1383.8922781823655
IRN,IRN,Medium,2066,696.4390727053867,685.7348166716821,1382.173889377069
IRN,IRN,Medium,2067,695.5569699668976,684.5821504062593,1380.1391203731569
IRN,IRN,Medium,2068,694.5453652723442,683.2847319289799,1377.830097201324
IRN,IRN,Medium,2069,693.4299481191692,681.8645205537164,1375.294468672886
IRN,IRN,Medium,2070,692.2341277159192,680.3427638278662,1372.576891543785
IRN,IRN,Medium,2071,690.9728511585918,678.7347515498043,1369.7076027083958
IRN,IRN,Medium,2072,689.6599978934697,677.0564721035211,1366.7164699969906
IRN,IRN,Medium,2073,688.316169605778,675.3309524526032,1363.6471220583812
IRN,IRN,Medium,2074,686.9628642792657,673.5829330725248,1360.5457973517905
IRN,IRN,Medium,2075,685.6186273848932,671.8341096599457,1357.4527370448386
IRN,IRN,Medium,2076,684.2950448991875,670.0980453204935,1354.393090219681
