ISO code,Country,Fertility,Year,Age,Male population,Female population,Total population
IRN,IRN,Medium,1950,0-4,1276.2,1258.2,2534.4
IRN,IRN,Medium,1950,5-9,936.899,918,1854.899
IRN,IRN,Medium,1950,10-14,919.801,900.9,1820.701
IRN,IRN,Medium,1950,15-19,882,861.75,1743.75
IRN,IRN,Medium,1950,20-24,798.099,775.101,1573.2
IRN,IRN,Medium,1950,25-29,742.8,712.801,1455.601
IRN,IRN,Medium,1950,30-34,550.001,520,1070.001
IRN,IRN,Medium,1950,35-39,482.999,422.725,905.724
IRN,IRN,Medium,1950,40-44,439.998,417,856.998
IRN,IRN,Medium,1950,45-49,387.999,369.999,757.998
IRN,IRN,Medium,1950,50-54,300,317.999,617.999
IRN,IRN,Medium,1950,55-59,265.001,266.999,532.0
IRN,IRN,Medium,1950,60-64,257.002,235.998,493.0
IRN,IRN,Medium,1950,65-69,199.001,181.999,381.0
IRN,IRN,Medium,1950,70-74,143,127.998,270.998
IRN,IRN,Medium,1950,75-79,83.001,77.999,161.0
IRN,IRN,Medium,1950,80-84,33.413,31.386,64.79899999999999
IRN,IRN,Medium,1950,85-89,10.388,10.135,20.523
IRN,IRN,Medium,1950,90-94,1.974,2.166,4.14
IRN,IRN,Medium,1950,95-99,0.21,0.283,0.493
IRN,IRN,Medium,1950,100+,0.014,0.024,0.038
IRN,IRN,Medium,1951,0-4,1393.981,1360.847,2754.828
IRN,IRN,Medium,1951,5-9,959.485,937.88,1897.365
IRN,IRN,Medium,1951,10-14,912.412,891.891,1804.3029999999999
IRN,IRN,Medium,1951,15-19,890.114,868.523,1758.6370000000002
IRN,IRN,Medium,1951,20-24,808.761,784.826,1593.587
IRN,IRN,Medium,1951,25-29,761.038,729.204,1490.242
IRN,IRN,Medium,1951,30-34,579.592,550.072,1129.664
IRN,IRN,Medium,1951,35-39,487.704,427.104,914.808
IRN,IRN,Medium,1951,40-44,443.428,412.488,855.9159999999999
IRN,IRN,Medium,1951,45-49,395.429,373.5,768.929
IRN,IRN,Medium,1951,50-54,307.648,320.458,628.106
IRN,IRN,Medium,1951,55-59,259.208,266.407,525.615
IRN,IRN,Medium,1951,60-64,249.318,233.53,482.848
IRN,IRN,Medium,1951,65-69,198.812,182.564,381.376
IRN,IRN,Medium,1951,70-74,142.506,127.146,269.652
IRN,IRN,Medium,1951,75-79,84.806,78.499,163.305
IRN,IRN,Medium,1951,80-84,35.867,33.851,69.71799999999999
IRN,IRN,Medium,1951,85-89,11.302,10.928,22.23
IRN,IRN,Medium,1951,90-94,2.379,2.542,4.920999999999999
IRN,IRN,Medium,1951,95-99,0.255,0.329,0.5840000000000001
IRN,IRN,Medium,1951,100+,0.014,0.024,0.038
IRN,IRN,Medium,1952,0-4,1519.844,1462.821,2982.665
IRN,IRN,Medium,1952,5-9,993.231,970.65,1963.8809999999999
IRN,IRN,Medium,1952,10-14,901.682,879.888,1781.5700000000002
IRN,IRN,Medium,1952,15-19,895.152,873.578,1768.73
IRN,IRN,Medium,1952,20-24,821.993,797.917,1619.91
IRN,IRN,Medium,1952,25-29,768.371,736.701,1505.0720000000001
IRN,IRN,Medium,1952,30-34,617.336,586.287,1203.623
IRN,IRN,Medium,1952,35-39,491.432,435.669,927.101
IRN,IRN,Medium,1952,40-44,447.032,405.42,852.452
IRN,IRN,Medium,1952,45-49,400.419,377.888,778.307
IRN,IRN,Medium,1952,50-54,318.47,323.035,641.5050000000001
IRN,IRN,Medium,1952,55-59,255.386,267.592,522.978
IRN,IRN,Medium,1952,60-64,239.596,229.848,469.444
IRN,IRN,Medium,1952,65-69,198.98,183.891,382.871
IRN,IRN,Medium,1952,70-74,140.856,126.407,267.263
IRN,IRN,Medium,1952,75-79,85.732,77.686,163.418
IRN,IRN,Medium,1952,80-84,37.654,35.818,73.47200000000001
IRN,IRN,Medium,1952,85-89,11.694,11.239,22.933
IRN,IRN,Medium,1952,90-94,2.687,2.82,5.507
IRN,IRN,Medium,1952,95-99,0.343,0.419,0.762
IRN,IRN,Medium,1952,100+,0.014,0.024,0.038
IRN,IRN,Medium,1953,0-4,1629.769,1551.22,3180.989
IRN,IRN,Medium,1953,5-9,1040.638,1017.354,2057.992
IRN,IRN,Medium,1953,10-14,893.658,869.531,1763.1889999999999
IRN,IRN,Medium,1953,15-19,898.65,877.191,1775.841
IRN,IRN,Medium,1953,20-24,838.215,813.725,1651.94
IRN,IRN,Medium,1953,25-29,771.012,740.19,1511.202
IRN,IRN,Medium,1953,30-34,659.598,625.278,1284.876
IRN,IRN,Medium,1953,35-39,498.318,449.718,948.0360000000001
IRN,IRN,Medium,1953,40-44,452.035,398.711,850.7460000000001
IRN,IRN,Medium,1953,45-49,404.808,382.564,787.3720000000001
IRN,IRN,Medium,1953,50-54,331.657,326.395,658.0519999999999
IRN,IRN,Medium,1953,55-59,254.615,270.576,525.191
IRN,IRN,Medium,1953,60-64,230.194,226.141,456.335
IRN,IRN,Medium,1953,65-69,198.994,185.737,384.731
IRN,IRN,Medium,1953,70-74,139.025,126.324,265.349
IRN,IRN,Medium,1953,75-79,86.147,76.136,162.28300000000002
IRN,IRN,Medium,1953,80-84,38.559,36.834,75.393
IRN,IRN,Medium,1953,85-89,11.65,11.181,22.831
IRN,IRN,Medium,1953,90-94,2.833,2.945,5.7780000000000005
IRN,IRN,Medium,1953,95-99,0.405,0.483,0.888
IRN,IRN,Medium,1953,100+,0.014,0.024,0.038
IRN,IRN,Medium,1954,0-4,1717.424,1623.529,3340.953
IRN,IRN,Medium,1954,5-9,1099.841,1074.475,2174.316
IRN,IRN,Medium,1954,10-14,894.004,866.851,1760.855
IRN,IRN,Medium,1954,15-19,900.098,878.23,1778.328
IRN,IRN,Medium,1954,20-24,854.668,829.426,1684.094
IRN,IRN,Medium,1954,25-29,776.088,745.895,1521.983
IRN,IRN,Medium,1954,30-34,698.76,661.022,1359.7820000000002
IRN,IRN,Medium,1954,35-39,512.884,470.248,983.1320000000001
IRN,IRN,Medium,1954,40-44,458.495,395.79,854.2850000000001
IRN,IRN,Medium,1954,45-49,409.989,385.921,795.91
IRN,IRN,Medium,1954,50-54,345.052,330.92,675.972
IRN,IRN,Medium,1954,55-59,257.625,274.747,532.3720000000001
IRN,IRN,Medium,1954,60-64,223.1,223.852,446.952
IRN,IRN,Medium,1954,65-69,197.661,187.32,384.981
IRN,IRN,Medium,1954,70-74,137.767,127.129,264.896
IRN,IRN,Medium,1954,75-79,86.049,74.453,160.502
IRN,IRN,Medium,1954,80-84,38.501,36.516,75.017
IRN,IRN,Medium,1954,85-89,11.254,10.856,22.11
IRN,IRN,Medium,1954,90-94,2.658,2.782,5.4399999999999995
IRN,IRN,Medium,1954,95-99,0.379,0.456,0.835
IRN,IRN,Medium,1954,100+,0.014,0.024,0.038
IRN,IRN,Medium,1955,0-4,1790.319,1686.943,3477.2619999999997
IRN,IRN,Medium,1955,5-9,1165.426,1134.722,2300.148
IRN,IRN,Medium,1955,10-14,905.671,875.983,1781.654
IRN,IRN,Medium,1955,15-19,898.87,875.867,1774.737
IRN,IRN,Medium,1955,20-24,868.525,842.604,1711.129
IRN,IRN,Medium,1955,25-29,786.912,756.862,1543.774
IRN,IRN,Medium,1955,30-34,729.414,689.458,1418.8719999999998
IRN,IRN,Medium,1955,35-39,536.957,497.202,1034.159
