ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KGZ,KGZ,Medium,1950,121.9536507353612,134.07387047593411,256.0275212112953
KGZ,KGZ,Medium,1951,123.55573098854924,136.231558282028,259.7872892705773
KGZ,KGZ,Medium,1952,125.50653738061102,138.63379581082566,264.14033319143664
KGZ,KGZ,Medium,1953,127.74618318643172,141.2588060713764,269.0049892578082
KGZ,KGZ,Medium,1954,130.24259148690837,144.1029105179114,274.34550200481976
KGZ,KGZ,Medium,1955,132.98708091402673,147.18111761716708,280.16819853119387
KGZ,KGZ,Medium,1956,135.99421850903093,150.5235914444467,286.51780995347764
KGZ,KGZ,Medium,1957,139.30682254466868,154.17624025094392,293.4830627956126
KGZ,KGZ,Medium,1958,142.98610402253132,158.20042218008075,301.18652620261213
KGZ,KGZ,Medium,1959,147.10121960307066,162.65984964457118,309.76106924764184
KGZ,KGZ,Medium,1960,151.71132030224746,167.59984232828575,319.31116263053326
KGZ,KGZ,Medium,1961,156.82626462272185,173.03055301754617,329.856817640268
KGZ,KGZ,Medium,1962,162.39308150542448,178.8950378238527,341.28811932927727
KGZ,KGZ,Medium,1963,168.27934330268172,185.0761718499297,353.3555151526114
KGZ,KGZ,Medium,1964,174.3039184208425,191.40606626689328,365.70998468773575
KGZ,KGZ,Medium,1965,180.32555070238828,197.74773203031674,378.073282732705
KGZ,KGZ,Medium,1966,186.29730190331034,204.0773321636187,390.3746340669291
KGZ,KGZ,Medium,1967,192.2174063216397,210.3735311013411,402.5909374229808
KGZ,KGZ,Medium,1968,198.03907285519838,216.50713831608624,414.54621117128477
KGZ,KGZ,Medium,1969,203.72860602474518,222.32615629669155,426.0547623214367
KGZ,KGZ,Medium,1970,209.2586374497607,227.73155859106325,436.9901960408239
KGZ,KGZ,Medium,1971,214.61106868506303,232.66463560873265,447.2757042937956
KGZ,KGZ,Medium,1972,219.78383974502145,237.16997132441654,456.9538110694379
KGZ,KGZ,Medium,1973,224.79710906044883,241.39132330675628,466.18843236720505
KGZ,KGZ,Medium,1974,229.68766208903185,245.5338072678146,475.22146935684634
KGZ,KGZ,Medium,1975,234.49331428127311,249.76133920704584,484.254653488319
KGZ,KGZ,Medium,1976,239.20876853126586,254.10114036313777,493.3099088944036
KGZ,KGZ,Medium,1977,243.85212328419172,258.5386436948468,502.3907669790386
KGZ,KGZ,Medium,1978,248.5137236241305,263.1313816579953,511.6451052821258
KGZ,KGZ,Medium,1979,253.3106944483577,267.94085953783616,521.2515539861938
KGZ,KGZ,Medium,1980,258.32455233110795,273.0007728136105,531.3253251447185
KGZ,KGZ,Medium,1981,263.55706297435023,278.31627144939495,541.8733344237452
KGZ,KGZ,Medium,1982,268.9792394374273,283.8573385117166,552.8365779491438
KGZ,KGZ,Medium,1983,274.5918174294926,289.5705615160138,564.1623789455062
KGZ,KGZ,Medium,1984,280.3897941283008,295.37883814297436,575.7686322712752
KGZ,KGZ,Medium,1985,286.344476876856,301.2041832223019,587.5486600991578
KGZ,KGZ,Medium,1986,292.5264937539175,307.0976549692659,599.6241487231833
KGZ,KGZ,Medium,1987,298.88051943112384,313.0211436497026,611.9016630808266
KGZ,KGZ,Medium,1988,305.0919646743349,318.683897006053,623.7758616803878
KGZ,KGZ,Medium,1989,310.7438295352101,323.71055622807836,634.4543857632885
KGZ,KGZ,Medium,1990,315.56669732164903,327.867607230381,643.4343045520301
KGZ,KGZ,Medium,1991,319.3603080020033,330.9517000028666,650.3120080048698
KGZ,KGZ,Medium,1992,322.2776890802508,333.12027630443595,655.3979653846868
KGZ,KGZ,Medium,1993,324.8232427521975,334.9377721978395,659.7610149500368
KGZ,KGZ,Medium,1994,327.7163454283717,337.18933649195105,664.9056819203226
KGZ,KGZ,Medium,1995,331.44786225615,340.4158625566009,671.8637248127508
KGZ,KGZ,Medium,1996,336.26999433343514,344.90883835850195,681.1788326919371
KGZ,KGZ,Medium,1997,341.9637946160736,350.4343083867642,692.3981030028378
KGZ,KGZ,Medium,1998,347.9746855439747,356.3597099110007,704.3343954549755
KGZ,KGZ,Medium,1999,353.50192127420587,361.7723221550789,715.2742434292849
KGZ,KGZ,Medium,2000,357.9941613669534,366.04841089845695,724.0425722654104
KGZ,KGZ,Medium,2001,361.275865618134,368.9653505512123,730.2412161693463
KGZ,KGZ,Medium,2002,363.61880498914,370.83640607100835,734.4552110601485
KGZ,KGZ,Medium,2003,365.4742634748768,372.2268963715805,737.7011598464572
KGZ,KGZ,Medium,2004,367.49201939992906,373.95493003188915,741.4469494318182
KGZ,KGZ,Medium,2005,370.16941215222624,376.62540711814114,746.7948192703673
KGZ,KGZ,Medium,2006,373.61311955906075,380.39738794937523,754.0105075084359
KGZ,KGZ,Medium,2007,377.7247037356622,385.1150493268292,762.8397530624912
KGZ,KGZ,Medium,2008,382.54919008223925,390.6765691036248,773.2257591858638
KGZ,KGZ,Medium,2009,388.0795157909163,396.8791858369911,784.9587016279074
KGZ,KGZ,Medium,2010,394.2928738779271,403.5539807052286,797.8468545831556
KGZ,KGZ,Medium,2011,401.23046405588144,410.6874166599091,811.9178807157904
KGZ,KGZ,Medium,2012,408.8653593697523,418.30465495409004,827.1700143238423
KGZ,KGZ,Medium,2013,417.0087768506893,426.30696341933935,843.3157402700286
KGZ,KGZ,Medium,2014,425.40336543671367,434.5701543505057,859.9735197872193
KGZ,KGZ,Medium,2015,433.84651082688544,442.9901984732497,876.836709300135
KGZ,KGZ,Medium,2016,442.26670209146,451.52089325271646,893.7875953441762
KGZ,KGZ,Medium,2017,450.6512850329936,460.1164775795434,910.7677626125369
KGZ,KGZ,Medium,2018,458.9243344668202,468.6614451165925,927.5857795834129
KGZ,KGZ,Medium,2019,467.0137508958725,477.0263110528059,944.0400619486786
KGZ,KGZ,Medium,2020,474.86641611925097,485.1149917727047,959.9814078919557
KGZ,KGZ,Medium,2021,482.435097609285,492.87201480609633,975.3071124153812
KGZ,KGZ,Medium,2022,489.7069940266995,500.30297154254987,990.0099655692494
KGZ,KGZ,Medium,2023,496.7155065670744,507.4564187862124,1004.1719253532867
KGZ,KGZ,Medium,2024,503.5227290829856,514.4188759335631,1017.9416050165487
KGZ,KGZ,Medium,2025,510.1807497825179,521.2583225104082,1031.439072292926
KGZ,KGZ,Medium,2026,516.6938357787633,527.9852055867308,1044.679041365494
KGZ,KGZ,Medium,2027,523.0619870717214,534.5886366670555,1057.6506237387769
KGZ,KGZ,Medium,2028,529.3174277223263,541.1008398123163,1070.4182675346424
KGZ,KGZ,Medium,2029,535.5009160176953,547.5581590547082,1083.0590750724034
KGZ,KGZ,Medium,2030,541.6455588697468,553.9881099165805,1095.633668786327
KGZ,KGZ,Medium,2031,547.7659233197246,560.4054065810085,1108.171329900733
KGZ,KGZ,Medium,2032,553.8715735866275,566.8172589976989,1120.6888325843263
KGZ,KGZ,Medium,2033,559.9828152430993,573.2372042150805,1133.2200194581799
KGZ,KGZ,Medium,2034,566.1193652944597,579.672305041029,1145.7916703354883
KGZ,KGZ,Medium,2035,572.2950550727987,586.1309485598975,1158.4260036326962
KGZ,KGZ,Medium,2036,578.5160645350086,592.616519033793,1171.1325835688017
KGZ,KGZ,Medium,2037,584.7823936810888,599.1272507607462,1183.909644441835
KGZ,KGZ,Medium,2038,591.0816825972568,605.6463695720522,1196.728052169309
KGZ,KGZ,Medium,2039,597.3945085618537,612.1525399022527,1209.5470484641064
KGZ,KGZ,Medium,2040,603.7013017113895,618.6261918878572,1222.3274935992465
KGZ,KGZ,Medium,2041,609.9975006491117,625.0582027353597,1235.0557033844714
KGZ,KGZ,Medium,2042,616.2776611272825,631.4457767499771,1247.7234378772594
KGZ,KGZ,Medium,2043,622.5195647294587,637.7691969263875,1260.2887616558462
KGZ,KGZ,Medium,2044,628.7034944503199,644.0068334154719,1272.7103278657917
KGZ,KGZ,Medium,2045,634.8066433061002,650.145884877955,1284.9525281840552
