ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KGZ,KGZ,Medium,1950,133.90032734659414,147.207853451713,281.10818079830716
KGZ,KGZ,Medium,1951,135.65934865545927,149.57691007122062,285.2362587266799
KGZ,KGZ,Medium,1952,137.8012575930911,152.21447269874932,290.0157302918403
KGZ,KGZ,Medium,1953,140.26030088315687,155.09663105199652,295.35693193515345
KGZ,KGZ,Medium,1954,143.0012593260488,158.21934623192445,301.2206055579733
KGZ,KGZ,Medium,1955,146.01460112003792,161.59909694660666,307.61369806664464
KGZ,KGZ,Medium,1956,149.31632030531324,165.2690021681516,314.5853224734648
KGZ,KGZ,Medium,1957,152.95342966667272,169.27946735654885,322.2328970232216
KGZ,KGZ,Medium,1958,156.9931364841023,173.69786134774594,330.69099783184834
KGZ,KGZ,Medium,1959,161.51137205950945,178.59413787307446,340.10550993258397
KGZ,KGZ,Medium,1960,166.57308188941903,184.01805616867793,350.591138058097
KGZ,KGZ,Medium,1961,172.18909022325184,189.98076359590027,362.1698538191521
KGZ,KGZ,Medium,1962,178.3012369148662,196.41973799763898,374.72097491250526
KGZ,KGZ,Medium,1963,184.76412159890756,203.20638082853617,387.9705024274437
KGZ,KGZ,Medium,1964,191.37886888676363,210.15635673651482,401.5352256232784
KGZ,KGZ,Medium,1965,197.99038505538954,217.11925712141388,415.10964217680345
KGZ,KGZ,Medium,1966,204.54713375306525,224.06890991746937,428.61604367053474
KGZ,KGZ,Medium,1967,211.04717630825274,230.98188951026358,442.02906581851636
KGZ,KGZ,Medium,1968,217.43913792519345,237.7163497655946,455.15548769078816
KGZ,KGZ,Medium,1969,223.68602228870287,244.1054033752283,467.7914256639312
KGZ,KGZ,Medium,1970,229.75777998994099,250.0403231770718,479.79810316701275
KGZ,KGZ,Medium,1971,235.63453964564277,255.45664834248453,491.0911879881273
KGZ,KGZ,Medium,1972,241.31403947234693,260.40333032780256,501.7173698001494
KGZ,KGZ,Medium,1973,246.81841263677995,265.0382093074163,511.8566219441962
KGZ,KGZ,Medium,1974,252.18804812931768,269.58649429166314,521.7745424209808
KGZ,KGZ,Medium,1975,257.4644658320671,274.2281586216602,531.6926244537274
KGZ,KGZ,Medium,1976,262.6418497304143,278.9930901502851,541.6349398806994
KGZ,KGZ,Medium,1977,267.74007120762394,283.8652948373496,551.6053660449735
KGZ,KGZ,Medium,1978,272.8583256240603,288.90794106380156,561.7662666878618
KGZ,KGZ,Medium,1979,278.12521152508106,294.18855922155024,572.3137707466312
KGZ,KGZ,Medium,1980,283.6302309133599,299.7441456257801,583.37437653914
KGZ,KGZ,Medium,1981,289.3753224604351,305.58035473514406,594.9556771955791
KGZ,KGZ,Medium,1982,295.32865964189017,311.66422913349504,606.9928887753852
KGZ,KGZ,Medium,1983,301.4910502375325,317.9371240068067,619.4281742443391
KGZ,KGZ,Medium,1984,307.8570013446709,324.31438403125037,632.1713853759214
KGZ,KGZ,Medium,1985,314.395009550812,330.7103845472289,645.1053940980408
KGZ,KGZ,Medium,1986,321.1826217174783,337.1811854733841,658.3638071908623
KGZ,KGZ,Medium,1987,328.1590928031438,343.6849438156863,671.8440366188303
