ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KGZ,KGZ,Medium,1950,157.38368891285683,173.02508120987886,330.4087701227357
KGZ,KGZ,Medium,1951,159.4512063562528,175.80962160205002,335.26082795830285
KGZ,KGZ,Medium,1952,161.9687620381545,178.90975842983136,340.8785204679858
KGZ,KGZ,Medium,1953,164.859070910852,182.2973880395105,347.15645895036255
KGZ,KGZ,Medium,1954,168.08073705198515,185.9677631922844,354.0485002442696
KGZ,KGZ,Medium,1955,171.62255697797923,189.94025262246862,361.5628096004479
KGZ,KGZ,Medium,1956,175.50332975449328,194.253783688246,369.7571134427393
KGZ,KGZ,Medium,1957,179.77831324119197,198.96760192987566,378.7459151710676
KGZ,KGZ,Medium,1958,184.52650149175383,204.16089129058824,388.68739278234216
KGZ,KGZ,Medium,1959,189.8371425956717,209.91587394644824,399.75301654212
KGZ,KGZ,Medium,1960,195.78657215289454,216.2910358795062,412.0776080324008
KGZ,KGZ,Medium,1961,202.38751276341375,223.299479468858,425.68699223227173
KGZ,KGZ,Medium,1962,209.5716041884692,230.86771745783605,440.4393216463053
KGZ,KGZ,Medium,1963,217.16794583115976,238.84459776295924,456.012543594119
KGZ,KGZ,Medium,1964,224.9427836528358,247.01345640526773,471.9562400581035
KGZ,KGZ,Medium,1965,232.7138236834695,255.1975062117452,487.91132989521475
KGZ,KGZ,Medium,1966,240.4204911559372,263.3659850749493,503.78647623088665
KGZ,KGZ,Medium,1967,248.06050739561357,271.49135900982435,519.551866405438
KGZ,KGZ,Medium,1968,255.57348752492695,279.4069049896152,534.9803925145422
KGZ,KGZ,Medium,1969,262.9159468364438,286.91646710699064,549.8324139434345
KGZ,KGZ,Medium,1970,270.0525658734712,293.89224969337914,563.9448155668504
KGZ,KGZ,Medium,1971,276.9599882210994,300.2584868174879,577.2184750385873
KGZ,KGZ,Medium,1972,283.6355554255986,306.0727150136068,589.7082704392053
KGZ,KGZ,Medium,1973,290.10528235560855,311.5204563741497,601.6257387297582
KGZ,KGZ,Medium,1974,296.41664139915673,316.86641693476014,613.2830583339168
KGZ,KGZ,Medium,1975,302.61843417113636,322.3221336564918,624.9405678276282
KGZ,KGZ,Medium,1976,308.7038246476715,327.9227361064846,636.6265607541561
KGZ,KGZ,Medium,1977,314.6961692436716,333.6494252190801,648.3455944627517
KGZ,KGZ,Medium,1978,320.7120601441337,339.57644780915365,660.2885079532873
KGZ,KGZ,Medium,1979,326.9026494325388,345.7831777094883,672.6858271420272
KGZ,KGZ,Medium,1980,333.373135920757,352.3130996275175,685.6862355482745
KGZ,KGZ,Medium,1981,340.1257982834137,359.17285969756546,699.2986579809792
KGZ,KGZ,Medium,1982,347.12322827874306,366.32372045100124,713.4469487297442
KGZ,KGZ,Medium,1983,354.36637535450524,373.6967519804081,728.0631273349132
KGZ,KGZ,Medium,1984,361.84878326592855,381.1924521604792,743.0412354264079
KGZ,KGZ,Medium,1985,369.5334235503512,388.7101795285956,758.2436030789466
KGZ,KGZ,Medium,1986,377.51144319278717,396.31582575933976,773.8272689521268
KGZ,KGZ,Medium,1987,385.711443721642,403.9602094587148,789.671653180357
KGZ,KGZ,Medium,1988,393.7274412745002,411.26810887174713,804.9955501462472
KGZ,KGZ,Medium,1989,401.0212888606764,417.7551157509991,818.7764046116755
KGZ,KGZ,Medium,1990,407.2452987102532,423.11987537726895,830.3651740875222
KGZ,KGZ,Medium,1991,412.14103114280636,427.0999603895376,839.2409915323439
KGZ,KGZ,Medium,1992,415.90597129253183,429.8985526085652,845.8045239010971
KGZ,KGZ,Medium,1993,419.1910605440705,432.244068356253,851.4351289003234
KGZ,KGZ,Medium,1994,422.9246689176978,435.149758282672,858.0744272003697
KGZ,KGZ,Medium,1995,427.7402679592594,439.313656381385,867.0539243406442
KGZ,KGZ,Medium,1996,433.9633283610757,445.1119338551265,879.0752622162022
KGZ,KGZ,Medium,1997,441.3112944696037,452.2426663160383,893.5539607856421
KGZ,KGZ,Medium,1998,449.06847256293327,459.88951857959097,908.9579911425243
KGZ,KGZ,Medium,1999,456.2014836984703,466.8746057540327,923.0760894525031
KGZ,KGZ,Medium,2000,461.99881172445157,472.3929860279612,934.3917977524128
KGZ,KGZ,Medium,2001,466.2339184052067,476.1573565090305,942.3912749142372
