ISO code,Country,Fertility,Year,Age,Male population,Female population,Total population
KGZ,KGZ,Medium,1950,0-4,3.5374582774139576,3.8819297036925864,7.419387981106547
KGZ,KGZ,Medium,1950,5-9,2.989829067058642,2.870580420198944,5.860409487257587
KGZ,KGZ,Medium,1950,10-14,4.584058277812514,4.460547579538621,9.044605857351137
KGZ,KGZ,Medium,1950,15-19,3.930499331266865,3.7847904485440313,7.7152897798108935
KGZ,KGZ,Medium,1950,20-24,4.10271284622173,4.142491992754228,8.245204838975958
KGZ,KGZ,Medium,1950,25-29,2.309676695543163,2.9015246893207647,5.211201384863927
KGZ,KGZ,Medium,1950,30-34,1.5766038523014152,2.0845427088620285,3.6611465611634437
KGZ,KGZ,Medium,1950,35-39,1.9961495383863546,2.782276042461066,4.778425580847421
KGZ,KGZ,Medium,1950,40-44,1.8725500473746648,2.53498826769989,4.407538315074555
KGZ,KGZ,Medium,1950,45-49,1.8902198021960197,2.6850479945747154,4.575267796770735
KGZ,KGZ,Medium,1950,50-54,1.726707975545138,1.8636263772261912,3.5903343527713294
KGZ,KGZ,Medium,1950,55-59,1.6428432346970478,1.4705853233732846,3.1134285580703325
KGZ,KGZ,Medium,1950,60-64,1.7267523719140359,1.5854387297120927,3.3121911016261274
KGZ,KGZ,Medium,1950,65-69,1.2763512094450717,1.3204812001295616,2.5968324095746333
KGZ,KGZ,Medium,1950,70-74,0.861200763881022,0.9760097738509325,1.837210537731955
KGZ,KGZ,Medium,1950,75-79,0.4725549505490049,0.6536033429145482,1.126158293463553
KGZ,KGZ,Medium,1950,80-84,0.19285782649237854,0.2698411301612976,0.4626989566536762
KGZ,KGZ,Medium,1950,85-89,0.07902553663822141,0.12781714605698843,0.20684268269520986
KGZ,KGZ,Medium,1950,90-94,0.02348567914697704,0.04501791806244748,0.06850359720942452
KGZ,KGZ,Medium,1950,95-99,0.00443963688978772,0.010699524904388406,0.015139161794176128
KGZ,KGZ,Medium,1950,100+,0.0004883600578766493,0.0015982692803235795,0.0020866293382002287
KGZ,KGZ,Medium,1951,0-4,4.083666803964541,4.431867525230592,8.515534329195132
KGZ,KGZ,Medium,1951,5-9,2.7981255461576087,2.729311174365899,5.527436720523507
KGZ,KGZ,Medium,1951,10-14,4.388669858292958,4.264626403592288,8.653296261885247
KGZ,KGZ,Medium,1951,15-19,4.016805872404338,3.870919404205913,7.887725276610251
KGZ,KGZ,Medium,1951,20-24,4.1764996113300015,4.149684204515684,8.326183815845686
KGZ,KGZ,Medium,1951,25-29,2.631283991839386,3.1627529239158734,5.79403691575526
