ISO code,Country,Fertility,Year,Age,Male population,Female population,Total population
KGZ,KGZ,Medium,1950,0-4,3.2655603186557465,3.5835548029295183,6.849115121585267
KGZ,KGZ,Medium,1950,5-9,2.760023269613732,2.649940374297409,5.409963643911142
KGZ,KGZ,Medium,1950,10-14,4.23171600524808,4.1176986505310245,8.349414655779105
KGZ,KGZ,Medium,1950,15-19,3.6283912465170314,3.4938819157544945,7.122273162271524
KGZ,KGZ,Medium,1950,20-24,3.787367996677872,3.824089617751374,7.611457614429245
KGZ,KGZ,Medium,1950,25-29,2.132149123580197,2.678506188904809,4.810655312485006
KGZ,KGZ,Medium,1950,30-34,1.4554221066542359,1.92431950252693,3.379741609181166
KGZ,KGZ,Medium,1950,35-39,1.8427204539138249,2.5684232935884856,4.411143747502311
KGZ,KGZ,Medium,1950,40-44,1.7286211312925874,2.3401426804418284,4.068763811734415
KGZ,KGZ,Medium,1950,45-49,1.7449327442247902,2.4786684385092794,4.22360118273407
KGZ,KGZ,Medium,1950,50-54,1.5939888486737777,1.720383356922304,3.314372205596082
KGZ,KGZ,Medium,1950,55-59,1.5165701631739508,1.3575524290610193,2.87412259223497
KGZ,KGZ,Medium,1950,60-64,1.5940298326258686,1.4635779131203372,3.0576077457462048
KGZ,KGZ,Medium,1950,65-69,1.1782476386630611,1.2189856870414773,2.397233325704538
KGZ,KGZ,Medium,1950,70-74,0.7950067026604772,0.9009912027677045,1.6959979054281822
KGZ,KGZ,Medium,1950,75-79,0.43623318605619754,0.6033657426831398,1.0395989287393372
KGZ,KGZ,Medium,1950,80-84,0.17803428788313808,0.24910046080886586,0.427134748692004
KGZ,KGZ,Medium,1950,85-89,0.07295143472191203,0.11799279806987904,0.19094423279179107
KGZ,KGZ,Medium,1950,90-94,0.021680510656118798,0.04155772742023528,0.06323823807635408
KGZ,KGZ,Medium,1950,95-99,0.004098395209096182,0.009877132453921798,0.013975527663017979
KGZ,KGZ,Medium,1950,100+,0.00045082347300058,0.0014754222752746255,0.001926245748275205
KGZ,KGZ,Medium,1951,0-4,3.76978588123085,4.091223017480263,7.861008898711112
KGZ,KGZ,Medium,1951,5-9,2.5830545644849594,2.5195294387439686,5.102584003228928
KGZ,KGZ,Medium,1951,10-14,4.0513456320957575,3.9368364699536094,7.988182102049367
KGZ,KGZ,Medium,1951,15-19,3.7080640493818606,3.5733907828109603,7.281454832192821
KGZ,KGZ,Medium,1951,20-24,3.8554833250530502,3.8307290179901092,7.68621234304316
KGZ,KGZ,Medium,1951,25-29,2.4290368725271247,2.919655763008028,5.348692635535153
KGZ,KGZ,Medium,1951,30-34,1.4698484577902546,1.9434999921055003,3.4133484498957545
KGZ,KGZ,Medium,1951,35-39,1.7598918867379914,2.462192889768713,4.222084776506703
KGZ,KGZ,Medium,1951,40-44,1.7241538805146723,2.353011641398391,4.077165521913064
KGZ,KGZ,Medium,1951,45-49,1.7145636357253875,2.4861685017419255,4.200732137467313
KGZ,KGZ,Medium,1951,50-54,1.5842756520282197,1.845794250320647,3.4300699023488668
KGZ,KGZ,Medium,1951,55-59,1.4666517095271594,1.3560360228336532,2.822687732360813
