ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KGZ,KGZ,Medium,1950,63.023353287768025,69.28685492162295,132.31020820939096
KGZ,KGZ,Medium,1951,63.851278234526106,70.40190740318621,134.25318563771233
KGZ,KGZ,Medium,1952,64.85941829184787,71.64333858253713,136.50275687438497
KGZ,KGZ,Medium,1953,66.01682512640012,72.9998945202819,139.01671964668205
KGZ,KGZ,Medium,1954,67.30692198961634,74.46967421314444,141.77659620276083
KGZ,KGZ,Medium,1955,68.72522251376517,76.06043375449089,144.78565626825608
KGZ,KGZ,Medium,1956,70.2792546718195,77.78776137118422,148.06701604300372
KGZ,KGZ,Medium,1957,71.99114614191184,79.67538158410885,151.6665277260207
KGZ,KGZ,Medium,1958,73.8925296185546,81.75500312790822,155.64753274646284
KGZ,KGZ,Medium,1959,76.0191439633364,84.05955137932243,160.07869534265885
KGZ,KGZ,Medium,1960,78.4015573089351,86.61244669871166,165.01400400764678
KGZ,KGZ,Medium,1961,81.0448643441303,89.41893585511768,170.463800199248
KGZ,KGZ,Medium,1962,83.92169062174786,92.44959131782812,176.37128193957602
KGZ,KGZ,Medium,1963,86.96360002385212,95.64388514253558,182.6074851663877
KGZ,KGZ,Medium,1964,90.07698714913357,98.91505553972398,188.99204268885754
KGZ,KGZ,Medium,1965,93.1888534717942,102.19230914739555,195.38116261918978
KGZ,KGZ,Medium,1966,96.27494219003243,105.4633274643218,201.73826965435427
KGZ,KGZ,Medium,1967,99.33434082227579,108.71708467150223,208.05142549377803
KGZ,KGZ,Medium,1968,102.34286860685371,111.88681753388389,214.22968614073764
KGZ,KGZ,Medium,1969,105.28311235375821,114.89397659610312,220.17708894986134
KGZ,KGZ,Medium,1970,108.14092859861587,117.68738684997034,225.82831544858618
KGZ,KGZ,Medium,1971,110.9069644053089,120.23670828320071,231.14367268850958
KGZ,KGZ,Medium,1972,113.5801552120026,122.56498105549925,236.1451362675018
KGZ,KGZ,Medium,1973,116.17091851664956,124.7464963748916,240.91741489154114
KGZ,KGZ,Medium,1974,118.69826435200947,126.88725418404667,245.58551853605607
KGZ,KGZ,Medium,1975,121.1817350317596,129.07196318894273,250.25369822070235
KGZ,KGZ,Medium,1976,123.61859311118263,131.31469081382178,254.9332839250044
KGZ,KGZ,Medium,1977,126.01819152639622,133.60790908571119,259.6261006121074
KGZ,KGZ,Medium,1978,128.42721891785877,135.9813496958472,264.40856861370594
KGZ,KGZ,Medium,1979,130.90620322987763,138.4667974190044,269.373000648882
KGZ,KGZ,Medium,1980,133.49727069504866,141.0816654451908,274.5789361402395
KGZ,KGZ,Medium,1981,136.20133379494442,143.82861517899283,280.0299489739373
KGZ,KGZ,Medium,1982,139.00341262375017,146.69213443367846,285.6955470574286
KGZ,KGZ,Medium,1983,141.90388738212098,149.6446206416803,291.5485080238012
KGZ,KGZ,Medium,1984,144.90017270560153,152.6462287743336,297.5464014799352
KGZ,KGZ,Medium,1985,147.97744076863916,155.65665756218758,303.6340983308267
KGZ,KGZ,Medium,1986,151.1721908341329,158.70229293071284,309.87448376484565
KGZ,KGZ,Medium,1987,154.45583181281174,161.76344048597016,316.21927229878196
KGZ,KGZ,Medium,1988,157.6657899045133,164.68984492902538,322.3556348335386
KGZ,KGZ,Medium,1989,160.58656737787172,167.2875278855969,327.8740952634686
KGZ,KGZ,Medium,1990,163.0789347529535,169.43581366772497,332.5147484206785
KGZ,KGZ,Medium,1991,165.03940141141402,171.02961481431296,336.06901622572695
KGZ,KGZ,Medium,1992,166.54704908953417,172.1502942655732,338.6973433551074
KGZ,KGZ,Medium,1993,167.86254335651762,173.08954196417304,340.9520853206906
KGZ,KGZ,Medium,1994,169.35764441301637,174.25310804933963,343.61075246235595
KGZ,KGZ,Medium,1995,171.28602213617813,175.9205160427738,347.2065381789519
KGZ,KGZ,Medium,1996,173.77800931060474,178.242401444065,352.0204107546698
KGZ,KGZ,Medium,1997,176.72045822130934,181.0978604448604,357.8183186661698
KGZ,KGZ,Medium,1998,179.82677361440412,184.1599965218213,363.9867701362254
KGZ,KGZ,Medium,1999,182.68314509677194,186.95713274210937,369.64027783888133
KGZ,KGZ,Medium,2000,185.00465029740806,189.16693499024836,374.17158528765646
KGZ,KGZ,Medium,2001,186.7005733399821,190.67435454797547,377.3749278879576
KGZ,KGZ,Medium,2002,187.91136034652408,191.64128085427373,379.55264120079784
KGZ,KGZ,Medium,2003,188.87022639893223,192.35986009259713,381.23008649152933
KGZ,KGZ,Medium,2004,189.91296471587697,193.25287539152504,383.165840107402
KGZ,KGZ,Medium,2005,191.29659094027178,194.632927729761,385.92951867003273
KGZ,KGZ,Medium,2006,193.07623416712028,196.58221648895866,389.65845065607897
KGZ,KGZ,Medium,2007,195.2010235487572,199.02021517034729,394.2212387191044
KGZ,KGZ,Medium,2008,197.69422736528037,201.89430400324736,399.58853136852764
KGZ,KGZ,Medium,2009,200.5521956904001,205.0996996870866,405.65189537748677
KGZ,KGZ,Medium,2010,203.7631423038052,208.54910815143148,412.31225045523666
KGZ,KGZ,Medium,2011,207.34835844218676,212.23553370422667,419.5838921464134
KGZ,KGZ,Medium,2012,211.29392876156456,216.17197920787967,427.4659079694443
KGZ,KGZ,Medium,2013,215.50229377381478,220.30742173446302,435.8097155082778
KGZ,KGZ,Medium,2014,219.84045928974942,224.57768341337948,444.41814270312886
KGZ,KGZ,Medium,2015,224.2037180489273,228.929003871984,453.13272192091125
KGZ,KGZ,Medium,2016,228.55511454766278,233.33750650913026,461.8926210567929
KGZ,KGZ,Medium,2017,232.8881093346868,237.77954284406505,470.6676521787518
KGZ,KGZ,Medium,2018,237.16346570238295,242.195421373922,479.35888707630505
KGZ,KGZ,Medium,2019,241.34392398654165,246.51822678338672,487.86215076992846
KGZ,KGZ,Medium,2020,245.40203369985795,250.69830486689037,496.1003385667483
KGZ,KGZ,Medium,2021,249.31338596026794,254.70698849503074,504.0203744552987
KGZ,KGZ,Medium,2022,253.07136527637118,258.54716719278775,511.618532469159
KGZ,KGZ,Medium,2023,256.69323275791373,262.2439342034044,518.9371669613182
KGZ,KGZ,Medium,2024,260.21107734019427,265.8420011239316,526.0530784641259
KGZ,KGZ,Medium,2025,263.6518172296007,269.3764984949098,533.0283157245105
KGZ,KGZ,Medium,2026,267.0176575899333,272.8528251656428,539.8704827555761
KGZ,KGZ,Medium,2027,270.30859842119196,276.26535416643355,546.5739525876255
KGZ,KGZ,Medium,2028,273.5412925120744,279.6307382859799,553.1720307980542
KGZ,KGZ,Medium,2029,276.7368029788785,282.9677594366486,559.704562415527
KGZ,KGZ,Medium,2030,279.91223885108815,286.29063712294374,566.2028759740318
KGZ,KGZ,Medium,2031,283.0751281016762,289.6069753579696,572.6821034596459
KGZ,KGZ,Medium,2032,286.23041333916035,292.920500108147,579.1509134473073
KGZ,KGZ,Medium,2033,289.3885881016242,296.2382070655315,585.6267951671558
KGZ,KGZ,Medium,2034,292.55984176662673,299.5637461564131,592.1235879230397
KGZ,KGZ,Medium,2035,295.7513221064856,302.9014516682612,598.6527737747467
KGZ,KGZ,Medium,2036,298.96622280670476,306.2530725240894,605.2192953307942
KGZ,KGZ,Medium,2037,302.20454386728414,309.6176962423253,611.8222401096094
KGZ,KGZ,Medium,2038,305.45989791721627,312.9866542480305,618.4465521652468
KGZ,KGZ,Medium,2039,308.7222476592042,316.3489207222044,625.0711683814086
KGZ,KGZ,Medium,2040,311.98147975581924,319.69438232741834,631.6758620832375
KGZ,KGZ,Medium,2041,315.2352369629996,323.0183245755479,638.2535615385475
KGZ,KGZ,Medium,2042,318.4807057958967,326.319302704104,644.8000085000006
KGZ,KGZ,Medium,2043,321.7064041947235,329.58712733552653,651.29353153025
KGZ,KGZ,Medium,2044,324.9021427819207,332.81062057055317,657.7127633524739
KGZ,KGZ,Medium,2045,328.05613533717724,335.9831669177834,664.0393022549606
KGZ,KGZ,Medium,2046,331.1632111315824,339.09792276542345,670.2611338970057
KGZ,KGZ,Medium,2047,334.2202525197635,342.1526829496734,676.3729354694369
KGZ,KGZ,Medium,2048,337.22079609058227,345.142961102802,682.3637571933841
KGZ,KGZ,Medium,2049,340.1593669546038,348.0659437399604,688.2253106945642
KGZ,KGZ,Medium,2050,343.0312506237038,350.91843717564524,693.949687799349
KGZ,KGZ,Medium,2051,345.83431797421315,353.6980081256633,699.5323260998763
KGZ,KGZ,Medium,2052,348.56507116010374,356.4042003492281,704.9692715093319
KGZ,KGZ,Medium,2053,351.22229353927924,359.03762216738824,710.2599157066675
KGZ,KGZ,Medium,2054,353.80431222885653,361.59971834263337,715.4040305714899
KGZ,KGZ,Medium,2055,356.31059494791856,364.0926940387634,720.4032889866819
KGZ,KGZ,Medium,2056,358.74076149581003,366.5172336169578,725.257995112768
KGZ,KGZ,Medium,2057,361.0954201935792,368.8737933180031,729.9692135115822
KGZ,KGZ,Medium,2058,363.37920948921976,371.1652626668785,734.5444721560984
KGZ,KGZ,Medium,2059,365.597224071511,373.39483534908777,738.9920594205989
KGZ,KGZ,Medium,2060,367.75349406739815,375.5666935718381,743.3201876392362
KGZ,KGZ,Medium,2061,369.8514412827781,377.68182585683303,747.5332671396111
KGZ,KGZ,Medium,2062,371.89220631961615,379.74084052512063,751.6330468447367
KGZ,KGZ,Medium,2063,373.88179634826474,381.74586670037024,755.6276630486351
KGZ,KGZ,Medium,2064,375.8253060575035,383.6975127036303,759.5228187611337
KGZ,KGZ,Medium,2065,377.7283624170292,385.59851597961773,763.3268783966469
KGZ,KGZ,Medium,2066,379.59271434985567,387.448724448071,767.0414387979267
KGZ,KGZ,Medium,2067,381.42117534083167,389.248290189252,770.6694655300835
KGZ,KGZ,Medium,2068,383.2145057912672,390.9986579656502,774.2131637569175
KGZ,KGZ,Medium,2069,384.97726810902503,392.69990381739706,777.677171926422
KGZ,KGZ,Medium,2070,386.70946229410504,394.35149546357485,781.06095775768
KGZ,KGZ,Medium,2071,388.4115445872932,395.95297666339786,784.3645212506913
KGZ,KGZ,Medium,2072,390.0848076708175,397.50556405896253,787.59037172978
KGZ,KGZ,Medium,2073,391.7282630229743,399.0084212088272,790.7366842318013
KGZ,KGZ,Medium,2074,393.34305124572916,400.4604075110267,793.8034587567558
KGZ,KGZ,Medium,2075,394.926891135151,401.8608386043812,796.7877297395321
KGZ,KGZ,Medium,2076,396.4802389320258,403.20963844875996,799.6898773807857
KGZ,KGZ,Medium,2077,397.9995207501952,404.50619872311444,802.5057194733096
KGZ,KGZ,Medium,2078,399.48025022192746,405.75013922678977,805.2303894487172
KGZ,KGZ,Medium,2079,400.91489937424967,406.94214432096487,807.8570436952147
KGZ,KGZ,Medium,2080,402.2984495585135,408.081757764854,810.3802073233675
KGZ,KGZ,Medium,2081,403.62801124973936,409.16913163871897,812.7971428884581
KGZ,KGZ,Medium,2082,404.901759484782,410.2022888991525,815.1040483839346
KGZ,KGZ,Medium,2083,406.1146756149931,411.182750348776,817.2974259637691
