ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KAZ,KAZ,Medium,1950,326.02360741575495,347.6843795609626,673.7079869767175
KAZ,KAZ,Medium,1951,330.91304086979875,353.7065429886343,684.6195838584331
KAZ,KAZ,Medium,1952,340.0706651898659,364.155801105604,704.2264662954699
KAZ,KAZ,Medium,1953,352.5438615037251,378.0573226772472,730.6011841809723
KAZ,KAZ,Medium,1954,367.5137876556401,394.5710582697054,762.0848459253456
KAZ,KAZ,Medium,1955,384.2966848159225,412.98812194651106,797.2848067624335
KAZ,KAZ,Medium,1956,402.3491039191411,432.7346105888155,835.0837145079566
KAZ,KAZ,Medium,1957,421.2612721079333,453.370699319548,874.6319714274812
KAZ,KAZ,Medium,1958,440.74442867118694,474.57576625619924,915.320194927386
KAZ,KAZ,Medium,1959,460.6076075973762,496.1226623534814,956.7302699508574
KAZ,KAZ,Medium,1960,480.6873821840066,517.8200195661599,998.5074017501665
KAZ,KAZ,Medium,1961,500.7716796498573,539.4324471579234,1040.2041268077808
KAZ,KAZ,Medium,1962,520.5372648933142,560.6249505411848,1081.1622154344993
KAZ,KAZ,Medium,1963,539.5183818631099,580.9354924764799,1120.4538743395897
KAZ,KAZ,Medium,1964,557.1903765696844,599.8481632074074,1157.038539777092
KAZ,KAZ,Medium,1965,573.1975496894644,617.0158066267002,1190.213356316165
KAZ,KAZ,Medium,1966,587.2587791517991,632.1657433715849,1219.424522523384
KAZ,KAZ,Medium,1967,599.4776891450482,645.3901396697293,1244.8678288147773
KAZ,KAZ,Medium,1968,610.3763204396656,657.1788735949096,1267.5551940345754
KAZ,KAZ,Medium,1969,620.7243665705265,668.2574149740699,1288.9817815445963
KAZ,KAZ,Medium,1970,631.0826645609537,679.1592625383549,1310.2419270993087
KAZ,KAZ,Medium,1971,641.6747451528591,690.0831214481793,1331.7578666010386
KAZ,KAZ,Medium,1972,652.3450213010627,700.8989337988509,1353.2439550999134
KAZ,KAZ,Medium,1973,662.8165922888528,711.4365388232577,1374.2531311121104
KAZ,KAZ,Medium,1974,672.6523469666898,721.3970244591491,1394.049371425839
KAZ,KAZ,Medium,1975,681.5700576712243,730.5961587596163,1412.1662164308407
KAZ,KAZ,Medium,1976,689.4674068236501,738.9729331093981,1428.440339933048
KAZ,KAZ,Medium,1977,696.5613921181157,746.7023326801083,1443.2637247982238
KAZ,KAZ,Medium,1978,703.2667113249136,754.1011600340253,1457.3678713589386
KAZ,KAZ,Medium,1979,710.156463495474,761.6018024246127,1471.7582659200866
KAZ,KAZ,Medium,1980,717.635999116367,769.5042775068221,1487.140276623189
KAZ,KAZ,Medium,1981,725.7015993757892,777.7936095250101,1503.4952089007993
KAZ,KAZ,Medium,1982,734.1774750347099,786.3230561755854,1520.5005312102953
KAZ,KAZ,Medium,1983,743.0411122054549,795.0711086551436,1538.1122208605987
KAZ,KAZ,Medium,1984,752.2297936295016,803.9834924130411,1556.2132860425427
KAZ,KAZ,Medium,1985,761.5959729358399,812.9282398844709,1574.5242128203108
KAZ,KAZ,Medium,1986,771.2744319252365,822.0378211763748,1593.3122531016113
KAZ,KAZ,Medium,1987,781.0020395354934,831.0780516535676,1612.0800911890612
KAZ,KAZ,Medium,1988,789.7390360880688,839.1003327809016,1628.8393688689703
KAZ,KAZ,Medium,1989,796.1250400219108,844.8607722643563,1640.985812286267
KAZ,KAZ,Medium,1990,799.2107492428819,847.5073601672461,1646.718109410128
KAZ,KAZ,Medium,1991,798.8068058742917,846.8486279359103,1645.6554338102017
KAZ,KAZ,Medium,1992,795.2998658352659,843.2698243714943,1638.56969020676
KAZ,KAZ,Medium,1993,789.0952796123735,837.2477614522495,1626.343041064623
KAZ,KAZ,Medium,1994,780.8489652009919,829.5195679826649,1610.3685331836564
KAZ,KAZ,Medium,1995,771.2106090740159,820.7782495677236,1591.9888586417394
KAZ,KAZ,Medium,1996,760.1219163437172,811.0183787523612,1571.1402950960785
KAZ,KAZ,Medium,1997,747.9233090527464,800.5100216802455,1548.4333307329919
KAZ,KAZ,Medium,1998,736.1731703635792,790.5667229853914,1526.7398933489706
KAZ,KAZ,Medium,1999,726.8547325601221,782.8394340916508,1509.694166651773
KAZ,KAZ,Medium,2000,721.3692841332645,778.4902334333699,1499.8595175666344
KAZ,KAZ,Medium,2001,720.4410888088232,778.1603647755662,1498.6014535843894
KAZ,KAZ,Medium,2002,723.6910287997064,781.541669280694,1505.2326980804005
