ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KAZ,KAZ,Medium,1950,239.69696283282957,255.6222552893332,495.31921812216274
KAZ,KAZ,Medium,1951,243.2917403957101,260.04983123924,503.34157163495007
KAZ,KAZ,Medium,1952,250.02454957380422,267.7322670430372,517.7568166168414
KAZ,KAZ,Medium,1953,259.19501209628356,277.9528536008342,537.1478656971177
KAZ,KAZ,Medium,1954,270.20110414246454,290.0939752144261,560.2950793568907
KAZ,KAZ,Medium,1955,282.54011697881236,303.6344493617464,586.1745663405587
KAZ,KAZ,Medium,1956,295.8124995069548,318.1523347127218,613.9648342196767
KAZ,KAZ,Medium,1957,309.7169811835111,333.32426607288727,643.0412472563983
KAZ,KAZ,Medium,1958,324.04126123067044,348.91451790057295,672.9557791312433
KAZ,KAZ,Medium,1959,338.6449388555888,364.7560871474492,703.4010260030378
KAZ,KAZ,Medium,1960,353.4078605376539,380.7082774400553,734.1161379777093
KAZ,KAZ,Medium,1961,368.1741075016548,396.59802632742316,764.7721338290781
KAZ,KAZ,Medium,1962,382.7060329319145,412.17904126084284,794.8850741927575
KAZ,KAZ,Medium,1963,396.6612066842029,427.1116262167867,823.7728329009896
KAZ,KAZ,Medium,1964,409.65389605396985,441.01647736911343,850.6703734230834
KAZ,KAZ,Medium,1965,421.4225860907551,453.6383608554644,875.0609469462197
KAZ,KAZ,Medium,1966,431.7605920484619,464.7767991226893,896.5373911711512
KAZ,KAZ,Medium,1967,440.7440998309967,474.4995540271236,915.2436538581203
KAZ,KAZ,Medium,1968,448.7569208689016,483.16679054998883,931.9237114188905
KAZ,KAZ,Medium,1969,456.3649442524914,491.3118839137837,947.6768281662751
KAZ,KAZ,Medium,1970,463.98050494180245,499.3270695966206,963.3075745384231
KAZ,KAZ,Medium,1971,471.7679457596161,507.35843831821194,979.1263840778281
KAZ,KAZ,Medium,1972,479.6128770073414,515.310369749115,994.9232467564564
KAZ,KAZ,Medium,1973,487.3117175353551,523.0577593933909,1010.3694769287459
KAZ,KAZ,Medium,1974,494.54309731835303,530.3808430626622,1024.9239403810152
KAZ,KAZ,Medium,1975,501.0995187635426,537.1441709394113,1038.243689702954
KAZ,KAZ,Medium,1976,506.9057566040218,543.3028886650824,1050.208645269104
KAZ,KAZ,Medium,1977,512.121350477553,548.9856477030129,1061.1069981805658
KAZ,KAZ,Medium,1978,517.0511917900702,554.4253655790156,1071.4765573690856
KAZ,KAZ,Medium,1979,522.1166307104128,559.9399392461497,1082.0565699565625
KAZ,KAZ,Medium,1980,527.6156863951803,565.7499457394898,1093.36563213467
KAZ,KAZ,Medium,1981,533.54562472367,571.8443746810689,1105.389999404739
KAZ,KAZ,Medium,1982,539.7772030713115,578.1153391458611,1117.8925422171726
KAZ,KAZ,Medium,1983,546.2938689235804,584.5470255708822,1130.8408944944626
