ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KAZ,KAZ,Medium,1950,130.96236468700985,139.6634092634089,270.6257739504187
KAZ,KAZ,Medium,1951,132.9264303330438,142.08248795918496,275.00891829222877
KAZ,KAZ,Medium,1952,136.60501098975644,146.2799126888555,282.8849236786119
KAZ,KAZ,Medium,1953,141.61544350848257,151.8640976876069,293.47954119608943
KAZ,KAZ,Medium,1954,147.62880230659133,158.49759849494706,306.12640080153847
KAZ,KAZ,Medium,1955,154.3704242272599,165.89565849687176,320.26608272413165
KAZ,KAZ,Medium,1956,161.6220079785665,173.82774313135522,335.44975110992175
KAZ,KAZ,Medium,1957,169.21894946079544,182.11717652389268,351.33612598468807
KAZ,KAZ,Medium,1958,177.04525466401682,190.63516616084794,367.6804208248647
KAZ,KAZ,Medium,1959,185.0242133136512,199.29046718930044,384.31468050295155
KAZ,KAZ,Medium,1960,193.09017756419016,208.00620783935562,401.0963854035458
KAZ,KAZ,Medium,1961,201.15795863702184,216.68783260413744,417.84579124115936
KAZ,KAZ,Medium,1962,209.09771429896315,225.20077551250196,434.2984898114653
KAZ,KAZ,Medium,1963,216.7223522276982,233.35943807379596,450.0817903014941
KAZ,KAZ,Medium,1964,223.82112103727698,240.9565814251684,464.77770246244546
KAZ,KAZ,Medium,1965,230.2511377478381,247.85275436220005,478.10389211003826
KAZ,KAZ,Medium,1966,235.89947676043508,253.93842268755716,489.83789944799224
KAZ,KAZ,Medium,1967,240.80776349248447,259.2506092021814,500.0583726946659
KAZ,KAZ,Medium,1968,245.18569961038895,263.9860959472833,509.1717955576723
KAZ,KAZ,Medium,1969,249.34246789453226,268.4363012186074,517.7787691131397
KAZ,KAZ,Medium,1970,253.50335430920575,272.8155292990311,526.3188836082368
KAZ,KAZ,Medium,1971,257.75815024949594,277.2035992479459,534.9617494974419
KAZ,KAZ,Medium,1972,262.0443570285349,281.5482673309801,543.592624359515
KAZ,KAZ,Medium,1973,266.25074474818257,285.7811806561007,552.0319254042832
KAZ,KAZ,Medium,1974,270.20172762730954,289.78226745667666,559.9839950839862
KAZ,KAZ,Medium,1975,273.78393595485306,293.4775225046531,567.2614584595062
KAZ,KAZ,Medium,1976,276.95626917317037,296.8424388859934,573.7987080591636
KAZ,KAZ,Medium,1977,279.80589437848056,299.9473074365094,579.7532018149899
KAZ,KAZ,Medium,1978,282.4993939881074,302.9193864643457,585.418780452453
KAZ,KAZ,Medium,1979,285.26697957344635,305.93236418068113,591.1993437541274
KAZ,KAZ,Medium,1980,288.27147878574954,309.1067564642636,597.3782352500132
KAZ,KAZ,Medium,1981,291.511397793354,312.43654761461204,603.947945407966
KAZ,KAZ,Medium,1982,294.91612276981806,315.8627918417872,610.7789146116053
KAZ,KAZ,Medium,1983,298.4766099775071,319.3768491464412,617.8534591239484
KAZ,KAZ,Medium,1984,302.167666147296,322.9569176610624,625.1245838083585
KAZ,KAZ,Medium,1985,305.930022498615,326.54998654853335,632.4800090471484
KAZ,KAZ,Medium,1986,309.81782033578594,330.20926851511473,640.0270888509007
KAZ,KAZ,Medium,1987,313.72536097520356,333.84069253987553,647.5660535150791
KAZ,KAZ,Medium,1988,317.23497715869786,337.06321042729905,654.2981875859969
KAZ,KAZ,Medium,1989,319.80020911446223,339.3771556730727,659.1773647875349
KAZ,KAZ,Medium,1990,321.0397260301792,340.44027933108583,661.4800053612651
KAZ,KAZ,Medium,1991,320.8774636125294,340.17566925761565,661.0531328701449
KAZ,KAZ,Medium,1992,319.4687399806217,338.7380783381688,658.2068183187904
KAZ,KAZ,Medium,1993,316.9763827857078,336.3190400162214,653.2954228019292
KAZ,KAZ,Medium,1994,313.6638716340539,333.21465595165006,646.8785275857039
KAZ,KAZ,Medium,1995,309.79218295454484,329.70330369352064,639.4954866480654
KAZ,KAZ,Medium,1996,305.3378999265195,325.7828030550818,631.1207029816014
KAZ,KAZ,Medium,1997,300.4377687078729,321.5616385141203,621.9994072219932
KAZ,KAZ,Medium,1998,295.7177855130017,317.5674556382565,613.2852411512582
KAZ,KAZ,Medium,1999,291.9746067303274,314.46343493814373,606.4380416684712
KAZ,KAZ,Medium,2000,289.7711242799483,312.716378621512,602.4875029014604
KAZ,KAZ,Medium,2001,289.3982719716637,312.5838717156332,601.9821436872969
KAZ,KAZ,Medium,2002,290.70375972351894,313.9421280616336,604.6458877851526
KAZ,KAZ,Medium,2003,293.25090420401403,316.3957263809704,609.6466305849845
KAZ,KAZ,Medium,2004,296.3634034081592,319.33813064469297,615.7015340528524
KAZ,KAZ,Medium,2005,299.5438921398791,322.32623808253356,621.8701302224126
KAZ,KAZ,Medium,2006,302.6469034942738,325.21712534080166,627.8640288350755
KAZ,KAZ,Medium,2007,305.8116060589617,328.14277446560305,633.9543805245647
KAZ,KAZ,Medium,2008,309.15560879702184,331.25914955730593,640.4147583543279
KAZ,KAZ,Medium,2009,312.8919240288128,334.8260158299335,647.7179398587464
KAZ,KAZ,Medium,2010,317.1573382860578,339.00914822423516,656.1664865102929
KAZ,KAZ,Medium,2011,321.95540446568515,343.83604131757284,665.7914457832578
KAZ,KAZ,Medium,2012,327.15688594194256,349.1662345598088,676.3231205017512
KAZ,KAZ,Medium,2013,332.60973487584823,354.79983712492077,687.4095720007689
KAZ,KAZ,Medium,2014,338.1086503483302,360.46432566900825,698.5729760173384
KAZ,KAZ,Medium,2015,343.4960129320424,365.9533091796236,709.4493221116661
KAZ,KAZ,Medium,2016,348.71146375303914,371.19031962516004,719.9017833781993
KAZ,KAZ,Medium,2017,353.7612203809442,376.1985315833062,729.9597519642506
KAZ,KAZ,Medium,2018,358.6370869285266,380.995951781674,739.6330387102006
KAZ,KAZ,Medium,2019,363.3545265721881,385.63765012264537,748.9921766948335
KAZ,KAZ,Medium,2020,367.92423837654115,390.1633140798582,758.0875524563993
KAZ,KAZ,Medium,2021,372.33322196873576,394.5659589809431,766.8991809496789
KAZ,KAZ,Medium,2022,376.5637128641329,398.8172020243053,775.3809148884383
KAZ,KAZ,Medium,2023,380.61999068857733,402.9153878829673,783.5353785715446
KAZ,KAZ,Medium,2024,384.5125526375376,406.85902272526596,791.3715753628036
KAZ,KAZ,Medium,2025,388.2548028221512,410.652224681732,798.9070275038833
KAZ,KAZ,Medium,2026,391.8485580647106,414.2958416027679,806.1443996674784
KAZ,KAZ,Medium,2027,395.30750509315357,417.80493292648845,813.1124380196421
KAZ,KAZ,Medium,2028,398.6727444651237,421.2190246312169,819.8917690963405
KAZ,KAZ,Medium,2029,401.99656028882094,424.58882624583305,826.5853865346539
KAZ,KAZ,Medium,2030,405.3213450844074,427.9548730943777,833.2762181787851
KAZ,KAZ,Medium,2031,408.6619967946835,431.3308519047889,839.9928486994725
KAZ,KAZ,Medium,2032,412.02259317635,434.7178123966135,846.7404055729636
KAZ,KAZ,Medium,2033,415.41669983585905,438.1256057840607,853.54230561992
KAZ,KAZ,Medium,2034,418.8546120995358,441.561095618014,860.4157077175499
KAZ,KAZ,Medium,2035,422.3423052940321,445.02702731882664,867.3693326128587
KAZ,KAZ,Medium,2036,425.88664297023064,448.5283264936035,874.4149694638342
KAZ,KAZ,Medium,2037,429.4867369038998,452.06325706770895,881.5499939716088
KAZ,KAZ,Medium,2038,433.1302730772782,455.6175267057743,888.7477997830524
KAZ,KAZ,Medium,2039,436.7985987814946,459.17050438132003,895.9691031628147
KAZ,KAZ,Medium,2040,440.4749185037984,462.703900749934,903.1788192537324
KAZ,KAZ,Medium,2041,444.1541047679417,466.211942354108,910.3660471220498
KAZ,KAZ,Medium,2042,447.82965738750005,469.68921910079274,917.5188764882928
KAZ,KAZ,Medium,2043,451.48356963486094,473.1192180940394,924.6027877289004
KAZ,KAZ,Medium,2044,455.0937166518829,476.48247914840186,931.5761958002848
KAZ,KAZ,Medium,2045,458.64261657072757,479.7642658163952,938.4068823871229
KAZ,KAZ,Medium,2046,462.12171013970516,482.9561399678158,945.0778501075209
KAZ,KAZ,Medium,2047,465.52631399468316,486.05567917293985,951.581993167623
KAZ,KAZ,Medium,2048,468.84585019253524,489.05577763791206,957.9016278304473
KAZ,KAZ,Medium,2049,472.07224396751656,491.9527613443179,964.0250053118344
KAZ,KAZ,Medium,2050,475.198551021086,494.74376375031807,969.9423147714041
KAZ,KAZ,Medium,2051,478.2209762133436,497.42648354767493,975.6474597610185
KAZ,KAZ,Medium,2052,481.13964066577535,500.00144559616217,981.1410862619373
