ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KAZ,KAZ,Medium,1950,95.53411434514145,101.88133165043747,197.4154459955789
KAZ,KAZ,Medium,1951,96.96685628178871,103.64599542452623,200.61285170631496
KAZ,KAZ,Medium,1952,99.65029855107043,106.70792283426582,206.35822138533624
KAZ,KAZ,Medium,1953,103.30529694932457,110.78146082718553,214.08675777651007
KAZ,KAZ,Medium,1954,107.69190762476444,115.62045122073546,223.31235884549994
KAZ,KAZ,Medium,1955,112.6097699509381,121.0171704373227,233.62694038826078
KAZ,KAZ,Medium,1956,117.89963802056538,126.80344867288396,244.70308669344936
KAZ,KAZ,Medium,1957,123.44143682643708,132.85040483064535,256.29184165708244
KAZ,KAZ,Medium,1958,129.1505513340395,139.0640876540461,268.21463898808554
KAZ,KAZ,Medium,1959,134.9710231147001,145.37793606477058,280.3489591794706
KAZ,KAZ,Medium,1960,140.8549635341972,151.73587382692799,292.59083736112524
KAZ,KAZ,Medium,1961,146.7402292848997,158.0689248142285,304.80915409912825
KAZ,KAZ,Medium,1962,152.53210336332816,164.27892616205867,316.8110295253869
KAZ,KAZ,Medium,1963,158.09410610713113,170.2304879248358,328.3245940319669
KAZ,KAZ,Medium,1964,163.272499096482,175.77243398973027,339.0449330862123
KAZ,KAZ,Medium,1965,167.96305239502706,180.80303782377666,348.7660902188038
KAZ,KAZ,Medium,1966,172.08338930539966,185.2423966811915,357.3257859865912
KAZ,KAZ,Medium,1967,175.66387463810577,189.1175178667604,364.7813925048662
KAZ,KAZ,Medium,1968,178.85748106605305,192.57194947593047,371.42943054198355
KAZ,KAZ,Medium,1969,181.88975050859614,195.8182746340482,377.7080251426443
KAZ,KAZ,Medium,1970,184.9250240352049,199.01282351974152,383.9378475549464
KAZ,KAZ,Medium,1971,188.0288024592306,202.21382235063456,390.2426248098652
KAZ,KAZ,Medium,1972,191.1554943872074,205.38316049162069,396.5386548788281
KAZ,KAZ,Medium,1973,194.2239600975603,208.47097603757237,402.69493613513265
KAZ,KAZ,Medium,1974,197.1061136922384,211.389679321715,408.49579301395346
KAZ,KAZ,Medium,1975,199.71925450402466,214.08528518628185,413.8045396903065
KAZ,KAZ,Medium,1976,202.03340059587265,216.53991638590225,418.57331698177484
KAZ,KAZ,Medium,1977,204.11213841383682,218.80484851232293,422.9169869261597
KAZ,KAZ,Medium,1978,206.0769861035503,220.97291365353118,427.0498997570814
KAZ,KAZ,Medium,1979,208.09587785463947,223.17081347276303,431.2666913274025
KAZ,KAZ,Medium,1980,210.2875927949129,225.48646160664393,435.77405440155684
KAZ,KAZ,Medium,1981,212.6510412076017,227.91546973629312,440.5665109438948
KAZ,KAZ,Medium,1982,215.13471188652264,230.414838227047,445.54955011356964
KAZ,KAZ,Medium,1983,217.7320076274533,232.97826439272845,450.71027202018183
KAZ,KAZ,Medium,1984,220.4245505043454,235.5898442588729,456.0143947632183
KAZ,KAZ,Medium,1985,223.1691052680983,238.2109076060871,461.3800128741854
KAZ,KAZ,Medium,1986,226.00516678863315,240.88027191278684,466.88543870142
KAZ,KAZ,Medium,1987,228.85563024159975,243.52931447433738,472.3849447159372
KAZ,KAZ,Medium,1988,231.41581670877923,245.88006915925882,477.29588586803806
KAZ,KAZ,Medium,1989,233.28709601539148,247.5680404342618,480.85513644965323
