ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
KAZ,KAZ,Medium,1950,238.44488064916112,254.2869856730046,492.7318663221657
KAZ,KAZ,Medium,1951,242.02088051503816,258.6914337163322,500.7123142313703
KAZ,KAZ,Medium,1952,248.71852015940811,266.3337395122919,515.0522596717
KAZ,KAZ,Medium,1953,257.84107981067586,276.5009377660219,534.3420175766977
KAZ,KAZ,Medium,1954,268.7896803826221,288.5786389595865,557.3683193422087
KAZ,KAZ,Medium,1955,281.06423909341964,302.0483830223954,583.112622115815
KAZ,KAZ,Medium,1956,294.267291941695,316.4904326790939,610.757724620789
KAZ,KAZ,Medium,1957,308.0991421022963,331.58311186716924,639.6822539694655
KAZ,KAZ,Medium,1958,322.3485977727553,347.091926382001,669.4405241547562
KAZ,KAZ,Medium,1959,336.8759915584706,362.8507455331691,699.7267370916396
KAZ,KAZ,Medium,1960,351.561797573326,378.71960788945177,730.2814054627778
KAZ,KAZ,Medium,1961,366.25091150015874,394.52635500971456,760.7772665098735
KAZ,KAZ,Medium,1962,380.70692789631727,410.0259808801647,790.7329087764822
KAZ,KAZ,Medium,1963,394.5892053372852,424.88056391502255,819.4697692523076
KAZ,KAZ,Medium,1964,407.51402603368405,438.7127816213989,846.2268076550831
KAZ,KAZ,Medium,1965,419.22124108578015,451.2687333777403,870.4899744635206
KAZ,KAZ,Medium,1966,429.50524538688967,462.3489888463871,891.8542342332768
KAZ,KAZ,Medium,1967,438.4418268758727,472.020955922523,910.4627827983957
KAZ,KAZ,Medium,1968,446.41279210407566,480.6429182278776,927.0557103319533
KAZ,KAZ,Medium,1969,453.9810741808965,488.7454648436261,942.7265390245225
KAZ,KAZ,Medium,1970,461.5568541915329,496.7187823647906,958.2756365563235
KAZ,KAZ,Medium,1971,469.3036164968234,504.70819839091206,974.0118148877356
KAZ,KAZ,Medium,1972,477.1075689247452,512.618592075351,989.7261610000961
KAZ,KAZ,Medium,1973,484.76619375312674,520.3255124186024,1005.091706171729
KAZ,KAZ,Medium,1974,491.9597996666411,527.610343193538,1019.5701428601792
KAZ,KAZ,Medium,1975,498.4819729578987,534.338342118945,1032.8203150768438
KAZ,KAZ,Medium,1976,504.25788130705564,540.4648891377059,1044.7227704447614
KAZ,KAZ,Medium,1977,509.4462309798715,546.1179636887686,1055.5641946686399
KAZ,KAZ,Medium,1978,514.3503207500964,551.5292666288613,1065.8795873789575
KAZ,KAZ,Medium,1979,519.3892998198439,557.0150343430223,1076.4043341628662
KAZ,KAZ,Medium,1980,524.8596306114441,562.7946916590873,1087.6543222705313
KAZ,KAZ,Medium,1981,530.75859328616,568.8572857129516,1099.6158789991116
KAZ,KAZ,Medium,1982,536.9576203318035,575.0954931382386,1112.053113470042
KAZ,KAZ,Medium,1983,543.4402456976426,581.4935829757662,1124.933828673409
KAZ,KAZ,Medium,1984,550.160599670924,588.0118602818061,1138.1724599527302
KAZ,KAZ,Medium,1985,557.0107708120293,594.5538075357733,1151.5645783478026
KAZ,KAZ,Medium,1986,564.0893348978856,601.2163098040274,1165.305644701913
KAZ,KAZ,Medium,1987,571.2038449605624,607.8280907552954,1179.0319357158578
KAZ,KAZ,Medium,1988,577.5938487910344,613.6953709841832,1191.2892197752176
KAZ,KAZ,Medium,1989,582.2643999756552,617.9084011877522,1200.1728011634073
KAZ,KAZ,Medium,1990,584.5212045449458,619.8440442586152,1204.365248803561
KAZ,KAZ,Medium,1991,584.2257712507867,619.3622652563961,1203.5880365071823
KAZ,KAZ,Medium,1992,581.6608898126676,616.7448247724138,1198.4057145850811
KAZ,KAZ,Medium,1993,577.123022652918,612.3404502382411,1189.4634728911594
KAZ,KAZ,Medium,1994,571.0918905174163,606.6882577970391,1177.7801483144553
KAZ,KAZ,Medium,1995,564.0426565844266,600.2950930729,1164.3377496573264
KAZ,KAZ,Medium,1996,555.932685544018,593.1569865714507,1149.089672115469
KAZ,KAZ,Medium,1997,547.0109529043559,585.4714573923196,1132.4824102966754
KAZ,KAZ,Medium,1998,538.4172181145415,578.1991966828981,1116.6164147974396
KAZ,KAZ,Medium,1999,531.6019638220863,572.5476658240916,1104.149629646178
KAZ,KAZ,Medium,2000,527.5900546667434,569.3667776666258,1096.9568323333692
KAZ,KAZ,Medium,2001,526.9111976198263,569.125520619741,1096.0367182395673
KAZ,KAZ,Medium,2002,529.288116148474,571.5985156140435,1100.8866317625177
KAZ,KAZ,Medium,2003,533.9257352316309,576.0658139849419,1109.9915492165728
KAZ,KAZ,Medium,2004,539.5927030129985,581.4230876960701,1121.0157907090688
