ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
MNG,MNG,Medium,1950,383.47,396.729,780.1990000000001
MNG,MNG,Medium,1951,390.28499999999985,403.252,793.5369999999998
MNG,MNG,Medium,1952,397.535,410.3870000000001,807.9220000000001
MNG,MNG,Medium,1953,405.0860000000001,417.982,823.0680000000002
MNG,MNG,Medium,1954,412.84899999999993,425.938,838.7869999999999
MNG,MNG,Medium,1955,420.84699999999987,434.25200000000007,855.0989999999999
MNG,MNG,Medium,1956,429.16099999999994,443.00199999999995,872.1629999999999
MNG,MNG,Medium,1957,437.97399999999993,452.30699999999996,890.281
MNG,MNG,Medium,1958,447.5100000000001,462.376,909.8860000000001
MNG,MNG,Medium,1959,458.0590000000001,473.42799999999994,931.4870000000001
MNG,MNG,Medium,1960,469.8469999999999,485.667,955.5139999999999
MNG,MNG,Medium,1961,482.992,499.1889999999999,982.1809999999999
MNG,MNG,Medium,1962,497.421,513.906,1011.327
MNG,MNG,Medium,1963,512.83,529.5569999999996,1042.3869999999997
MNG,MNG,Medium,1964,528.767,545.751,1074.518
MNG,MNG,Medium,1965,544.9289999999999,562.192,1107.1209999999999
MNG,MNG,Medium,1966,561.1819999999998,578.78,1139.9619999999998
MNG,MNG,Medium,1967,577.6179999999998,595.568,1173.1859999999997
MNG,MNG,Medium,1968,594.389,612.7149999999998,1207.1039999999998
MNG,MNG,Medium,1969,611.745,630.4680000000001,1242.2130000000002
MNG,MNG,Medium,1970,629.8529999999997,648.966,1278.8189999999997
MNG,MNG,Medium,1971,648.7730000000001,668.269,1317.0420000000001
MNG,MNG,Medium,1972,668.3960000000001,688.2770000000002,1356.6730000000002
MNG,MNG,Medium,1973,688.5129999999999,708.7919999999999,1397.3049999999998
MNG,MNG,Medium,1974,708.875,729.5460000000003,1438.4210000000003
MNG,MNG,Medium,1975,729.2860000000001,750.36,1479.6460000000002
MNG,MNG,Medium,1976,749.6910000000001,771.1770000000002,1520.8680000000004
MNG,MNG,Medium,1977,770.1509999999997,792.056,1562.2069999999999
MNG,MNG,Medium,1978,790.793,813.117,1603.9099999999999
MNG,MNG,Medium,1979,811.761,834.5290000000003,1646.2900000000004
MNG,MNG,Medium,1980,833.2040000000001,856.4180000000001,1689.6220000000003
MNG,MNG,Medium,1981,854.905,878.57,1733.475
MNG,MNG,Medium,1982,876.821,900.9060000000002,1777.7270000000003
MNG,MNG,Medium,1983,899.3430000000001,923.871,1823.214
