ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
TJK,TJK,Medium,1950,266.4526076789281,284.12233360175236,550.5749412806804
TJK,TJK,Medium,1951,275.80568817238947,293.99812536236544,569.8038135347549
TJK,TJK,Medium,1952,285.0962158732204,303.74485705082776,588.841072924048
TJK,TJK,Medium,1953,294.31987679572245,313.35569818978297,607.6755749855055
TJK,TJK,Medium,1954,303.5072283385944,322.86372266958705,626.3709510081815
TJK,TJK,Medium,1955,312.73448424917865,332.35592920182944,645.0904134510081
TJK,TJK,Medium,1956,322.1242336210784,341.9602993622366,664.0845329833152
TJK,TJK,Medium,1957,331.84076740965014,351.84543809186374,683.686205501514
TJK,TJK,Medium,1958,342.0764174772918,362.23099916253307,704.3074166398249
TJK,TJK,Medium,1959,353.04544511370227,373.342747825807,726.3881929395092
TJK,TJK,Medium,1960,364.92508323133427,385.367982960768,750.2930661921024
TJK,TJK,Medium,1961,377.8026900405849,398.40340974682744,776.2060997874123
TJK,TJK,Medium,1962,391.6365636797013,412.4055288281905,804.0420925078919
TJK,TJK,Medium,1963,406.2368887779425,427.17194237582925,833.4088311537719
TJK,TJK,Medium,1964,421.3056408232943,442.3805394575791,863.6861802808735
TJK,TJK,Medium,1965,436.61921155704425,457.8048358242608,894.4240473813051
TJK,TJK,Medium,1966,452.1384156090962,473.3934231462989,925.5318387553953
TJK,TJK,Medium,1967,467.89309138053204,489.18512729498184,957.0782186755139
TJK,TJK,Medium,1968,483.8332685370098,505.12350695741816,988.9567754944281
TJK,TJK,Medium,1969,499.9132907298845,521.1585917992657,1021.0718825291501
TJK,TJK,Medium,1970,516.1069145461573,537.2634194099077,1053.370333956065
TJK,TJK,Medium,1971,532.4112639953619,553.4257668298654,1085.8370308252272
TJK,TJK,Medium,1972,548.8410785286352,569.661811505508,1118.5028900341433
TJK,TJK,Medium,1973,565.4434524898538,586.0438126972881,1151.4872651871422
TJK,TJK,Medium,1974,582.2784221799908,602.6627236036851,1184.941145783676
TJK,TJK,Medium,1975,599.4207633511562,619.618484893384,1219.0392482445404
TJK,TJK,Medium,1976,616.8672405140759,636.9416539650841,1253.8088944791602
TJK,TJK,Medium,1977,634.6768114732976,654.6714161888813,1289.3482276621787
TJK,TJK,Medium,1978,653.0497170650004,672.9296416607615,1325.9793587257618
TJK,TJK,Medium,1979,672.2437179346775,691.8590514075888,1364.1027693422664
TJK,TJK,Medium,1980,692.4385634864395,711.5635405849388,1404.002104071378
TJK,TJK,Medium,1981,713.5717009276558,731.9075781421118,1445.4792790697677
TJK,TJK,Medium,1982,735.5683545062167,752.8634826708752,1488.4318371770917
TJK,TJK,Medium,1983,758.5726832442183,774.7896744830254,1533.3623577272438
TJK,TJK,Medium,1984,782.7612010564968,798.1574565161371,1580.918657572634
TJK,TJK,Medium,1985,808.1561968691616,823.1846850479933,1631.3408819171548
TJK,TJK,Medium,1986,834.9259161244606,850.1629136120597,1685.0888297365202
TJK,TJK,Medium,1987,862.7583138568579,878.6528346646913,1741.4111485215492
TJK,TJK,Medium,1988,890.644636410488,907.2707372930493,1797.9153737035374
TJK,TJK,Medium,1989,917.2360442569094,934.1368022289506,1851.3728464858593
TJK,TJK,Medium,1990,941.5816630483797,957.9420943116669,1899.5237573600464
TJK,TJK,Medium,1991,963.3342169361594,978.1879886941961,1941.5222056303548
TJK,TJK,Medium,1992,982.8021558977006,995.3364413451009,1978.138597242801
TJK,TJK,Medium,1993,1000.5333561167296,1010.2574393802745,2010.7907954970042
TJK,TJK,Medium,1994,1017.377672775881,1024.2768144044321,2041.6544871803133
TJK,TJK,Medium,1995,1034.0159966179217,1038.4248900019327,2072.440886619855
TJK,TJK,Medium,1996,1050.6043501256202,1052.9504393480643,2103.5547894736837
TJK,TJK,Medium,1997,1067.123320363332,1067.7258403659087,2134.849160729241
TJK,TJK,Medium,1998,1083.8824358049353,1082.9588833666176,2166.841319171553
TJK,TJK,Medium,1999,1101.2095593635256,1098.802355343683,2200.011914707209
TJK,TJK,Medium,2000,1119.3797076273922,1115.3831593764096,2234.762867003802
TJK,TJK,Medium,2001,1138.5855719577403,1132.9112427687946,2271.496814726535
TJK,TJK,Medium,2002,1158.9170270566258,1151.531843039361,2310.448870095987
TJK,TJK,Medium,2003,1180.430514236939,1171.2489146749986,2351.6794289119366
TJK,TJK,Medium,2004,1203.1260334986794,1191.9955908973786,2395.1216243960575
TJK,TJK,Medium,2005,1227.0003493525737,1213.7513802744315,2440.7517296270053
TJK,TJK,Medium,2006,1252.121407073375,1236.5414477227341,2488.662854796109
TJK,TJK,Medium,2007,1278.5456479739742,1260.4747213811763,2539.0203693551507
TJK,TJK,Medium,2008,1306.2518616246862,1285.707223732526,2591.9590853572117
TJK,TJK,Medium,2009,1335.1904371899761,1312.4291296463314,2647.6195668363075
TJK,TJK,Medium,2010,1365.318234812858,1340.7720156864013,2706.0902504992596
