ISO code,Country,Fertility,Year,Age,Male population,Female population,Total population
TJK,TJK,Medium,1950,0-4,29.012991818591768,32.829071667847714,61.84206348643948
TJK,TJK,Medium,1950,5-9,27.77559692069832,25.726094215035758,53.50169113573407
TJK,TJK,Medium,1950,10-14,35.93873635895123,34.84370298911293,70.78243934806417
TJK,TJK,Medium,1950,15-19,30.638285930554662,31.27459882110417,61.91288475165884
TJK,TJK,Medium,1950,20-24,29.825459125169107,28.624373606905884,58.449832732074995
TJK,TJK,Medium,1950,25-29,16.679306706177933,20.95554502995555,37.634851736133484
TJK,TJK,Medium,1950,30-34,11.379215776589579,15.72591586677833,27.1051316433679
TJK,TJK,Medium,1950,35-39,13.817696192746249,19.118506119951043,32.93620231269729
TJK,TJK,Medium,1950,40-44,14.382828319268185,17.563314275591058,31.946142594859243
TJK,TJK,Medium,1950,45-49,14.913089061392775,16.573614056561233,31.486703117954004
TJK,TJK,Medium,1950,50-54,12.192042581975135,12.439018263222316,24.63106084519745
TJK,TJK,Medium,1950,55-59,9.223660922502093,8.057446788636218,17.28110771113831
TJK,TJK,Medium,1950,60-64,8.622578915158153,8.445705501513885,17.068284416672036
TJK,TJK,Medium,1950,65-69,5.653837756876893,5.513273722862849,11.167111479739741
TJK,TJK,Medium,1950,70-74,3.427821136378278,3.3925902531727123,6.82041138955099
TJK,TJK,Medium,1950,75-79,1.83739840881273,1.8729887908265157,3.710387199639245
TJK,TJK,Medium,1950,80-84,0.7200761128647813,0.6992251819880179,1.4193012948527992
TJK,TJK,Medium,1950,85-89,0.30090050248019073,0.32498692263093476,0.6258874251111254
TJK,TJK,Medium,1950,90-94,0.09167219609611545,0.1121636281646589,0.20383582426077437
TJK,TJK,Medium,1950,95-99,0.01761544160278297,0.02624341300006442,0.04385885460284739
TJK,TJK,Medium,1950,100+,0.001797494041100303,0.003954486890420667,0.005751980931520969
TJK,TJK,Medium,1951,0-4,33.46430606197256,37.56690646137989,71.03121252335245
TJK,TJK,Medium,1951,5-9,26.731252882819046,25.172825549185077,51.90407843200414
TJK,TJK,Medium,1951,10-14,35.467433421374736,33.89103114732977,69.35846456870452
TJK,TJK,Medium,1951,15-19,31.791917606132838,32.36711569928493,64.1590333054178
TJK,TJK,Medium,1951,20-24,31.07363898730916,29.650023706757718,60.723662694066874
TJK,TJK,Medium,1951,25-29,19.231748244540363,22.640156445274755,41.87190468981512
TJK,TJK,Medium,1951,30-34,11.720020646782194,16.08289818334085,27.802918830123048
TJK,TJK,Medium,1951,35-39,13.344595761128648,18.653674160922506,31.99826992205115
TJK,TJK,Medium,1951,40-44,14.294032113637828,17.940428525413903,32.23446063905173
TJK,TJK,Medium,1951,45-49,14.987864813502547,16.955401790890935,31.943266604393486
TJK,TJK,Medium,1951,50-54,12.749265734716229,13.365806190813633,26.11507192552986
TJK,TJK,Medium,1951,55-59,9.471715100173935,8.47302741093861,17.944742511112544
TJK,TJK,Medium,1951,60-64,8.649900824582877,8.372008245828772,17.02190907041165
