ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
TJK,TJK,Medium,1950,172.35901889669094,183.78895629066554,356.14797518735645
TJK,TJK,Medium,1951,178.40920467478372,190.17726599239833,368.586470667182
TJK,TJK,Medium,1952,184.4189272047929,196.48209117653371,380.9010183813266
TJK,TJK,Medium,1953,190.38539591788526,202.69901344241882,393.0844093603041
TJK,TJK,Medium,1954,196.32837734329712,208.8494271511091,405.1778044944062
TJK,TJK,Medium,1955,202.29717153041722,214.98960877407714,417.2867803044943
TJK,TJK,Medium,1956,208.37107714359337,221.20234518671214,429.5734223303056
TJK,TJK,Medium,1957,214.6563683458953,227.59670112091737,442.25306946681275
TJK,TJK,Medium,1958,221.27745799780973,234.31476303979045,455.59222103760015
TJK,TJK,Medium,1959,228.37294435139256,241.50257071227648,469.875515063669
TJK,TJK,Medium,1960,236.05747327621387,249.2812813352231,485.338754611437
TJK,TJK,Medium,1961,244.38755379114858,257.71345015997775,502.10100395112636
TJK,TJK,Medium,1962,253.33621039747484,266.77093895080424,520.1071493482791
TJK,TJK,Medium,1963,262.780658066525,276.3228235199381,539.1034815864631
TJK,TJK,Medium,1964,272.5281150013957,286.16074139448995,558.6888563958856
TJK,TJK,Medium,1965,282.4339367175588,296.13818771070885,578.5721244282677
TJK,TJK,Medium,1966,292.47277554811143,306.2219081899976,598.6946837381091
TJK,TJK,Medium,1967,302.66393292748387,316.4370179518565,619.1009508793404
TJK,TJK,Medium,1968,312.97508476669043,326.74700705404894,639.7220918207395
TJK,TJK,Medium,1969,323.37669754557743,337.1195514075888,660.4962489531662
TJK,TJK,Medium,1970,333.85179530374285,347.5372099572676,681.3890052610104
TJK,TJK,Medium,1971,344.39851766196404,357.9920760913913,702.3905937533553
TJK,TJK,Medium,1972,355.02639906375504,368.49461444308446,723.5210135068396
TJK,TJK,Medium,1973,365.76590321887954,379.09156704030596,744.8574702591857
TJK,TJK,Medium,1974,376.65586554360186,389.8417683759584,766.4976339195604
TJK,TJK,Medium,1975,387.7446558977001,400.80986662801433,788.5545225257146
TJK,TJK,Medium,1976,399.0301813545492,412.0156283257103,811.0458096802597
TJK,TJK,Medium,1977,410.5505796882045,423.484401135949,834.0349808241534
TJK,TJK,Medium,1978,422.43537980201427,435.2950186282721,857.7303984302862
TJK,TJK,Medium,1979,434.85131818377033,447.5398021215831,882.3911203053534
TJK,TJK,Medium,1980,447.9146685348623,460.28595781528503,908.2006263501471
TJK,TJK,Medium,1981,461.5849676072065,473.44581533853,935.0307829457365
TJK,TJK,Medium,1982,475.8138455410252,487.0014685413041,962.8153140823292
TJK,TJK,Medium,1983,490.6945538448324,501.18476718417844,991.8793210290108
TJK,TJK,Medium,1984,506.34127329339265,516.3005809121947,1022.6418542055873
TJK,TJK,Medium,1985,522.7684218256778,532.4898334514377,1055.2582552771155
TJK,TJK,Medium,1986,540.0848316261892,549.9411207455605,1090.0259523717496
TJK,TJK,Medium,1987,558.0886515493141,568.3702698683676,1126.4589214176817
TJK,TJK,Medium,1988,576.1273535828558,586.8822058665637,1163.0095594494196
TJK,TJK,Medium,1989,593.3284198715886,604.2609383710194,1197.5893582426074
TJK,TJK,Medium,1990,609.0767625351627,619.6597622882177,1228.7365248233805
TJK,TJK,Medium,1991,623.1477407824949,632.7561343705042,1255.9038751529988
TJK,TJK,Medium,1992,635.7408802851685,643.8488780304494,1279.5897583156177
TJK,TJK,Medium,1993,647.2105832850177,653.5007579827783,1300.7113412677961
TJK,TJK,Medium,1994,658.1065918422127,662.5694090489382,1320.6760008911508
TJK,TJK,Medium,1995,668.8693507376152,671.7213120852928,1340.5906628229084
TJK,TJK,Medium,1996,679.5997855440315,681.1173898945651,1360.7171754385963
TJK,TJK,Medium,1997,690.2853387017116,690.6750881487685,1380.9604268504802
TJK,TJK,Medium,1998,701.126233524448,700.5288192467093,1401.6550527711574
TJK,TJK,Medium,1999,712.3345532435744,710.7774158345678,1423.1119690781425
TJK,TJK,Medium,2000,724.0881966222169,721.5029671455263,1445.5911637677432
TJK,TJK,Medium,2001,736.5118090682644,732.8412808628058,1469.3530899310701
TJK,TJK,Medium,2002,749.6635274324123,744.88630613713,1494.549833569542
TJK,TJK,Medium,2003,763.5798616568964,757.640600989929,1521.220462646825
TJK,TJK,Medium,2004,778.2608117417166,771.0609116042864,1549.3217233460027
TJK,TJK,Medium,2005,793.7042847602482,785.1339827782431,1578.8382675384914
TJK,TJK,Medium,2006,809.9542321716162,799.8760928299943,1609.8303250016106
TJK,TJK,Medium,2007,827.0471639180572,815.3577036225815,1642.4048675406389
TJK,TJK,Medium,2008,844.9693597028066,831.6797407288111,1676.6491004316176
TJK,TJK,Medium,2009,863.6887279842814,848.9652217247526,1712.653949709034
TJK,TJK,Medium,2010,883.1773630741478,867.2992589598234,1750.4766220339714
TJK,TJK,Medium,2011,903.3759653846978,886.659295335953,1790.0352607206507
TJK,TJK,Medium,2012,924.2698844295566,907.0032397732399,1831.2731242027965
TJK,TJK,Medium,2013,945.9305122613757,928.3508588009195,1874.2813710622952
TJK,TJK,Medium,2014,968.4585419055599,950.7151750735469,1919.1737169791068
TJK,TJK,Medium,2015,991.8928087783722,974.0673527131788,1965.9601614915512
TJK,TJK,Medium,2016,1016.2630789473689,998.4287860808691,2014.691865028238
TJK,TJK,Medium,2017,1041.4212197169788,1023.6625047563828,2065.083724473362
TJK,TJK,Medium,2018,1066.9967830745775,1049.3815498614958,2116.378332936073
TJK,TJK,Medium,2019,1092.496768526273,1075.0829213639975,2167.5796898902704
TJK,TJK,Medium,2020,1117.5618903347722,1100.3919853980117,2217.9538757327837
TJK,TJK,Medium,2021,1142.07285168245,1125.1771201335653,2267.249971816015
TJK,TJK,Medium,2022,1166.0922078206534,1149.4911138310897,2315.583321651743
TJK,TJK,Medium,2023,1189.6706540831888,1173.390475509459,2363.0611295926474
TJK,TJK,Medium,2024,1212.9260920032636,1197.0049666194254,2409.931058622689
TJK,TJK,Medium,2025,1235.9785160407137,1220.4576047370572,2456.436120777771
TJK,TJK,Medium,2026,1258.8146709935793,1243.7335068285772,2502.548177822156
TJK,TJK,Medium,2027,1281.4612998131809,1266.8477884751658,2548.3090882883466
TJK,TJK,Medium,2028,1304.1139748652542,1289.9823017457968,2594.09627661105
TJK,TJK,Medium,2029,1327.0331492409111,1313.3777332023449,2640.4108824432556
TJK,TJK,Medium,2030,1350.4176509695294,1337.2175627456036,2687.635213715133
TJK,TJK,Medium,2031,1374.3237565225795,1361.5534158989892,2735.8771724215685
TJK,TJK,Medium,2032,1398.7500706156459,1386.3825020936679,2785.132572709313
TJK,TJK,Medium,2033,1423.761706521506,1411.7601676115014,2835.521874133007
TJK,TJK,Medium,2034,1449.4079642895485,1437.728503532393,2887.1364678219416
TJK,TJK,Medium,2035,1475.7139590392758,1464.3072763855787,2940.0212354248547
TJK,TJK,Medium,2036,1502.6964341836847,1491.5067182567802,2994.2031524404647
TJK,TJK,Medium,2037,1530.3070198629996,1519.2842729712904,3049.5912928342896
TJK,TJK,Medium,2038,1558.4068852777593,1547.5008771822459,3105.9077624600045
TJK,TJK,Medium,2039,1586.7955745667718,1575.9658420193691,3162.7614165861414
TJK,TJK,Medium,2040,1615.3058861474374,1604.517081942923,3219.8229680903596
TJK,TJK,Medium,2041,1643.894798750242,1633.114366252228,3277.00916500247
TJK,TJK,Medium,2042,1672.5290580965884,1661.72397557388,3334.253033670468
TJK,TJK,Medium,2043,1701.0512295947947,1690.1994050441288,3391.250634638923
TJK,TJK,Medium,2044,1729.2922512830419,1718.3820573342784,3447.6743086173196
TJK,TJK,Medium,2045,1757.1232919001914,1746.1556587429413,3503.2789506431322
TJK,TJK,Medium,2046,1784.479470720866,1773.4597469453931,3557.9392176662586
TJK,TJK,Medium,2047,1811.3775311580673,1800.3071120487878,3611.6846432068546
TJK,TJK,Medium,2048,1837.892586022891,1826.77007629539,3664.662662318281
TJK,TJK,Medium,2049,1864.137188258284,1852.9593322489209,3717.096520507205
TJK,TJK,Medium,2050,1890.2108681526336,1878.974642745174,3769.185510897808
TJK,TJK,Medium,2051,1916.1264158130948,1904.8241469432455,3820.950562756341
TJK,TJK,Medium,2052,1941.8833661448605,1930.5094726749548,3872.3928388198146
TJK,TJK,Medium,2053,1967.5689244239732,1956.1113138890682,3923.680238313041
TJK,TJK,Medium,2054,1993.2791327277807,1981.7296659687781,3975.008798696559
TJK,TJK,Medium,2055,2019.0951500998522,2007.4387115355712,4026.5338616354234
TJK,TJK,Medium,2056,2045.031161931758,2033.2554265498513,4078.2865884816097
TJK,TJK,Medium,2057,2071.086005486482,2059.1714393051175,4130.2574447915995
TJK,TJK,Medium,2058,2097.2620062380556,2085.1909356546207,4182.452941892677
TJK,TJK,Medium,2059,2123.567768440379,2111.314380693166,4234.882149133546
TJK,TJK,Medium,2060,2149.9846883012306,2137.524565912947,4287.509254214177
TJK,TJK,Medium,2061,2176.514858747235,2163.8182356503257,4340.333094397561
TJK,TJK,Medium,2062,2203.12456040499,2190.162135626704,4393.286696031696
TJK,TJK,Medium,2063,2229.70031014194,2216.438829403681,4446.139139545622
TJK,TJK,Medium,2064,2256.096300736542,2242.504602686336,4498.600903422878
TJK,TJK,Medium,2065,2282.196025940004,2268.2422515836715,4550.438277523675
TJK,TJK,Medium,2066,2307.953208819172,2293.6096850157824,4601.562893834955
TJK,TJK,Medium,2067,2333.36715173184,2318.594345422921,4651.961497154761
TJK,TJK,Medium,2068,2358.394135766282,2343.1560021044043,4701.550137870687
TJK,TJK,Medium,2069,2383.004162307544,2367.2583776654,4750.262539972944
TJK,TJK,Medium,2070,2407.1737440679417,2390.877752270824,4798.051496338767
TJK,TJK,Medium,2071,2430.884509802658,2413.987150421955,4844.871660224613
TJK,TJK,Medium,2072,2454.128087805193,2436.5914556142498,4890.719543419442
TJK,TJK,Medium,2073,2476.9442436814193,2458.721131557474,4935.665375238893
TJK,TJK,Medium,2074,2499.3862307865747,2480.4250132062093,4979.811243992785
TJK,TJK,Medium,2075,2521.49683784277,2501.753330799459,5023.250168642231
TJK,TJK,Medium,2076,2543.280483250661,2522.710037643068,5065.990520893728
TJK,TJK,Medium,2077,2564.740655221284,2543.2969941162573,5108.037649337542
TJK,TJK,Medium,2078,2585.9075849170054,2563.5618724366,5149.469457353605
TJK,TJK,Medium,2079,2606.823828512531,2583.5565306749127,5190.380359187443
TJK,TJK,Medium,2080,2627.5145011273594,2603.317943868238,5230.832444995598
TJK,TJK,Medium,2081,2647.9851838991603,2622.859832313342,5270.845016212503
TJK,TJK,Medium,2082,2668.228202763641,2642.172196471902,5310.400399235544
TJK,TJK,Medium,2083,2688.2316978032604,2661.2543387017117,5349.486036504973
TJK,TJK,Medium,2084,2707.981018531642,2680.0955618222415,5388.076580353883
TJK,TJK,Medium,2085,2727.4540729455207,2698.685633747773,5426.139706693294
TJK,TJK,Medium,2086,2746.644582265026,2717.0143223925793,5463.6589046576055
TJK,TJK,Medium,2087,2765.528129012863,2735.0625588696344,5500.590687882498
TJK,TJK,Medium,2088,2784.0507621915863,2752.778950202925,5536.829712394512
TJK,TJK,Medium,2089,2802.1438803173783,2770.1000109514916,5572.24389126887
TJK,TJK,Medium,2090,2819.7486488973354,2786.9680693594455,5606.716718256782
TJK,TJK,Medium,2091,2836.831116010651,2803.345917842342,5640.177033852993
TJK,TJK,Medium,2092,2853.374538244326,2819.2137898709448,5672.588328115271
TJK,TJK,Medium,2093,2869.376125029526,2834.5554071270594,5703.931532156585
TJK,TJK,Medium,2094,2884.827737207155,2849.3563516717136,5734.184088878868
TJK,TJK,Medium,2095,2899.724026186948,2863.598949902296,5763.322976089245
TJK,TJK,Medium,2096,2914.0463881766846,2877.251342824626,5791.29773100131
TJK,TJK,Medium,2097,2927.769010414653,2890.2770204964672,5818.046030911122
TJK,TJK,Medium,2098,2940.8567782430378,2902.624822489211,5843.481600732249
TJK,TJK,Medium,2099,2953.25992651764,2914.236379404754,5867.496305922396
TJK,TJK,Medium,2100,2964.925899525436,2925.040764285254,5889.96666381069
