ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
TJK,TJK,Medium,1950,741.178,790.3290000000002,1531.507
TJK,TJK,Medium,1951,767.1950000000002,817.7999999999997,1584.995
TJK,TJK,Medium,1952,793.038,844.9119999999999,1637.9499999999998
TJK,TJK,Medium,1953,818.6949999999999,871.646,1690.341
TJK,TJK,Medium,1954,844.2510000000001,898.0939999999999,1742.345
TJK,TJK,Medium,1955,869.9179999999999,924.4979999999998,1794.4159999999997
TJK,TJK,Medium,1956,896.037,951.2139999999998,1847.2509999999997
TJK,TJK,Medium,1957,923.0649999999998,978.7109999999999,1901.7759999999998
TJK,TJK,Medium,1958,951.5370000000001,1007.5999999999999,1959.1370000000002
TJK,TJK,Medium,1959,982.0489999999999,1038.5090000000002,2020.558
TJK,TJK,Medium,1960,1015.0940000000002,1071.9590000000003,2087.0530000000003
TJK,TJK,Medium,1961,1050.9149999999997,1108.2190000000003,2159.134
TJK,TJK,Medium,1962,1089.3960000000002,1147.168,2236.5640000000003
TJK,TJK,Medium,1963,1130.0090000000002,1188.2429999999997,2318.252
TJK,TJK,Medium,1964,1171.9249999999995,1230.548,2402.4729999999995
TJK,TJK,Medium,1965,1214.5219999999997,1273.453,2487.9749999999995
TJK,TJK,Medium,1966,1257.691,1316.8149999999998,2574.506
TJK,TJK,Medium,1967,1301.5149999999996,1360.7420000000004,2662.257
TJK,TJK,Medium,1968,1345.8550000000005,1405.077,2750.9320000000007
TJK,TJK,Medium,1969,1390.5839999999996,1449.681,2840.2649999999994
TJK,TJK,Medium,1970,1435.629,1494.4789999999996,2930.1079999999993
TJK,TJK,Medium,1971,1480.982,1539.437,3020.419
TJK,TJK,Medium,1972,1526.6840000000004,1584.6,3111.2840000000006
TJK,TJK,Medium,1973,1572.866,1630.1690000000006,3203.0350000000008
TJK,TJK,Medium,1974,1619.6949999999997,1676.3970000000002,3296.0919999999996
TJK,TJK,Medium,1975,1667.3789999999997,1723.5620000000001,3390.941
TJK,TJK,Medium,1976,1715.909,1771.749,3487.6580000000004
TJK,TJK,Medium,1977,1765.4489999999996,1821.0670000000005,3586.516
TJK,TJK,Medium,1978,1816.556,1871.855,3688.411
