ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
TKM,TKM,Medium,1950,78.98198267175574,82.14546114503813,161.1274438167939
TKM,TKM,Medium,1951,80.23800709923664,83.66054061068704,163.89854770992375
TKM,TKM,Medium,1952,81.87789068702288,85.5540240458015,167.4319147328244
TKM,TKM,Medium,1953,83.84801290076338,87.76843236641221,171.61644526717558
TKM,TKM,Medium,1954,86.099543129771,90.25347137404577,176.35301450381675
TKM,TKM,Medium,1955,88.59708916030536,92.97268442748089,181.5697735877862
TKM,TKM,Medium,1956,91.31071396946561,95.89387259541985,187.20458656488546
TKM,TKM,Medium,1957,94.21979427480916,98.99747702290075,193.21727129770994
TKM,TKM,Medium,1958,97.31089167938929,102.27099068702292,199.5818823664122
TKM,TKM,Medium,1959,100.57948236641221,105.70869229007636,206.28817465648856
TKM,TKM,Medium,1960,104.01505511450381,109.30339694656487,213.31845206106868
TKM,TKM,Medium,1961,107.60590122137408,113.04512564885493,220.65102687022903
TKM,TKM,Medium,1962,111.33046603053434,116.91046099236647,228.24092702290076
TKM,TKM,Medium,1963,115.15402259541983,120.86334549618317,236.017368091603
TKM,TKM,Medium,1964,119.03412687022903,124.86146816793897,243.895595038168
TKM,TKM,Medium,1965,122.94177320610687,128.8746258778626,251.8163990839695
TKM,TKM,Medium,1966,126.85580610687023,132.8836589312977,259.73946503816796
TKM,TKM,Medium,1967,130.77955190839694,136.89229282442747,267.6718447328244
TKM,TKM,Medium,1968,134.73363389312982,140.9255416030534,275.6591754961832
TKM,TKM,Medium,1969,138.75198068702286,145.02438572519088,283.77636641221375
TKM,TKM,Medium,1970,142.8601385496183,149.21410534351148,292.0742438931298
TKM,TKM,Medium,1971,147.06143381679385,153.50161923664115,300.563053053435
TKM,TKM,Medium,1972,151.3444238931298,157.87428732824432,309.218711221374
TKM,TKM,Medium,1973,155.69633564885498,162.32958160305347,318.02591725190837
TKM,TKM,Medium,1974,160.10240015267183,166.8603171755726,326.96271732824437
TKM,TKM,Medium,1975,164.54957816793902,171.46010748091604,336.00968564885505
TKM,TKM,Medium,1976,169.0447884732825,176.13773404580152,345.18252251908405
TKM,TKM,Medium,1977,173.59521595419847,180.89399519083972,354.4892111450382
TKM,TKM,Medium,1978,178.18396282442748,185.70374381679397,363.8877066412215
TKM,TKM,Medium,1979,182.78814389312973,190.53544625954208,373.3235901526718
TKM,TKM,Medium,1980,187.40070732824432,195.3686122900763,382.76931961832065
TKM,TKM,Medium,1981,192.01327076335878,200.19938335877853,392.21265412213734
TKM,TKM,Medium,1982,196.64885244274805,205.04798358778623,401.69683603053426
TKM,TKM,Medium,1983,201.3758418320611,209.96018335877855,411.3360251908396
TKM,TKM,Medium,1984,206.27939312977094,214.99638893129776,421.27578206106875
TKM,TKM,Medium,1985,211.42257366412215,220.205963129771,431.6285367938932
TKM,TKM,Medium,1986,216.7802363358778,225.55085267175573,442.3310890076335
TKM,TKM,Medium,1987,222.3316248091603,231.02267519083972,453.3543000000001
TKM,TKM,Medium,1988,228.15031763358786,236.7240148854961,464.874332519084
TKM,TKM,Medium,1989,234.32479534351154,242.787126870229,477.1119222137405
TKM,TKM,Medium,1990,240.88965183206108,249.2762759541985,490.16592778625954
TKM,TKM,Medium,1991,247.90356366412215,256.26091603053436,504.1644796946565
TKM,TKM,Medium,1992,255.26062030534342,263.62688725190844,518.8875075572518
TKM,TKM,Medium,1993,262.6174108396946,271.031843129771,533.6492539694657
TKM,TKM,Medium,1994,269.5198238931298,278.0090322137405,547.5288561068702
TKM,TKM,Medium,1995,275.6396166412214,284.2280828244276,559.8676994656488
TKM,TKM,Medium,1996,280.8674191603055,289.5774961832061,570.4449153435115
TKM,TKM,Medium,1997,285.30342068702294,294.1609209160306,579.4643416030534
TKM,TKM,Medium,1998,289.1023623664122,298.1259132824427,587.2282756488551
TKM,TKM,Medium,1999,292.51797709923665,301.7163602290076,594.2343373282442
TKM,TKM,Medium,2000,295.7554332824429,305.1309105343512,600.8863438167941
TKM,TKM,Medium,2001,298.85823938931304,308.40921412213737,607.2674535114504
TKM,TKM,Medium,2002,301.8269276335879,311.55180320610697,613.3787308396949
TKM,TKM,Medium,2003,304.78390717557266,314.67988946564884,619.4637966412214
TKM,TKM,Medium,2004,307.8688841221374,317.93411038167926,625.8029945038166
TKM,TKM,Medium,2005,311.1970827480917,321.4256986259542,632.6227813740459
TKM,TKM,Medium,2006,314.8062902290075,325.1959007633588,640.0021909923665
TKM,TKM,Medium,2007,318.7205892366411,329.26853335877854,647.9891225954196
TKM,TKM,Medium,2008,323.0124938931299,333.70799427480915,656.7204881679392
TKM,TKM,Medium,2009,327.7495953435116,338.5757541984732,666.3253495419848
TKM,TKM,Medium,2010,332.96808412213744,343.9028145801527,676.87089870229
TKM,TKM,Medium,2011,338.704416870229,349.7241684732825,688.4285853435114
TKM,TKM,Medium,2012,344.9138876335877,355.9991015267176,700.9129891603052
TKM,TKM,Medium,2013,351.4339051145039,362.58085580152675,714.0147609160306
TKM,TKM,Medium,2014,358.0450641984733,369.2681214503816,727.3131856488548
TKM,TKM,Medium,2015,364.5757259541985,375.9042945801526,740.4800205343512
TKM,TKM,Medium,2016,370.96455274809165,382.43335969465664,753.3979124427483
TKM,TKM,Medium,2017,377.21766503816787,388.8597075572519,766.0773725954199
TKM,TKM,Medium,2018,383.31909641221387,395.1635132061068,778.4826096183206
TKM,TKM,Medium,2019,389.2728384732826,401.34318,790.6160184732826
TKM,TKM,Medium,2020,395.0768954198475,407.3932527480917,802.4701481679393
TKM,TKM,Medium,2021,400.71530083969486,413.29670061068697,814.0120014503818
TKM,TKM,Medium,2022,406.1626415267176,419.0277112213741,825.1903527480915
TKM,TKM,Medium,2023,411.4154580916031,424.58508709923666,836.0005451908398
TKM,TKM,Medium,2024,416.47814129771007,429.97042488549613,846.4485661832063
TKM,TKM,Medium,2025,421.3570777099237,435.18691786259546,856.5439955725191
TKM,TKM,Medium,2026,426.0502715267177,440.23310244274813,866.283373969466
TKM,TKM,Medium,2027,430.562778778626,445.1143007633589,875.6770795419849
TKM,TKM,Medium,2028,434.927330610687,449.85645824427485,884.7837888549619
TKM,TKM,Medium,2029,439.1806497709924,454.4958984732826,893.676548244275
TKM,TKM,Medium,2030,443.35546740458034,459.060828778626,902.4162961832063
TKM,TKM,Medium,2031,447.46136335877856,463.560163740458,911.0215270992367
TKM,TKM,Medium,2032,451.5037928244275,467.99829412213745,919.5020869465648
TKM,TKM,Medium,2033,455.50138328244276,472.3919846564886,927.8933679389313
TKM,TKM,Medium,2034,459.4736935877863,476.75906450381683,936.232758091603
TKM,TKM,Medium,2035,463.43615793893116,481.110976259542,944.5471341984731
TKM,TKM,Medium,2036,467.3929009923666,485.45370732824426,952.8466083206109
TKM,TKM,Medium,2037,471.3441888549618,489.7863263358779,961.1305151908397
TKM,TKM,Medium,2038,475.28323580152676,494.1020475572519,969.3852833587785
TKM,TKM,Medium,2039,479.201659465649,498.3907589312979,977.5924183969469
TKM,TKM,Medium,2040,483.0884164122139,502.6410178625953,985.7294342748093
TKM,TKM,Medium,2041,486.93898282442746,506.85042938931315,993.7894122137405
TKM,TKM,Medium,2042,490.74896793893134,511.01087725190825,1001.7598451908395
TKM,TKM,Medium,2043,494.4932246564884,515.1028025954199,1009.5960272519083
TKM,TKM,Medium,2044,498.1420820610689,519.0999938931297,1017.2420759541988
TKM,TKM,Medium,2045,501.6769126717556,522.9819609160305,1024.658873587786
TKM,TKM,Medium,2046,505.08587473282444,526.7381924427482,1031.8240671755725
TKM,TKM,Medium,2047,508.362182519084,530.3645638167939,1038.7267463358778
TKM,TKM,Medium,2048,511.4989172519084,533.8514951908395,1045.350412442748
TKM,TKM,Medium,2049,514.4818422137405,537.191402519084,1051.6732447328245
TKM,TKM,Medium,2050,517.3037725190842,540.3747059541986,1057.678478473283
TKM,TKM,Medium,2051,519.9601843511451,543.4002080152671,1063.3603923664123
TKM,TKM,Medium,2052,522.452674351145,546.2656467938932,1068.7183211450383
TKM,TKM,Medium,2053,524.7840366412214,548.9735503053437,1073.7575869465652
TKM,TKM,Medium,2054,526.9611899999999,551.5323009160306,1078.4934909160304
TKM,TKM,Medium,2055,528.9943795419848,553.9465554961832,1082.940935038168
TKM,TKM,Medium,2056,530.885201908397,556.2177776335878,1087.1029795419847
TKM,TKM,Medium,2057,532.639910610687,558.3496928244277,1090.9896034351148
TKM,TKM,Medium,2058,534.2698151908395,560.3561386259541,1094.6259538167938
TKM,TKM,Medium,2059,535.793543129771,562.248557633588,1098.042100763359
TKM,TKM,Medium,2060,537.2255972519085,564.0410535114502,1101.2666507633587
TKM,TKM,Medium,2061,538.5726302290076,565.739480610687,1104.312110839695
TKM,TKM,Medium,2062,539.8382345038168,567.3470322137404,1107.1852667175574
TKM,TKM,Medium,2063,541.0329212977099,568.8724898473281,1109.9054111450382
TKM,TKM,Medium,2064,542.1658712977098,570.3221070229006,1112.4879783206104
TKM,TKM,Medium,2065,543.2430719083972,571.7033347328245,1114.9464066412215
TKM,TKM,Medium,2066,544.2706435877863,573.0198984732826,1117.2905420610687
TKM,TKM,Medium,2067,545.2513804580151,574.2735279389314,1119.5249083969463
TKM,TKM,Medium,2068,546.1868791603051,575.4655536641224,1121.6524328244275
TKM,TKM,Medium,2069,547.0768735877863,576.596907022901,1123.673780610687
TKM,TKM,Medium,2070,547.9237587022901,577.6654591603052,1125.5892178625954
TKM,TKM,Medium,2071,548.7272683969466,578.6733389312977,1127.4006073282444
TKM,TKM,Medium,2072,549.4875357251908,579.6206793893127,1129.1082151145038
TKM,TKM,Medium,2073,550.1985732824428,580.5028236641219,1130.7013969465647
TKM,TKM,Medium,2074,550.852797022901,581.3163123664123,1132.1691093893132
TKM,TKM,Medium,2075,551.4440864885496,582.0523639694657,1133.4964504580153
TKM,TKM,Medium,2076,551.9712441984732,582.7149700763358,1134.6862142748091
TKM,TKM,Medium,2077,552.4332057251904,583.3030662595422,1135.7362719847326
TKM,TKM,Medium,2078,552.8270438931296,583.8158541984732,1136.6428980916028
TKM,TKM,Medium,2079,553.1511620610688,584.2551966412216,1137.4063587022904
TKM,TKM,Medium,2080,553.4032983206105,584.6248190839694,1138.0281174045801
TKM,TKM,Medium,2081,553.581722977099,584.9213951908395,1138.5031181679385
TKM,TKM,Medium,2082,553.6856377099236,585.1470538167938,1138.8326915267176
TKM,TKM,Medium,2083,553.7145103053433,585.3005974809163,1139.0151077862597
TKM,TKM,Medium,2084,553.6678085496185,585.383223664122,1139.0510322137404
TKM,TKM,Medium,2085,553.5453993893128,585.3953315267175,1138.9407309160304
TKM,TKM,Medium,2086,553.3484803053435,585.3362558015269,1138.6847361068703
TKM,TKM,Medium,2087,553.0773174045801,585.2066617557251,1138.2839791603053
TKM,TKM,Medium,2088,552.7333742748091,585.0048196946565,1137.7381939694656
TKM,TKM,Medium,2089,552.3173161832061,584.7258066412212,1137.0431228244274
TKM,TKM,Medium,2090,551.831271984733,584.3722836641224,1136.2035556488552
TKM,TKM,Medium,2091,551.2776366412213,583.9402591603051,1135.2178958015265
TKM,TKM,Medium,2092,550.6590712213742,583.4309306106873,1134.0900018320615
TKM,TKM,Medium,2093,549.9804987022902,582.8446971755725,1132.8251958778628
