ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
TKM,TKM,Medium,1950,593.6110000000001,617.3869999999998,1210.998
TKM,TKM,Medium,1951,603.051,628.7740000000001,1231.8250000000003
TKM,TKM,Medium,1952,615.3759999999999,643.0049999999998,1258.3809999999996
TKM,TKM,Medium,1953,630.1830000000001,659.648,1289.8310000000001
TKM,TKM,Medium,1954,647.1050000000001,678.3249999999997,1325.4299999999998
TKM,TKM,Medium,1955,665.876,698.7619999999997,1364.6379999999997
TKM,TKM,Medium,1956,686.2709999999998,720.717,1406.9879999999998
TKM,TKM,Medium,1957,708.135,744.0429999999999,1452.1779999999999
TKM,TKM,Medium,1958,731.3669999999998,768.646,1500.013
TKM,TKM,Medium,1959,755.9329999999999,794.4830000000001,1550.416
TKM,TKM,Medium,1960,781.754,821.4999999999999,1603.254
TKM,TKM,Medium,1961,808.7420000000003,849.6219999999998,1658.364
TKM,TKM,Medium,1962,836.7349999999999,878.6730000000002,1715.4080000000001
TKM,TKM,Medium,1963,865.4719999999999,908.3819999999998,1773.8539999999998
TKM,TKM,Medium,1964,894.6340000000001,938.4310000000003,1833.0650000000005
TKM,TKM,Medium,1965,924.003,968.5930000000001,1892.596
TKM,TKM,Medium,1966,953.42,998.724,1952.144
TKM,TKM,Medium,1967,982.9100000000001,1028.852,2011.7620000000002
TKM,TKM,Medium,1968,1012.6280000000003,1059.1649999999997,2071.793
TKM,TKM,Medium,1969,1042.8289999999997,1089.9710000000005,2132.8
TKM,TKM,Medium,1970,1073.705,1121.4600000000003,2195.165
TKM,TKM,Medium,1971,1105.2809999999997,1153.6839999999997,2258.9649999999992
TKM,TKM,Medium,1972,1137.4710000000002,1186.5480000000002,2324.0190000000002
TKM,TKM,Medium,1973,1170.1789999999999,1220.033,2390.2119999999995
TKM,TKM,Medium,1974,1203.2940000000006,1254.0850000000003,2457.379000000001
TKM,TKM,Medium,1975,1236.7180000000003,1288.656,2525.3740000000003
TKM,TKM,Medium,1976,1270.5030000000006,1323.8120000000001,2594.3150000000005
TKM,TKM,Medium,1977,1304.703,1359.5590000000002,2664.262
TKM,TKM,Medium,1978,1339.191,1395.7080000000003,2734.8990000000003
TKM,TKM,Medium,1979,1373.7949999999994,1432.0220000000004,2805.817
TKM,TKM,Medium,1980,1408.4620000000002,1468.3469999999998,2876.809
TKM,TKM,Medium,1981,1443.1290000000001,1504.6539999999995,2947.7829999999994
TKM,TKM,Medium,1982,1477.9689999999998,1541.0949999999998,3019.0639999999994
TKM,TKM,Medium,1983,1513.4959999999999,1578.0139999999994,3091.5099999999993
TKM,TKM,Medium,1984,1550.3499999999997,1615.8650000000002,3166.215
TKM,TKM,Medium,1985,1589.0049999999999,1655.019,3244.024
TKM,TKM,Medium,1986,1629.2719999999997,1695.19,3324.4619999999995
TKM,TKM,Medium,1987,1670.9950000000001,1736.315,3407.3100000000004
TKM,TKM,Medium,1988,1714.7270000000003,1779.1649999999997,3493.892
TKM,TKM,Medium,1989,1761.1330000000003,1824.7339999999997,3585.867
TKM,TKM,Medium,1990,1810.4730000000002,1873.5049999999997,3683.978
TKM,TKM,Medium,1991,1863.1879999999999,1925.9999999999998,3789.1879999999996
TKM,TKM,Medium,1992,1918.4819999999995,1981.3609999999996,3899.842999999999
TKM,TKM,Medium,1993,1973.7739999999997,2037.0149999999999,4010.7889999999998
TKM,TKM,Medium,1994,2025.6509999999996,2089.4539999999997,4115.105
TKM,TKM,Medium,1995,2071.6459999999997,2136.1950000000006,4207.841
TKM,TKM,Medium,1996,2110.9370000000004,2176.4,4287.337
TKM,TKM,Medium,1997,2144.277,2210.8480000000004,4355.125
TKM,TKM,Medium,1998,2172.829,2240.648,4413.477000000001
TKM,TKM,Medium,1999,2198.5,2267.633,4466.133
TKM,TKM,Medium,2000,2222.8320000000003,2293.296,4516.128000000001
TKM,TKM,Medium,2001,2246.1520000000005,2317.9349999999995,4564.0869999999995
TKM,TKM,Medium,2002,2268.464000000001,2341.5540000000005,4610.018000000002
TKM,TKM,Medium,2003,2290.6880000000006,2365.064,4655.752
TKM,TKM,Medium,2004,2313.874,2389.521999999999,4703.395999999999
TKM,TKM,Medium,2005,2338.8880000000004,2415.764,4754.652
TKM,TKM,Medium,2006,2366.013999999999,2444.1,4810.114
TKM,TKM,Medium,2007,2395.432999999999,2474.7089999999994,4870.141999999998
TKM,TKM,Medium,2008,2427.690000000001,2508.075,4935.765000000001
TKM,TKM,Medium,2009,2463.2930000000006,2544.6599999999994,5007.9529999999995
TKM,TKM,Medium,2010,2502.514,2584.697,5087.211
TKM,TKM,Medium,2011,2545.627,2628.4489999999996,5174.075999999999
