ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,169.9174830651851,185.53298574940126,355.4504688145863
UZB,UZB,Medium,1951,175.50635653578286,191.63341035448147,367.1397668902643
UZB,UZB,Medium,1952,180.88947466377033,197.47632868687384,378.3658033506441
UZB,UZB,Medium,1953,186.2626057701638,203.27441891097547,389.5370246811392
UZB,UZB,Medium,1954,191.7848045227343,209.19723341611896,400.9820379388533
UZB,UZB,Medium,1955,197.57756076939376,215.3708016054862,412.9483623748799
UZB,UZB,Medium,1956,203.7241753493457,221.8765517517321,425.6007271010778
UZB,UZB,Medium,1957,210.27106521522543,228.7527296080057,439.0237948232312
UZB,UZB,Medium,1958,217.23218949948804,235.99995936315682,453.23214886264486
UZB,UZB,Medium,1959,224.59341883635574,243.58901763013523,468.182436466491
UZB,UZB,Medium,1960,232.3348926715226,251.48517681112554,483.82006948264814
UZB,UZB,Medium,1961,240.44912073879317,259.67476149587725,500.1238822346704
UZB,UZB,Medium,1962,248.95948174780753,268.1883001935807,517.1477819413884
UZB,UZB,Medium,1963,257.92833783908696,277.1096611878482,535.0379990269353
UZB,UZB,Medium,1964,267.43581216314584,286.5498933494709,553.9857055126166
UZB,UZB,Medium,1965,277.51402207351884,296.56210947510715,574.0761315486261
UZB,UZB,Medium,1966,288.2258971551362,307.2185452379901,595.4444423931265
UZB,UZB,Medium,1967,299.488930990966,318.4296011659791,617.9185321569452
UZB,UZB,Medium,1968,311.01599671018425,329.8935103225042,640.9095070326883
UZB,UZB,Medium,1969,322.418621870565,341.19870527790374,663.6173271484688
UZB,UZB,Medium,1970,333.42823503345005,352.06225824997796,685.4904932834279
UZB,UZB,Medium,1971,343.91596957361344,362.3505360804681,706.2665056540815
UZB,UZB,Medium,1972,353.9844194401562,372.17316902914297,726.1575884692993
UZB,UZB,Medium,1973,363.88064992864525,381.7865284798733,745.6671784085187
UZB,UZB,Medium,1974,373.9738971158501,391.57182358645326,765.5457207023032
UZB,UZB,Medium,1975,384.530122196149,401.80420814268183,786.3343303388308
