ISO code,Country,Fertility,Year,Age,Male population,Female population,Total population
UZB,UZB,Medium,1950,0-4,20.155909120778432,19.14302085117104,39.29892997194947
UZB,UZB,Medium,1950,5-9,16.496573617672453,14.772393781704906,31.26896739937736
UZB,UZB,Medium,1950,10-14,19.00507511540546,20.37040310728353,39.37547822268899
UZB,UZB,Medium,1950,15-19,18.230626986352142,19.64118029760708,37.87180728395923
UZB,UZB,Medium,1950,20-24,19.53353609326841,18.889770411548753,38.423306504817155
UZB,UZB,Medium,1950,25-29,10.630617042285085,13.954479410941826,24.58509645322691
UZB,UZB,Medium,1950,30-34,6.574694641908175,9.318628824828915,15.893323466737092
UZB,UZB,Medium,1950,35-39,7.8323784294475765,10.127691062815598,17.96006949226318
UZB,UZB,Medium,1950,40-44,8.414519648377675,9.96114612884934,18.375665777227013
UZB,UZB,Medium,1950,45-49,9.575397419785412,13.47447818558558,23.049875605370993
UZB,UZB,Medium,1950,50-54,9.57108484227896,11.590052048588829,21.16113689086779
UZB,UZB,Medium,1950,55-59,7.1526367722135715,7.593200611162133,14.745837383375706
UZB,UZB,Medium,1950,60-64,6.339715912247433,6.073981695632788,12.413697607880222
UZB,UZB,Medium,1950,65-69,4.783442876827128,4.4458701980655375,9.22931307489267
UZB,UZB,Medium,1950,70-74,2.9557044362638676,3.072200773378937,6.027905209642804
UZB,UZB,Medium,1950,75-79,1.630381275202224,1.8485636503641532,3.478944925566377
UZB,UZB,Medium,1950,80-84,0.6433117261926636,0.75158011938095,1.3948918455736137
UZB,UZB,Medium,1950,85-89,0.2852543042754274,0.34409828946214277,0.6293525937375701
UZB,UZB,Medium,1950,90-94,0.08755667226914353,0.12500800324622371,0.21256467551536723
UZB,UZB,Medium,1950,95-99,0.017193565584932267,0.030528509190407782,0.04772207477534005
UZB,UZB,Medium,1950,100+,0.0018725665488540093,0.004709788592572205,0.006582355141426213
UZB,UZB,Medium,1951,0-4,22.791801888274385,22.29443686401059,45.08623875228497
UZB,UZB,Medium,1951,5-9,16.589804734029034,14.519994508695737,31.109799242724772
UZB,UZB,Medium,1951,10-14,18.834274348373622,19.68600840589783,38.520282754271456
UZB,UZB,Medium,1951,15-19,18.349166123338687,20.03935603922249,38.38852216256119
UZB,UZB,Medium,1951,20-24,20.14404953263569,19.45783900914201,39.6018885417777
UZB,UZB,Medium,1951,25-29,12.43213955116439,15.174598378622399,27.60673792978679
UZB,UZB,Medium,1951,30-34,6.907046832109325,9.891577444337369,16.798624276446695
UZB,UZB,Medium,1951,35-39,7.546840402967779,10.018968714100316,17.565809117068092
UZB,UZB,Medium,1951,40-44,8.264714324469356,9.735757209696366,18.000471534165722
UZB,UZB,Medium,1951,45-49,9.332928423929255,13.056782356309387,22.38971078023864
UZB,UZB,Medium,1951,50-54,9.680771846489106,12.23591727462084,21.916689121109947
UZB,UZB,Medium,1951,55-59,7.425917999464509,8.174093452392997,15.600011451857506
UZB,UZB,Medium,1951,60-64,6.33563031250448,6.222141430755752,12.557771743260233
UZB,UZB,Medium,1951,65-69,4.932170056358837,4.632218941896949,9.564388998255788
UZB,UZB,Medium,1951,70-74,3.09915438279426,3.1851222107189208,6.284276593513181
