ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,331.3711248176906,361.8242988861723,693.1954237038628
UZB,UZB,Medium,1951,342.27048169967344,373.7212769180058,715.9917586176792
UZB,UZB,Medium,1952,352.7685768745731,385.11606917302055,737.8846460475935
UZB,UZB,Medium,1953,363.24719547461126,396.4234381658742,759.6706336404853
UZB,UZB,Medium,1954,374.01652408692445,407.9740430197785,781.990567106703
UZB,UZB,Medium,1955,385.31349081820457,420.0136648299988,805.3271556482032
UZB,UZB,Medium,1956,397.30054800877105,432.70110407906844,830.0016520878395
UZB,UZB,Medium,1957,410.0682174667859,446.11094719571673,856.1791646625027
UZB,UZB,Medium,1958,423.6437221321117,460.24441146587293,883.8881335979846
UZB,UZB,Medium,1959,437.99950707781414,475.0445057755967,913.0440128534109
UZB,UZB,Medium,1960,453.09684047888527,490.443504762302,943.5403452411872
UZB,UZB,Medium,1961,468.9211149041792,506.4147387979122,975.3358537020914
UZB,UZB,Medium,1962,485.51792324484796,523.0177442305824,1008.5356674754307
UZB,UZB,Medium,1963,503.00888343141753,540.416080024204,1043.4249634556215
UZB,UZB,Medium,1964,521.5502507122056,558.8263124117505,1080.376563123956
UZB,UZB,Medium,1965,541.2046599813681,578.3520213595291,1119.5566813408973
UZB,UZB,Medium,1966,562.0948357930024,599.1340800482121,1161.2289158412148
UZB,UZB,Medium,1967,584.0598750797888,620.9977526158347,1205.0576276956235
UZB,UZB,Medium,1968,606.5398263144679,643.3545366469883,1249.894362961456
UZB,UZB,Medium,1969,628.7770949998823,665.401798065149,1294.1788930650314
UZB,UZB,Medium,1970,650.247916199566,686.5877743574872,1336.835690557053
UZB,UZB,Medium,1971,670.7009757003947,706.6518556728781,1377.3528313732727
UZB,UZB,Medium,1972,690.3363510441247,725.8078416853652,1416.1441927294902
UZB,UZB,Medium,1973,709.6358661338562,744.5557049246247,1454.1915710584815
UZB,UZB,Medium,1974,729.3196009276677,763.6388751060975,1492.958476033765
UZB,UZB,Medium,1975,749.9062298935961,783.5939539996793,1533.5001838932753
UZB,UZB,Medium,1976,771.5486884092437,804.5893697129784,1576.1380581222222
UZB,UZB,Medium,1977,794.0755604833613,826.4508290334576,1620.5263895168189
