ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,248.24727243834457,271.0613224064881,519.3085948448327
UZB,UZB,Medium,1951,256.41254519339515,279.9739648350836,536.3865100284787
UZB,UZB,Medium,1952,264.2772120209613,288.51039388835505,552.7876059093163
UZB,UZB,Medium,1953,272.1272879375407,296.9813296479936,569.1086175855343
UZB,UZB,Medium,1954,280.1951497811755,305.63448598915767,585.8296357703332
UZB,UZB,Medium,1955,288.65829266790075,314.65399026014904,603.3122829280497
UZB,UZB,Medium,1956,297.63841805980917,324.15880812725067,621.7972261870598
UZB,UZB,Medium,1957,307.2033405318269,334.20481614730835,641.4081566791353
UZB,UZB,Medium,1958,317.3734541981738,344.792926252259,662.1663804504328
UZB,UZB,Medium,1959,328.12811623592006,355.8804434468865,684.0085596828067
UZB,UZB,Medium,1960,339.4383106288992,367.4166311543507,706.8549417832498
UZB,UZB,Medium,1961,351.2930941938713,379.38150977494865,730.67460396882
UZB,UZB,Medium,1962,363.7266229270092,391.8196810706733,755.5463039976828
UZB,UZB,Medium,1963,376.8300071190762,404.85367553265064,781.6836826517269
UZB,UZB,Medium,1964,390.72030566957767,418.6457341427028,809.3660398122803
UZB,UZB,Medium,1965,405.44444162179985,433.2734540183491,838.7178956401491
UZB,UZB,Medium,1966,421.0943542955394,448.8423705555324,869.9367248510721
UZB,UZB,Medium,1967,437.5495028693499,465.22158006989014,902.7710829392402
UZB,UZB,Medium,1968,454.39039865236765,481.97020492149863,936.3606035738662
UZB,UZB,Medium,1969,471.04948836837673,498.48695035248545,969.5364387208622
UZB,UZB,Medium,1970,487.13439257590323,514.3584624868331,1001.4928550627361
UZB,UZB,Medium,1971,502.45683878147804,529.3895049871935,1031.8463437686714
UZB,UZB,Medium,1972,517.1667154343272,543.7402462628049,1060.9069616971321
UZB,UZB,Medium,1973,531.6249817755614,557.7852416309252,1089.410223406487
UZB,UZB,Medium,1974,546.3710869971669,572.0814327961442,1118.452519793311
UZB,UZB,Medium,1975,561.7935970070647,587.0308159367214,1148.824412943786
UZB,UZB,Medium,1976,578.00708361766,602.7595692715303,1180.7666528891905
UZB,UZB,Medium,1977,594.883130231691,619.1371207278214,1214.0202509595124
UZB,UZB,Medium,1978,612.2782319234884,636.0095196141056,1248.2877515375942
UZB,UZB,Medium,1979,629.9555350982304,653.1267307739317,1283.0822658721622
UZB,UZB,Medium,1980,647.7430162315019,670.3103471593271,1318.053363390829
UZB,UZB,Medium,1981,665.610664472296,687.5049896308661,1353.115654103162
UZB,UZB,Medium,1982,683.6225637648893,704.7878407915507,1388.41040455644
UZB,UZB,Medium,1983,701.8153571925548,722.2627779792574,1424.0781351718122
UZB,UZB,Medium,1984,720.2527141850511,740.0849954290252,1460.3377096140764
UZB,UZB,Medium,1985,738.9789877956629,758.3538108190469,1497.3327986147096
UZB,UZB,Medium,1986,757.9259489349464,777.0693070522251,1534.9952559871717
UZB,UZB,Medium,1987,777.0543016267219,796.1452651090943,1573.1995667358162
UZB,UZB,Medium,1988,796.4612909765987,815.493642106315,1611.9549330829138
UZB,UZB,Medium,1989,816.2814683966863,834.9884256308213,1651.2698940275075
UZB,UZB,Medium,1990,836.5676430364075,854.5145464527875,1691.0821894891951
UZB,UZB,Medium,1991,857.3764375787376,874.0392579253969,1731.4156955041349
UZB,UZB,Medium,1992,878.5490100608927,893.5099996079365,1772.0590096688288
UZB,UZB,Medium,1993,899.6550944145744,912.7660227708445,1812.4211171854188
UZB,UZB,Medium,1994,920.1214999661407,931.6144952609686,1851.7359952271097
UZB,UZB,Medium,1995,939.5323028495708,949.9105028032832,1889.4428056528545
UZB,UZB,Medium,1996,957.7974705118459,967.6475789713284,1925.4450494831742
UZB,UZB,Medium,1997,975.0237818924579,984.8412266080271,1959.865008500485
UZB,UZB,Medium,1998,991.2462220166132,1001.4093718390801,1992.6555938556937
UZB,UZB,Medium,1999,1006.5657666205716,1017.2641375869553,2023.8299042075273
UZB,UZB,Medium,2000,1021.1157235728922,1032.3854613490444,2053.5011849219363
UZB,UZB,Medium,2001,1034.8549730335205,1046.7170520539862,2081.572025087507
UZB,UZB,Medium,2002,1047.9112683764943,1060.4020830158356,2108.31335139233
UZB,UZB,Medium,2003,1060.7981930879598,1073.8777012438663,2134.6758943318264
UZB,UZB,Medium,2004,1074.1803797439347,1087.7295328472217,2161.909912591156
UZB,UZB,Medium,2005,1088.5512664250562,1102.3888387290374,2190.940105154094
UZB,UZB,Medium,2006,1104.1137165357793,1118.0212588901738,2222.1349754259527
UZB,UZB,Medium,2007,1120.7925371427818,1134.5569890860236,2255.3495262288056
UZB,UZB,Medium,2008,1138.454503280407,1151.902431938725,2290.356935219132
UZB,UZB,Medium,2009,1156.840377569934,1169.8684859257748,2326.708863495709
UZB,UZB,Medium,2010,1175.7463017720681,1188.305262597949,2364.0515643700173
UZB,UZB,Medium,2011,1195.1104303209215,1207.1674969700261,2402.2779272909474
UZB,UZB,Medium,2012,1214.9641834168594,1226.477821534617,2441.442004951476
UZB,UZB,Medium,2013,1235.2870011398531,1246.214930245565,2481.501931385418
UZB,UZB,Medium,2014,1256.071919646024,1266.3644809005937,2522.4364005466177
UZB,UZB,Medium,2015,1277.271186863052,1286.8788043302861,2564.1499911933383
UZB,UZB,Medium,2016,1298.8673102783341,1307.7452992933365,2606.612609571671
UZB,UZB,Medium,2017,1320.7167849662007,1328.8412694928115,2649.5580544590125
UZB,UZB,Medium,2018,1342.4887454394516,1349.885176668994,2692.3739221084456
