ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,289.71907038480964,316.34439957196,606.0634699567696
UZB,UZB,Medium,1951,299.2484207329356,326.7459739929891,625.9943947259246
UZB,UZB,Medium,1952,308.4269464012675,336.70848542535106,645.1354318266185
UZB,UZB,Medium,1953,317.5884436240272,346.59456235770267,664.1830059817298
UZB,UZB,Medium,1954,327.00410974745444,356.69330135464014,683.6974111020946
UZB,UZB,Medium,1955,336.8810919418302,367.2195897889771,704.1006817308072
UZB,UZB,Medium,1956,347.36142292362933,378.3122675436442,725.6736904672736
UZB,UZB,Medium,1957,358.52424626374886,390.0365458249789,748.5607920887278
UZB,UZB,Medium,1958,370.3933630849767,402.39348891082966,772.7868519958064
UZB,UZB,Medium,1959,382.9446820069298,415.33326924739254,798.2779512543225
UZB,UZB,Medium,1960,396.1443396435277,428.79667428529194,824.9410139288196
UZB,UZB,Medium,1961,409.9795646605915,442.7603866643984,852.73995132499
UZB,UZB,Medium,1962,424.49021910116426,457.2764592467442,881.7666783479087
UZB,UZB,Medium,1963,439.78263399753945,472.48789227412095,912.2705262716605
UZB,UZB,Medium,1964,455.99342392441866,488.58403045098464,944.5774543754031
UZB,UZB,Medium,1965,473.17735081472057,505.65543414696765,978.8327849616884
UZB,UZB,Medium,1966,491.4417132260553,523.8252693348717,1015.2669825609272
UZB,UZB,Medium,1967,510.6458329773905,542.9407637672076,1053.5865967445982
UZB,UZB,Medium,1968,530.3001422585334,562.4873874806145,1092.7875297391477
UZB,UZB,Medium,1969,549.7422732377489,581.7633943629721,1131.505667600721
UZB,UZB,Medium,1970,568.5142961826966,600.2863762914301,1168.8006724741265
UZB,UZB,Medium,1971,586.3964860939792,617.8284810539328,1204.224967147912
UZB,UZB,Medium,1972,603.563771548836,634.5766345416439,1238.1404060904802
UZB,UZB,Medium,1973,620.4374130701087,650.9679646925981,1271.405377762707
UZB,UZB,Medium,1974,637.6469793813003,667.6524550144786,1305.2994343957787
UZB,UZB,Medium,1975,655.6459495982954,685.099258533297,1340.745208131592
UZB,UZB,Medium,1976,674.5680357198454,703.455632602239,1378.0236683220844
UZB,UZB,Medium,1977,694.2633680744117,722.5691919839417,1416.8325600583532
UZB,UZB,Medium,1978,714.564468029693,742.2602672271149,1456.824735256808
UZB,UZB,Medium,1979,735.1949136027401,762.2370526962765,1497.4319662990167
UZB,UZB,Medium,1980,755.9539432903621,782.2913369432963,1538.2452802336584
UZB,UZB,Medium,1981,776.8065326760976,802.3584892770272,1579.1650219531246
UZB,UZB,Medium,1982,797.8274714669195,822.5285863044423,1620.356057771362
UZB,UZB,Medium,1983,819.0595242818209,842.9228589477108,1661.9823832295315
UZB,UZB,Medium,1984,840.5769970651144,863.7224279460974,1704.299425011212
UZB,UZB,Medium,1985,862.4316524212392,885.0432028325297,1747.4748552537687
UZB,UZB,Medium,1986,884.5438630166393,906.8852803595385,1791.429143376178
UZB,UZB,Medium,1987,906.8677681513084,929.1480378941994,1836.0158060455078
UZB,UZB,Medium,1988,929.5168585448821,951.7287242478907,1881.245582792773
UZB,UZB,Medium,1989,952.6481635562432,974.4802755724912,1927.1284391287343
UZB,UZB,Medium,1990,976.3233145480577,997.2683993540587,1973.5917139021165
UZB,UZB,Medium,1991,1000.6083934994475,1020.0548783425879,2020.6632718420358
UZB,UZB,Medium,1992,1025.3180225597566,1042.7783714330071,2068.0963939927633
UZB,UZB,Medium,1993,1049.9500560896747,1065.2512754664308,2115.2013315561053
UZB,UZB,Medium,1994,1073.8355470853148,1087.2485440542202,2161.0840911395358
UZB,UZB,Medium,1995,1096.4890880953449,1108.6010537710363,2205.0901418663816
UZB,UZB,Medium,1996,1117.8056058703842,1129.3012579194096,2247.1068637897943
UZB,UZB,Medium,1997,1137.9097176712087,1149.3672492227604,2287.276966893969
UZB,UZB,Medium,1998,1156.8422530661778,1168.7032426747462,2325.5454957409247
UZB,UZB,Medium,1999,1174.7210566388526,1187.20668059181,2361.9277372306633
UZB,UZB,Medium,2000,1191.7017064601403,1204.8541488612882,2396.555855321428
UZB,UZB,Medium,2001,1207.7362132743365,1221.5799525141865,2429.3161657885234
UZB,UZB,Medium,2002,1222.9736727327293,1237.5511831726787,2460.524855905408
UZB,UZB,Medium,2003,1238.0134667689442,1253.278016936201,2491.2914837051453
UZB,UZB,Medium,2004,1253.6312604292873,1269.4439136883907,2523.0751741176778
UZB,UZB,Medium,2005,1270.4029247821918,1286.5521800989354,2556.9551048811277
UZB,UZB,Medium,2006,1288.5652132726264,1304.7961277260902,2593.361340998716
UZB,UZB,Medium,2007,1308.0303713543767,1324.0942909381974,2632.124662292574
UZB,UZB,Medium,2008,1328.642917709067,1344.3374361270155,2672.9803538360825
UZB,UZB,Medium,2009,1350.1003071702005,1365.3048707678297,2715.4051779380306
UZB,UZB,Medium,2010,1372.16462526243,1386.8216662834027,2758.986291545833
UZB,UZB,Medium,2011,1394.763694597136,1408.8349957914475,2803.5986903885832
