ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,167.6580505850394,183.06591028089406,350.72396086593346
UZB,UZB,Medium,1951,173.172607499041,189.0852161143991,362.25782361344005
UZB,UZB,Medium,1952,178.48414504730573,194.85043979630055,373.33458484360625
UZB,UZB,Medium,1953,183.78582837373642,200.57143145974302,384.3572598334794
UZB,UZB,Medium,1954,189.23459715901754,206.4154889163157,395.65008607533326
UZB,UZB,Medium,1955,194.95032577216236,212.5069657267746,407.4572914989369
UZB,UZB,Medium,1956,201.01520738164916,218.92620739300435,419.9414147746535
UZB,UZB,Medium,1957,207.47504172304687,225.7109511054367,433.1859928284836
UZB,UZB,Medium,1958,214.34360231096423,232.86181275293652,447.2054150639007
UZB,UZB,Medium,1959,221.6069476611021,240.3499575386603,461.95690519976245
UZB,UZB,Medium,1960,229.24548130958632,248.1411196457763,477.3866009553626
UZB,UZB,Medium,1961,237.25181259004145,256.22180550915994,493.4736180992014
UZB,UZB,Medium,1962,245.64900933994213,264.6221376932806,510.2711470332229
UZB,UZB,Medium,1963,254.4986044558538,273.4248692655844,527.9234737214382
UZB,UZB,Medium,1964,263.8796556720345,282.7395724540766,546.619228126111
UZB,UZB,Medium,1965,273.82385327006364,292.61865380214664,566.4425070722103
UZB,UZB,Medium,1966,284.3932900454745,303.1333884483999,587.5266784938746
UZB,UZB,Medium,1967,295.5065566883435,314.1953683458152,609.7019250341588
UZB,UZB,Medium,1968,306.88034432094605,325.5068392232978,632.3871835442437
UZB,UZB,Medium,1969,318.13134610990244,336.66170635947697,654.7930524693794
UZB,UZB,Medium,1970,328.9945618737363,347.38080412898984,676.3753660027261
UZB,UZB,Medium,1971,339.3428385568521,357.5322763249118,696.8751148817638
UZB,UZB,Medium,1972,349.2774058926346,367.22429542782794,716.5017013204626
UZB,UZB,Medium,1973,359.0420438916791,376.70982379140656,735.7518676830858
UZB,UZB,Medium,1974,369.0010788123559,386.3650015422396,755.3660803545954
UZB,UZB,Medium,1975,379.4169353008896,396.46132368982944,775.878258990719
UZB,UZB,Medium,1976,390.36699139463457,407.0840068570813,797.450998251716
UZB,UZB,Medium,1977,401.76451874347345,418.144866956561,819.9093857000344
UZB,UZB,Medium,1978,413.5125988360739,429.5399307499413,843.0525295860152
UZB,UZB,Medium,1979,425.4512685373253,441.10033270852347,866.5516012458488
UZB,UZB,Medium,1980,437.46434881140215,452.70558257442906,890.1699313858313
UZB,UZB,Medium,1981,449.53157131566854,464.3182790966071,913.8498504122756
UZB,UZB,Medium,1982,461.69621624033834,475.99054886896255,937.686765109301
UZB,UZB,Medium,1983,473.98303111979,487.7925472321654,961.7755783519553
UZB,UZB,Medium,1984,486.43501619475234,499.82908727299446,986.264103467747
UZB,UZB,Medium,1985,499.0821260600057,512.1672448877965,1011.2493709478023
UZB,UZB,Medium,1986,511.8782810304968,524.8070760664679,1036.6853570969647
UZB,UZB,Medium,1987,524.7969418951501,537.690351316354,1062.4872932115043
UZB,UZB,Medium,1988,537.9037848028927,550.7576093670708,1088.6613941699636
UZB,UZB,Medium,1989,551.2896813562046,563.9237455755073,1115.2134269317116
UZB,UZB,Medium,1990,564.9902971193367,577.1110459649279,1142.1013430842645
UZB,UZB,Medium,1991,579.0438731917914,590.2973945261032,1169.3412677178947
UZB,UZB,Medium,1992,593.3431329313327,603.4472936644722,1196.7904265958048
UZB,UZB,Medium,1993,607.5974887736533,616.4521789701722,1224.0496677438255
UZB,UZB,Medium,1994,621.4198265723926,629.1818179432844,1250.6016445156772
UZB,UZB,Medium,1995,634.5292450153871,641.5383402442313,1276.0675852596187
UZB,UZB,Medium,1996,646.8649390747307,653.5173786610637,1300.3823177357945
UZB,UZB,Medium,1997,658.49902373748,665.1294033044802,1323.6284270419603
UZB,UZB,Medium,1998,669.4551267400776,676.318984176665,1345.774110916743
UZB,UZB,Medium,1999,679.8014437768061,687.0267719870282,1366.8282157638346
UZB,UZB,Medium,2000,689.6280066016934,697.2392171805469,1386.8672237822402
UZB,UZB,Medium,2001,698.907044225934,706.9183026173063,1405.8253468432406
UZB,UZB,Medium,2002,707.7248370804725,716.160722849051,1423.8855599295234
UZB,UZB,Medium,2003,716.4282425758827,725.2617126015203,1441.6899551774031
UZB,UZB,Medium,2004,725.4661317146773,734.6167845055936,1460.0829162202706
UZB,UZB,Medium,2005,735.1717563625119,744.517198004338,1479.68895436685
UZB,UZB,Medium,2006,745.682123796816,755.0748209115275,1500.7569447083433
UZB,UZB,Medium,2007,756.946451181207,766.2425097340699,1523.188960915277
UZB,UZB,Medium,2008,768.8747627515532,777.9570518784973,1546.8318146300508
UZB,UZB,Medium,2009,781.2919781006133,790.0907343902455,1571.382712490859
UZB,UZB,Medium,2010,794.0604180721967,802.5423275359311,1596.6027456081279
UZB,UZB,Medium,2011,807.1383142033021,815.2812608319093,1622.4195750352112
UZB,UZB,Medium,2012,820.5468866648115,828.3228195200024,1648.8697061848138
UZB,UZB,Medium,2013,834.2722499623216,841.6526141967371,1675.9248641590586
UZB,UZB,Medium,2014,848.309700944503,855.2609586099697,1703.5706595544727
UZB,UZB,Medium,2015,862.6269894308085,869.1156585690497,1731.7426479998583
UZB,UZB,Medium,2016,877.2123015530168,883.2082036096663,1760.420505162683
UZB,UZB,Medium,2017,891.968718799795,897.4557286845793,1789.4244474843745
UZB,UZB,Medium,2018,906.672785493081,911.6680921043126,1818.3408775973937
UZB,UZB,Medium,2019,921.0402969168009,925.6025216764124,1846.6428185932134
UZB,UZB,Medium,2020,934.8587154227656,939.0782820140619,1873.9369974368274
UZB,UZB,Medium,2021,948.0405847921985,952.0193948273251,1900.0599796195233
UZB,UZB,Medium,2022,960.6062293576317,964.4427130751346,1925.0489424327666
UZB,UZB,Medium,2023,972.5962977841301,976.3770155644373,1948.9733133485674
UZB,UZB,Medium,2024,984.0963426339797,987.8935774338377,1971.9899200678167
UZB,UZB,Medium,2025,995.1809424496956,999.0499003073328,1994.230842757028
UZB,UZB,Medium,2026,1005.8455060597416,1009.8397693063806,2015.6852753661221
UZB,UZB,Medium,2027,1016.0830907169168,1020.2569695524371,2036.3400602693544
UZB,UZB,Medium,2028,1025.9693947616715,1030.3692488206104,2056.3386435822817
UZB,UZB,Medium,2029,1035.6003848770943,1040.262047693392,2075.862432570487
UZB,UZB,Medium,2030,1045.0532711308476,1050.0018821681617,2095.0551532990094
UZB,UZB,Medium,2031,1054.353584915867,1059.611316173322,2113.9649010891885
UZB,UZB,Medium,2032,1063.5060293834802,1069.0898457998026,2132.5958751832823
UZB,UZB,Medium,2033,1072.5365278558993,1078.4547719257102,2150.991299781609
UZB,UZB,Medium,2034,1081.4643408576171,1087.7203159848264,2169.184656842443
UZB,UZB,Medium,2035,1090.3016741861336,1096.8905092497205,2187.1921834358545
UZB,UZB,Medium,2036,1099.0589979521458,1105.9733022857351,2205.032300237881
UZB,UZB,Medium,2037,1107.7278016913438,1114.9579450326887,2222.685746724032
UZB,UZB,Medium,2038,1116.2705721728812,1123.8061963910775,2240.076768563958
UZB,UZB,Medium,2039,1124.6343989442994,1132.463858140815,2257.0982570851143
UZB,UZB,Medium,2040,1132.7736502397183,1140.8854104958168,2273.659060735535
UZB,UZB,Medium,2041,1140.6760642717431,1149.0575838505442,2289.733648122287
UZB,UZB,Medium,2042,1148.3306110307078,1156.9698521044033,2305.300463135111
UZB,UZB,Medium,2043,1155.6942342859845,1164.5864377133485,2320.2806719993328
UZB,UZB,Medium,2044,1162.7154233325339,1171.866412062831,2334.5818353953646
UZB,UZB,Medium,2045,1169.3573928081685,1178.7780288813751,2348.1354216895434
UZB,UZB,Medium,2046,1175.6025058954012,1185.3066188160226,2360.9091247114234
UZB,UZB,Medium,2047,1181.4500907154716,1191.4521258768782,2372.90221659235
UZB,UZB,Medium,2048,1186.9042905207405,1197.2187493061992,2384.12303982694
UZB,UZB,Medium,2049,1191.9765832400492,1202.6191988105563,2394.595782050606
UZB,UZB,Medium,2050,1196.6791186809994,1207.6664080561059,2404.345526737105
UZB,UZB,Medium,2051,1201.0117848637979,1212.3594252146027,2413.3712100784005
UZB,UZB,Medium,2052,1204.9797888488456,1216.7042412050034,2421.6840300538497
UZB,UZB,Medium,2053,1208.6100617764948,1220.7266113798275,2429.336673156322
UZB,UZB,Medium,2054,1211.9379332716164,1224.4616973942555,2436.399630665872
UZB,UZB,Medium,2055,1214.9916222421887,1227.9357025199824,2442.9273247621704
UZB,UZB,Medium,2056,1217.7850701725126,1231.1611684938866,2448.9462386664
UZB,UZB,Medium,2057,1220.3239320421605,1234.1411747602926,2454.4651068024527
UZB,UZB,Medium,2058,1222.6204136486324,1236.8840078239232,2459.5044214725554
UZB,UZB,Medium,2059,1224.6862728702542,1239.3953226643541,2464.081595534608
UZB,UZB,Medium,2060,1226.530356110716,1241.681334160128,2468.2116902708444
UZB,UZB,Medium,2061,1228.1635813998912,1243.7487051089624,2471.9122865088534
UZB,UZB,Medium,2062,1229.5932274243614,1245.6014107935289,2475.19463821789
UZB,UZB,Medium,2063,1230.8200780426816,1247.2346360827037,2478.0547141253855
UZB,UZB,Medium,2064,1231.8425655377414,1248.6403744212478,2480.482939958989
UZB,UZB,Medium,2065,1232.6615297579945,1249.812858849791,2482.4743886077863
UZB,UZB,Medium,2066,1233.2822897436338,1250.755840691419,2484.038130435052
UZB,UZB,Medium,2067,1233.7116762620662,1251.4731272591125,2485.184803521178
UZB,UZB,Medium,2068,1233.9508651011258,1251.961807078239,2485.912672179365
UZB,UZB,Medium,2069,1234.0019278869918,1252.216001209636,2486.2179290966283
UZB,UZB,Medium,2070,1233.8677201044015,1252.2355416836135,2486.1032617880155
UZB,UZB,Medium,2071,1233.552664955201,1252.023116015217,2485.575780970418
UZB,UZB,Medium,2072,1233.064880974423,1251.5882984767964,2484.653179451219
UZB,UZB,Medium,2073,1232.4134385253467,1250.9421190780179,2483.3555576033646
UZB,UZB,Medium,2074,1231.6083597994966,1250.0998070708063,2481.7081668703026
