ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,342.43919102745247,373.90952598185265,716.3487170093051
UZB,UZB,Medium,1951,353.702595331129,386.2038727965723,739.9064681277013
UZB,UZB,Medium,1952,364.55133545898315,397.97926041937706,762.53059587836
UZB,UZB,Medium,1953,375.3799484784683,409.6643047716633,785.0442532501315
UZB,UZB,Medium,1954,386.50898146207015,421.6007092614175,808.1096907234877
UZB,UZB,Medium,1955,398.1832761087505,434.0424642732235,832.2257403819739
UZB,UZB,Medium,1956,410.57071079967517,447.1536743554287,857.7243851551037
UZB,UZB,Medium,1957,423.76483084533066,461.0114171843987,884.7762480297295
UZB,UZB,Medium,1958,437.79376845400486,475.61695070440715,913.410719158412
UZB,UZB,Medium,1959,452.62904834169893,490.9113802517617,943.5404285934608
UZB,UZB,Medium,1960,468.23064500881605,506.8247183814526,975.0553633902687
UZB,UZB,Medium,1961,484.58346312407986,523.3294046780436,1007.9128678021235
UZB,UZB,Medium,1962,501.73461841844386,540.4869640523433,1042.2215824707873
UZB,UZB,Medium,1963,519.8097909606427,558.4664184712205,1078.2762094318632
UZB,UZB,Medium,1964,538.9704550519062,577.4915676567064,1116.4620227086125
UZB,UZB,Medium,1965,559.281337643011,597.6694512305796,1156.950788873591
UZB,UZB,Medium,1966,580.8692623883943,619.1456476528026,1200.0149100411973
UZB,UZB,Medium,1967,603.5679519268733,641.7395847409084,1245.3075366677817
UZB,UZB,Medium,1968,626.7987518928489,664.8431036181664,1291.6418555110151
UZB,UZB,Medium,1969,649.7787635142082,687.6267615743609,1337.405525088569
UZB,UZB,Medium,1970,671.9667276778324,709.5203667780928,1381.487094455925
UZB,UZB,Medium,1971,693.102936070623,730.2546047963617,1423.3575408669847
UZB,UZB,Medium,1972,713.3941489876404,750.0504163869409,1463.4445653745813
UZB,UZB,Medium,1973,733.3382836438684,769.4244735703403,1502.7627572142092
UZB,UZB,Medium,1974,753.6794712560966,789.1450372216783,1542.8245084777748
UZB,UZB,Medium,1975,774.9537104432113,809.7666320482242,1584.7203424914355
UZB,UZB,Medium,1976,797.3190447493341,831.4633117939403,1628.7823565432745
UZB,UZB,Medium,1977,820.5983327491072,854.0549617106406,1674.6532944597477
UZB,UZB,Medium,1978,844.5936197573816,877.3292179333213,1721.922837690703
UZB,UZB,Medium,1979,868.9781833388771,900.941175014029,1769.919358352906
UZB,UZB,Medium,1980,893.5147294602706,924.6447333095277,1818.1594627697984
UZB,UZB,Medium,1981,918.161860319121,948.3635012948738,1866.5253616139946
UZB,UZB,Medium,1982,943.0079750902531,972.2039467989936,1915.2119218892467
UZB,UZB,Medium,1983,968.1036202617288,996.3093611104441,1964.4129813721727
UZB,UZB,Medium,1984,993.5366232155191,1020.8938234727831,2014.4304466883025
UZB,UZB,Medium,1985,1019.368165786724,1046.0943354532023,2065.4625012399265
UZB,UZB,Medium,1986,1045.5041308720051,1071.911011410271,2117.4151422822765
UZB,UZB,Medium,1987,1071.890312509051,1098.2249184309023,2170.1152309399536
UZB,UZB,Medium,1988,1098.6608533007961,1124.9146077134621,2223.5754610142585
UZB,UZB,Medium,1989,1126.0013572068003,1151.8062542311304,2277.8076114379305
UZB,UZB,Medium,1990,1153.9846706363287,1178.7411282883634,2332.7257989246923
UZB,UZB,Medium,1991,1182.6889004928794,1205.6740582499015,2388.3629587427813
UZB,UZB,Medium,1992,1211.8949357558045,1232.5325407821892,2444.4274765379932
UZB,UZB,Medium,1993,1241.0092554453672,1259.0948346174612,2500.104090062828
UZB,UZB,Medium,1994,1269.2411844066767,1285.0949417212535,2554.3361261279306
UZB,UZB,Medium,1995,1296.0169856926543,1310.332963312723,2606.349949005378
UZB,UZB,Medium,1996,1321.2124658959815,1334.7999794233883,2656.01244531937
UZB,UZB,Medium,1997,1344.9749188551732,1358.5173751058908,2703.4922939610638
UZB,UZB,Medium,1998,1367.3526038868858,1381.3719353756567,2748.7245392625427
UZB,UZB,Medium,1999,1388.484809729717,1403.2424401481937,2791.727249877911
UZB,UZB,Medium,2000,1408.5554249646714,1424.1012146494927,2832.656639614164
UZB,UZB,Medium,2001,1427.5077277408898,1443.8706094103384,2871.378337151229
UZB,UZB,Medium,2002,1445.5179446151715,1462.7481216815972,2908.2660662967687
UZB,UZB,Medium,2003,1463.2945269303789,1481.3367642043372,2944.6312911347163
UZB,UZB,Medium,2004,1481.7542873444174,1500.4443659189928,2982.1986532634096
UZB,UZB,Medium,2005,1501.5778880675741,1520.665820108141,3022.2437081757153
UZB,UZB,Medium,2006,1523.0451645213152,1542.229615195196,3065.2747797165107
UZB,UZB,Medium,2007,1546.0523934824005,1565.0394612639834,3111.0918547463843
UZB,UZB,Medium,2008,1570.4158007283947,1588.9662474886627,3159.3820482170577
UZB,UZB,Medium,2009,1595.7777870100435,1613.7491219704311,3209.526908980475
UZB,UZB,Medium,2010,1621.857144603038,1639.181324414231,3261.0384690172696
UZB,UZB,Medium,2011,1648.56856201395,1665.2004150406892,3313.768977054639
UZB,UZB,Medium,2012,1675.9553811409164,1691.8376137394923,3367.7929948804085
