ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,227.1238794258423,247.99667888617344,475.1205583120157
UZB,UZB,Medium,1951,234.59436804987263,256.15094340007954,490.74531144995217
UZB,UZB,Medium,1952,241.7898293442649,263.9610065841736,505.75083592843845
UZB,UZB,Medium,1953,248.9719412702024,271.71114930759086,520.6830905777932
UZB,UZB,Medium,1954,256.3533076900617,279.62800743932166,535.9813151293833
UZB,UZB,Medium,1955,264.0963206371452,287.88004090742066,551.9763615445659
UZB,UZB,Medium,1956,272.3123259801538,296.5760925740038,568.8884185541575
UZB,UZB,Medium,1957,281.0633679429275,305.7672844523569,586.8306523952845
UZB,UZB,Medium,1958,290.3681053018292,315.4544508780087,605.8225561798379
UZB,UZB,Medium,1959,300.2076517344427,325.5985297784927,625.8061815129355
UZB,UZB,Medium,1960,310.5554602012279,336.15310175895513,646.708561960183
UZB,UZB,Medium,1961,321.40151867584376,347.0998872864556,668.5014059622994
UZB,UZB,Medium,1962,332.77707681626333,358.4796929532017,691.2567697694652
UZB,UZB,Medium,1963,344.7654923266438,370.40462311473846,715.1701154413823
UZB,UZB,Medium,1964,357.47386354935924,383.02311364643856,740.4969771957976
UZB,UZB,Medium,1965,370.94512083978043,396.4061589169014,767.351279756682
UZB,UZB,Medium,1966,385.26338038890873,410.65031430136975,795.9136946902787
UZB,UZB,Medium,1967,400.3183582096245,425.6358147271742,825.9541729367987
UZB,UZB,Medium,1968,415.7262599588583,440.9592968906697,856.6855568495279
UZB,UZB,Medium,1969,430.9678255432006,456.0706302838955,887.0384558270961
UZB,UZB,Medium,1970,445.6840631393813,470.5916333664275,916.2756965058087
UZB,UZB,Medium,1971,459.7027203851251,484.3436824865018,944.0464028716268
UZB,UZB,Medium,1972,473.1609317018295,497.47331730238045,970.6342490042101
UZB,UZB,Medium,1973,486.38894226137654,510.32322217018816,996.712164431565
UZB,UZB,Medium,1974,499.8802994531641,523.4029485517316,1023.2832480048955
UZB,UZB,Medium,1975,513.9905060609804,537.0802867176703,1051.0707927786507
UZB,UZB,Medium,1976,528.8243849666668,551.470678365664,1080.295063332331
UZB,UZB,Medium,1977,544.2644465580869,566.4546618177803,1110.719108375867
UZB,UZB,Medium,1978,560.1793967625421,581.8913860670866,1142.0707828296286
UZB,UZB,Medium,1979,576.3525358886982,597.5520914814294,1173.9046273701276
UZB,UZB,Medium,1980,592.6264779164237,613.2735516919773,1205.9000296084012
UZB,UZB,Medium,1981,608.9737656219648,629.0050997775509,1237.9788653995156
UZB,UZB,Medium,1982,625.4530300383641,644.8173508633267,1270.2703809016907
UZB,UZB,Medium,1983,642.0977962841265,660.80534335086,1302.9031396349865
UZB,UZB,Medium,1984,658.9663161488714,677.1110659773493,1336.077382126221
UZB,UZB,Medium,1985,676.0991686787547,693.8253854667075,1369.9245541454623
UZB,UZB,Medium,1986,693.4339304065136,710.9483776676185,1404.3823080741322
UZB,UZB,Medium,1987,710.9346490557419,728.4011599483053,1439.3358090040474
UZB,UZB,Medium,1988,728.6902951332421,746.1031810059342,1474.7934761391764
UZB,UZB,Medium,1989,746.8239710537977,763.9391508402152,1510.7631218940128
UZB,UZB,Medium,1990,765.3839924293717,781.8037914772,1547.1877839065717
UZB,UZB,Medium,1991,784.4221639114093,799.6671426865498,1584.0893065979592
UZB,UZB,Medium,1992,803.7931594205994,817.4811164023544,1621.2742758229535
UZB,UZB,Medium,1993,823.1033242848995,835.0986420255605,1658.20196631046
UZB,UZB,Medium,1994,841.8282407003612,852.3432955162507,1694.1715362166124
UZB,UZB,Medium,1995,859.5873758173439,869.0824933740923,1728.6698691914366
UZB,UZB,Medium,1996,876.2983579645885,885.3103194017019,1761.6086773662905
UZB,UZB,Medium,1997,892.0588802476032,901.0409573030626,1793.0998375506656
UZB,UZB,Medium,1998,906.900950811205,916.1993168806168,1823.1002676918222
UZB,UZB,Medium,1999,920.9169533529949,930.7049985289004,1851.6219518818957
UZB,UZB,Medium,2000,934.22885255749,944.5396468662868,1878.7684994237768
UZB,UZB,Medium,2001,946.7990274772258,957.6517606360692,1904.4507881132954
UZB,UZB,Medium,2002,958.7443609348663,970.1723305162076,1928.9166914510738
UZB,UZB,Medium,2003,970.5347355302761,982.5013066195485,1953.0360421498247
UZB,UZB,Medium,2004,982.7782301662972,995.1744840527019,1977.9527142189988
UZB,UZB,Medium,2005,995.9262962124856,1008.5864276719213,2004.5127238844073
UZB,UZB,Medium,2006,1010.1645353995705,1022.8886831486411,2033.0532185482114
UZB,UZB,Medium,2007,1025.4241529708004,1038.0173858905944,2063.441538861395
UZB,UZB,Medium,2008,1041.5832600903423,1053.8869027330936,2095.470162823436
UZB,UZB,Medium,2009,1058.4046779220744,1070.3242228270187,2128.728900749093
UZB,UZB,Medium,2010,1075.701894551055,1087.1922117509737,2162.894106302029
UZB,UZB,Medium,2011,1093.4183268587196,1104.4494561232746,2197.867782981994
UZB,UZB,Medium,2012,1111.582721496458,1122.1166626347633,2233.699384131221
UZB,UZB,Medium,2013,1130.1762679905366,1140.1743381735487,2270.3506061640855
UZB,UZB,Medium,2014,1149.1925950514674,1158.6093609172294,2307.801955968697
UZB,UZB,Medium,2015,1168.5880138370346,1177.3781178722747,2345.9661317093096
UZB,UZB,Medium,2016,1188.3465202748298,1196.4690800386563,2384.815600313486
UZB,UZB,Medium,2017,1208.3368202921542,1215.7699913634594,2424.1068116556135
UZB,UZB,Medium,2018,1228.256201789564,1235.023269714459,2463.279471504023
UZB,UZB,Medium,2019,1247.7196568450383,1253.9000351960917,2501.6196920411303
UZB,UZB,Medium,2020,1266.4392638525924,1272.1554482551112,2538.5947121077033
UZB,UZB,Medium,2021,1284.2965471671905,1289.686582226784,2573.983129393974
UZB,UZB,Medium,2022,1301.31903986127,1306.5162675651159,2607.835307426386
UZB,UZB,Medium,2023,1317.5618080797062,1322.6834904938892,2640.2452985735954
UZB,UZB,Medium,2024,1333.1407486122646,1338.2848063883455,2671.425555000609
UZB,UZB,Medium,2025,1348.1568919065671,1353.3981118473653,2701.555003753932
