ISO Code,Country,Fertility,Year,Total male population,Total female population,Total population
UZB,UZB,Medium,1950,259.8226356877796,283.7004673965165,543.523103084296
UZB,UZB,Medium,1951,268.36864172236255,293.0286917270197,561.3973334493822
UZB,UZB,Medium,1952,276.6000250679822,301.9631604694047,578.5631855373869
UZB,UZB,Medium,1953,284.81613715236125,310.8290820732676,595.6452192256288
UZB,UZB,Medium,1954,293.260190164459,319.8857209055756,613.1459110700347
UZB,UZB,Medium,1955,302.1179555265231,329.32578987095854,631.4437453974815
UZB,UZB,Medium,1956,311.516809440263,339.27380180964354,650.7906112499064
UZB,UZB,Medium,1957,321.5277285630346,349.7882387106984,671.3159672737331
UZB,UZB,Medium,1958,332.17205795316255,360.870055027951,693.0421129811136
UZB,UZB,Medium,1959,343.4281922467328,372.47456496856745,715.9027572153003
UZB,UZB,Medium,1960,355.26576245832433,384.5486661923251,739.8144286506493
UZB,UZB,Medium,1961,367.67331514200674,397.07144748354847,764.7447626255552
UZB,UZB,Medium,1962,380.68659893204705,410.0895903112563,790.7761892433036
UZB,UZB,Medium,1963,394.4009724426684,423.73133856245596,818.1323110051244
UZB,UZB,Medium,1964,408.9389528379123,438.1664982499167,847.1054510878289
UZB,UZB,Medium,1965,424.3496511056314,453.4762847175077,877.8259358231393
UZB,UZB,Medium,1966,440.7292935453463,469.7711543036325,910.5004478489791
UZB,UZB,Medium,1967,457.95171871476407,486.9140994997766,944.8658182145408
UZB,UZB,Medium,1968,475.57787785322404,504.44368526459726,980.0215631178212
UZB,UZB,Medium,1969,493.0137536058878,521.7305794516378,1014.7443330575256
UZB,UZB,Medium,1970,509.8486705213313,538.3421541714405,1048.1908246927717
UZB,UZB,Medium,1971,525.8855772684353,554.0740695363863,1079.9596468048217
UZB,UZB,Medium,1972,541.2813513490333,569.0939623459994,1110.375313695033
UZB,UZB,Medium,1973,556.4137829417646,583.7938528178031,1140.207635759568
UZB,UZB,Medium,1974,571.8474748698741,598.756651934825,1170.6041268046988
